,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,331,ALB,Europe,Albania,2020-03-09,2.0,2.0,,,,,0.695,0.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785
1,332,ALB,Europe,Albania,2020-03-10,10.0,8.0,,,,,3.475,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785
2,333,ALB,Europe,Albania,2020-03-11,12.0,2.0,,1.0,1.0,,4.17,0.695,,0.34700000000000003,0.34700000000000003,,,,,,,,,,,,,,,,,,,,,,,,,51.85,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785
3,334,ALB,Europe,Albania,2020-03-12,23.0,11.0,,1.0,0.0,,7.992000000000001,3.822,,0.34700000000000003,0.0,,,,,,,,,,,,,,,,,,,,,,,,,51.85,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785
4,335,ALB,Europe,Albania,2020-03-13,33.0,10.0,,1.0,0.0,,11.467,3.475,,0.34700000000000003,0.0,,,,,,,,,,,,,,,,,,,,,,,,,78.7,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785
5,336,ALB,Europe,Albania,2020-03-14,38.0,5.0,5.428999999999999,1.0,0.0,0.14300000000000002,13.205,1.7369999999999999,1.886,0.34700000000000003,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,78.7,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785
6,337,ALB,Europe,Albania,2020-03-15,42.0,4.0,6.0,1.0,0.0,0.14300000000000002,14.594000000000001,1.39,2.085,0.34700000000000003,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,81.48,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785
7,338,ALB,Europe,Albania,2020-03-16,51.0,9.0,7.0,1.0,0.0,0.14300000000000002,17.722,3.127,2.432,0.34700000000000003,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,81.48,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785
8,339,ALB,Europe,Albania,2020-03-17,55.0,4.0,6.428999999999999,1.0,0.0,0.14300000000000002,19.112000000000002,1.39,2.234,0.34700000000000003,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,81.48,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785
9,340,ALB,Europe,Albania,2020-03-18,59.0,4.0,6.7139999999999995,2.0,1.0,0.14300000000000002,20.502,1.39,2.333,0.695,0.34700000000000003,0.05,,,,,,,,,,,,,,,,,,,,,,,,81.48,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785
