,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,648,DZA,Africa,Algeria,2020-02-25,1.0,1.0,,,,,0.023,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
1,649,DZA,Africa,Algeria,2020-02-26,1.0,0.0,,,,,0.023,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
2,650,DZA,Africa,Algeria,2020-02-27,1.0,0.0,,,,,0.023,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
3,651,DZA,Africa,Algeria,2020-02-28,1.0,0.0,,,,,0.023,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
4,652,DZA,Africa,Algeria,2020-02-29,1.0,0.0,,,,,0.023,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
5,653,DZA,Africa,Algeria,2020-03-01,1.0,0.0,0.14300000000000002,,,0.0,0.023,0.0,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
6,654,DZA,Africa,Algeria,2020-03-02,3.0,2.0,0.429,,,0.0,0.068,0.046,0.01,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
7,655,DZA,Africa,Algeria,2020-03-03,5.0,2.0,0.5710000000000001,,,0.0,0.114,0.046,0.013000000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
8,656,DZA,Africa,Algeria,2020-03-04,12.0,7.0,1.571,,,0.0,0.27399999999999997,0.16,0.036000000000000004,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
9,657,DZA,Africa,Algeria,2020-03-05,12.0,0.0,1.571,,,0.0,0.27399999999999997,0.0,0.036000000000000004,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,5.56,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
10,658,DZA,Africa,Algeria,2020-03-06,17.0,5.0,2.286,,,0.0,0.38799999999999996,0.114,0.052000000000000005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,5.56,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
11,659,DZA,Africa,Algeria,2020-03-07,17.0,0.0,2.286,,,0.0,0.38799999999999996,0.0,0.052000000000000005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,5.56,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
12,660,DZA,Africa,Algeria,2020-03-08,19.0,2.0,2.571,,,0.0,0.433,0.046,0.059000000000000004,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,5.56,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
13,661,DZA,Africa,Algeria,2020-03-09,20.0,1.0,2.4290000000000003,,,0.0,0.456,0.023,0.055,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,5.56,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
14,662,DZA,Africa,Algeria,2020-03-10,20.0,0.0,2.1430000000000002,,,0.0,0.456,0.0,0.049,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,16.67,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
15,663,DZA,Africa,Algeria,2020-03-11,20.0,0.0,1.143,,,0.0,0.456,0.0,0.026000000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,16.67,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
16,664,DZA,Africa,Algeria,2020-03-12,24.0,4.0,1.714,1.0,1.0,0.14300000000000002,0.547,0.091,0.039,0.023,0.023,0.003,,,,,,,,,,,,,,,,,,,,,,,,30.56,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
17,665,DZA,Africa,Algeria,2020-03-13,26.0,2.0,1.286,2.0,1.0,0.28600000000000003,0.593,0.046,0.028999999999999998,0.046,0.023,0.006999999999999999,,,,,,,,,,,,,,,,,,,,,,,,30.56,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
