,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,1608,ATG,North America,Antigua and Barbuda,2020-03-13,1.0,1.0,,,,,10.212,10.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
1,1609,ATG,North America,Antigua and Barbuda,2020-03-14,1.0,0.0,,,,,10.212,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
2,1610,ATG,North America,Antigua and Barbuda,2020-03-15,1.0,0.0,,,,,10.212,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
3,1611,ATG,North America,Antigua and Barbuda,2020-03-16,1.0,0.0,,,,,10.212,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
4,1612,ATG,North America,Antigua and Barbuda,2020-03-17,1.0,0.0,,,,,10.212,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
5,1613,ATG,North America,Antigua and Barbuda,2020-03-18,1.0,0.0,0.14300000000000002,,,0.0,10.212,0.0,1.459,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
6,1614,ATG,North America,Antigua and Barbuda,2020-03-19,1.0,0.0,0.14300000000000002,,,0.0,10.212,0.0,1.459,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
7,1615,ATG,North America,Antigua and Barbuda,2020-03-20,1.0,0.0,0.0,,,0.0,10.212,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
8,1616,ATG,North America,Antigua and Barbuda,2020-03-21,1.0,0.0,0.0,,,0.0,10.212,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
9,1617,ATG,North America,Antigua and Barbuda,2020-03-22,1.0,0.0,0.0,,,0.0,10.212,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
10,1618,ATG,North America,Antigua and Barbuda,2020-03-23,3.0,2.0,0.28600000000000003,,,0.0,30.635,20.423,2.918,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
11,1619,ATG,North America,Antigua and Barbuda,2020-03-24,3.0,0.0,0.28600000000000003,,,0.0,30.635,0.0,2.918,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
12,1620,ATG,North America,Antigua and Barbuda,2020-03-25,3.0,0.0,0.28600000000000003,,,0.0,30.635,0.0,2.918,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
13,1621,ATG,North America,Antigua and Barbuda,2020-03-26,7.0,4.0,0.857,,,0.0,71.48100000000001,40.846,8.753,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
14,1622,ATG,North America,Antigua and Barbuda,2020-03-27,7.0,0.0,0.857,,,0.0,71.48100000000001,0.0,8.753,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
15,1623,ATG,North America,Antigua and Barbuda,2020-03-28,7.0,0.0,0.857,,,0.0,71.48100000000001,0.0,8.753,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
16,1624,ATG,North America,Antigua and Barbuda,2020-03-29,7.0,0.0,0.857,,,0.0,71.48100000000001,0.0,8.753,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
17,1625,ATG,North America,Antigua and Barbuda,2020-03-30,7.0,0.0,0.5710000000000001,,,0.0,71.48100000000001,0.0,5.835,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
18,1626,ATG,North America,Antigua and Barbuda,2020-03-31,7.0,0.0,0.5710000000000001,,,0.0,71.48100000000001,0.0,5.835,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
19,1627,ATG,North America,Antigua and Barbuda,2020-04-01,7.0,0.0,0.5710000000000001,,,0.0,71.48100000000001,0.0,5.835,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
20,1628,ATG,North America,Antigua and Barbuda,2020-04-02,9.0,2.0,0.28600000000000003,,,0.0,91.904,20.423,2.918,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
21,1629,ATG,North America,Antigua and Barbuda,2020-04-03,15.0,6.0,1.143,,,0.0,153.174,61.27,11.67,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
22,1630,ATG,North America,Antigua and Barbuda,2020-04-04,15.0,0.0,1.143,,,0.0,153.174,0.0,11.67,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
23,1631,ATG,North America,Antigua and Barbuda,2020-04-05,15.0,0.0,1.143,,,0.0,153.174,0.0,11.67,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
24,1632,ATG,North America,Antigua and Barbuda,2020-04-06,15.0,0.0,1.143,,,0.0,153.174,0.0,11.67,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
25,1633,ATG,North America,Antigua and Barbuda,2020-04-07,19.0,4.0,1.714,1.0,1.0,0.14300000000000002,194.02,40.846,17.506,10.212,10.212,1.459,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
26,1634,ATG,North America,Antigua and Barbuda,2020-04-08,19.0,0.0,1.714,2.0,1.0,0.28600000000000003,194.02,0.0,17.506,20.423,10.212,2.918,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
27,1635,ATG,North America,Antigua and Barbuda,2020-04-09,19.0,0.0,1.429,2.0,0.0,0.28600000000000003,194.02,0.0,14.588,20.423,0.0,2.918,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
28,1636,ATG,North America,Antigua and Barbuda,2020-04-10,19.0,0.0,0.5710000000000001,2.0,0.0,0.28600000000000003,194.02,0.0,5.835,20.423,0.0,2.918,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
29,1637,ATG,North America,Antigua and Barbuda,2020-04-11,21.0,2.0,0.857,2.0,0.0,0.28600000000000003,214.44299999999998,20.423,8.753,20.423,0.0,2.918,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
30,1638,ATG,North America,Antigua and Barbuda,2020-04-12,21.0,0.0,0.857,2.0,0.0,0.28600000000000003,214.44299999999998,0.0,8.753,20.423,0.0,2.918,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
31,1639,ATG,North America,Antigua and Barbuda,2020-04-13,23.0,2.0,1.143,2.0,0.0,0.28600000000000003,234.86599999999999,20.423,11.67,20.423,0.0,2.918,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
32,1640,ATG,North America,Antigua and Barbuda,2020-04-14,23.0,0.0,0.5710000000000001,2.0,0.0,0.14300000000000002,234.86599999999999,0.0,5.835,20.423,0.0,1.459,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
33,1641,ATG,North America,Antigua and Barbuda,2020-04-15,23.0,0.0,0.5710000000000001,2.0,0.0,0.0,234.86599999999999,0.0,5.835,20.423,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
34,1642,ATG,North America,Antigua and Barbuda,2020-04-16,23.0,0.0,0.5710000000000001,3.0,1.0,0.14300000000000002,234.86599999999999,0.0,5.835,30.635,10.212,1.459,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
35,1643,ATG,North America,Antigua and Barbuda,2020-04-17,23.0,0.0,0.5710000000000001,3.0,0.0,0.14300000000000002,234.86599999999999,0.0,5.835,30.635,0.0,1.459,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
36,1644,ATG,North America,Antigua and Barbuda,2020-04-18,23.0,0.0,0.28600000000000003,3.0,0.0,0.14300000000000002,234.86599999999999,0.0,2.918,30.635,0.0,1.459,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
37,1645,ATG,North America,Antigua and Barbuda,2020-04-19,23.0,0.0,0.28600000000000003,3.0,0.0,0.14300000000000002,234.86599999999999,0.0,2.918,30.635,0.0,1.459,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
38,1646,ATG,North America,Antigua and Barbuda,2020-04-20,23.0,0.0,0.0,3.0,0.0,0.14300000000000002,234.86599999999999,0.0,0.0,30.635,0.0,1.459,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
39,1647,ATG,North America,Antigua and Barbuda,2020-04-21,23.0,0.0,0.0,3.0,0.0,0.14300000000000002,234.86599999999999,0.0,0.0,30.635,0.0,1.459,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
