,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,1921,ARG,South America,Argentina,2020-01-01,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,0.0,,,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
1,1922,ARG,South America,Argentina,2020-01-02,,,,,,,,,,,,,,,,,,,,,,14.0,10.0,0.0,0.0,,,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
2,1923,ARG,South America,Argentina,2020-01-03,,,,,,,,,,,,,,,,,,,,,,19.0,5.0,0.0,0.0,,,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
3,1924,ARG,South America,Argentina,2020-01-04,,,,,,,,,,,,,,,,,,,,,,31.0,12.0,0.001,0.0,,,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
4,1925,ARG,South America,Argentina,2020-01-05,,,,,,,,,,,,,,,,,,,,,,41.0,10.0,0.001,0.0,,,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
5,1926,ARG,South America,Argentina,2020-01-06,,,,,,,,,,,,,,,,,,,,,,94.0,53.0,0.002,0.001,,,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
6,1927,ARG,South America,Argentina,2020-01-07,,,,,,,,,,,,,,,,,,,,,,122.0,28.0,0.003,0.001,,,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
7,1928,ARG,South America,Argentina,2020-01-08,,,,,,,,,,,,,,,,,,,,,,126.0,4.0,0.003,0.0,17.0,0.0,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
8,1929,ARG,South America,Argentina,2020-01-09,,,,,,,,,,,,,,,,,,,,,,127.0,1.0,0.003,0.0,16.0,0.0,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
9,1930,ARG,South America,Argentina,2020-01-10,,,,,,,,,,,,,,,,,,,,,,204.0,77.0,0.005,0.002,26.0,0.001,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
10,1931,ARG,South America,Argentina,2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,0.001,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
11,1932,ARG,South America,Argentina,2020-01-12,,,,,,,,,,,,,,,,,,,,,,241.0,37.0,0.005,0.001,29.0,0.001,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
12,1933,ARG,South America,Argentina,2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,0.0,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
13,1934,ARG,South America,Argentina,2020-01-14,,,,,,,,,,,,,,,,,,,,,,242.0,1.0,0.005,0.0,17.0,0.0,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
14,1935,ARG,South America,Argentina,2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
15,1936,ARG,South America,Argentina,2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.0,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
16,1937,ARG,South America,Argentina,2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,people tested,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
