,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,4919,BLR,Europe,Belarus,2020-02-28,1.0,1.0,,,,,0.106,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.8079999999999999
1,4920,BLR,Europe,Belarus,2020-02-29,1.0,0.0,,,,,0.106,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.8079999999999999
2,4921,BLR,Europe,Belarus,2020-03-01,1.0,0.0,,,,,0.106,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.8079999999999999
3,4922,BLR,Europe,Belarus,2020-03-02,1.0,0.0,,,,,0.106,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.8079999999999999
4,4923,BLR,Europe,Belarus,2020-03-03,1.0,0.0,,,,,0.106,0.0,,,,,,,,,,,,,,5000.0,,0.529,,,,,,tests performed,,,,,,0.0,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.8079999999999999
5,4924,BLR,Europe,Belarus,2020-03-04,6.0,5.0,0.857,,,0.0,0.635,0.529,0.091,,,0.0,,,,,,,,,,,,,,,,,,tests performed,,,,,,0.0,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.8079999999999999
6,4925,BLR,Europe,Belarus,2020-03-05,6.0,0.0,0.857,,,0.0,0.635,0.0,0.091,,,0.0,,,,,,,,,,,,,,,,,,tests performed,,,,,,0.0,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.8079999999999999
7,4926,BLR,Europe,Belarus,2020-03-06,6.0,0.0,0.7140000000000001,,,0.0,0.635,0.0,0.076,,,0.0,,,,,,,,,,,,,,,,,,tests performed,,,,,,0.0,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.8079999999999999
8,4927,BLR,Europe,Belarus,2020-03-07,6.0,0.0,0.7140000000000001,,,0.0,0.635,0.0,0.076,,,0.0,,,,,,,,,,,,,,,,,,tests performed,,,,,,0.0,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.8079999999999999
9,4928,BLR,Europe,Belarus,2020-03-08,6.0,0.0,0.7140000000000001,,,0.0,0.635,0.0,0.076,,,0.0,,,,,,,,,,,,,,,,,,tests performed,,,,,,0.0,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.8079999999999999
10,4929,BLR,Europe,Belarus,2020-03-09,6.0,0.0,0.7140000000000001,,,0.0,0.635,0.0,0.076,,,0.0,,,,,,,,,,,,,,,,,,tests performed,,,,,,0.0,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.8079999999999999
11,4930,BLR,Europe,Belarus,2020-03-10,9.0,3.0,1.143,,,0.0,0.9520000000000001,0.317,0.121,,,0.0,,,,,,,,,,,,,,611.0,0.065,0.002,534.6,tests performed,,,,,,0.0,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.8079999999999999
12,4931,BLR,Europe,Belarus,2020-03-11,9.0,0.0,0.429,,,0.0,0.9520000000000001,0.0,0.045,,,0.0,,,,,,,,,,,,,,611.0,0.065,0.001,1424.2,tests performed,,,,,,0.0,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.8079999999999999
13,4932,BLR,Europe,Belarus,2020-03-12,12.0,3.0,0.857,,,0.0,1.27,0.317,0.091,,,0.0,,,,,,,,,,10500.0,,1.111,,611.0,0.065,0.001,713.0,tests performed,,,,,,0.0,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.8079999999999999
