,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,6845,BIH,Europe,Bosnia and Herzegovina,2020-03-05,2.0,2.0,,,,,0.61,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
1,6846,BIH,Europe,Bosnia and Herzegovina,2020-03-06,2.0,0.0,,,,,0.61,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
2,6847,BIH,Europe,Bosnia and Herzegovina,2020-03-07,3.0,1.0,,,,,0.914,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
3,6848,BIH,Europe,Bosnia and Herzegovina,2020-03-08,3.0,0.0,,,,,0.914,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
4,6849,BIH,Europe,Bosnia and Herzegovina,2020-03-09,3.0,0.0,,,,,0.914,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
5,6850,BIH,Europe,Bosnia and Herzegovina,2020-03-10,5.0,2.0,0.7140000000000001,,,0.0,1.524,0.61,0.218,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,29.17,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
6,6851,BIH,Europe,Bosnia and Herzegovina,2020-03-11,7.0,2.0,1.0,,,0.0,2.134,0.61,0.305,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,40.28,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
7,6852,BIH,Europe,Bosnia and Herzegovina,2020-03-12,11.0,4.0,1.286,,,0.0,3.353,1.219,0.392,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,40.28,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
8,6853,BIH,Europe,Bosnia and Herzegovina,2020-03-13,13.0,2.0,1.571,,,0.0,3.9619999999999997,0.61,0.479,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,40.28,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
9,6854,BIH,Europe,Bosnia and Herzegovina,2020-03-14,18.0,5.0,2.1430000000000002,,,0.0,5.486000000000001,1.524,0.653,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,40.28,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
10,6855,BIH,Europe,Bosnia and Herzegovina,2020-03-15,24.0,6.0,3.0,,,0.0,7.315,1.829,0.914,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,40.28,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
11,6856,BIH,Europe,Bosnia and Herzegovina,2020-03-16,25.0,1.0,3.1430000000000002,,,0.0,7.62,0.305,0.958,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,45.83,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
12,6857,BIH,Europe,Bosnia and Herzegovina,2020-03-17,26.0,1.0,3.0,,,0.0,7.925,0.305,0.914,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,70.83,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
13,6858,BIH,Europe,Bosnia and Herzegovina,2020-03-18,38.0,12.0,4.428999999999999,,,0.0,11.582,3.658,1.35,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,77.78,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
14,6859,BIH,Europe,Bosnia and Herzegovina,2020-03-19,63.0,25.0,7.428999999999999,,,0.0,19.203,7.62,2.2640000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,77.78,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
15,6860,BIH,Europe,Bosnia and Herzegovina,2020-03-20,89.0,26.0,10.857000000000001,,,0.0,27.127,7.925,3.3089999999999997,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
16,6861,BIH,Europe,Bosnia and Herzegovina,2020-03-21,93.0,4.0,10.714,1.0,1.0,0.14300000000000002,28.346999999999998,1.219,3.266,0.305,0.305,0.044000000000000004,,,,,,,,,,,,,,,,,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
17,6862,BIH,Europe,Bosnia and Herzegovina,2020-03-22,126.0,33.0,14.571,1.0,0.0,0.14300000000000002,38.405,10.058,4.441,0.305,0.0,0.044000000000000004,,,,,,,,,,,,,,,,,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
18,6863,BIH,Europe,Bosnia and Herzegovina,2020-03-23,136.0,10.0,15.857000000000001,1.0,0.0,0.14300000000000002,41.453,3.048,4.833,0.305,0.0,0.044000000000000004,1.21,,,,,,,,,,,,,,,,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
19,6864,BIH,Europe,Bosnia and Herzegovina,2020-03-24,166.0,30.0,20.0,3.0,2.0,0.429,50.597,9.144,6.096,0.914,0.61,0.131,1.21,,,,,,,,,,,,,,,,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
20,6865,BIH,Europe,Bosnia and Herzegovina,2020-03-25,176.0,10.0,19.714000000000002,3.0,0.0,0.429,53.645,3.048,6.0089999999999995,0.914,0.0,0.131,1.21,,,,,,,,,,,,,,,,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
21,6866,BIH,Europe,Bosnia and Herzegovina,2020-03-26,191.0,15.0,18.285999999999998,3.0,0.0,0.429,58.217,4.572,5.574,0.914,0.0,0.131,1.21,,,,,,,,,,,,,,,,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
22,6867,BIH,Europe,Bosnia and Herzegovina,2020-03-27,237.0,46.0,21.143,4.0,1.0,0.5710000000000001,72.238,14.020999999999999,6.444,1.219,0.305,0.174,1.21,,,,,,,,,,,,,,,,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
23,6868,BIH,Europe,Bosnia and Herzegovina,2020-03-28,258.0,21.0,23.570999999999998,5.0,1.0,0.5710000000000001,78.639,6.401,7.185,1.524,0.305,0.174,1.21,,,,,,,,,,,,,,,,,,,,,,,89.81,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
