,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,8108,BGR,Europe,Bulgaria,2020-03-08,4.0,4.0,,,,,0.5760000000000001,0.5760000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
1,8109,BGR,Europe,Bulgaria,2020-03-09,4.0,0.0,,,,,0.5760000000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
2,8110,BGR,Europe,Bulgaria,2020-03-10,4.0,0.0,,,,,0.5760000000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
3,8111,BGR,Europe,Bulgaria,2020-03-11,7.0,3.0,,1.0,1.0,,1.0070000000000001,0.43200000000000005,,0.14400000000000002,0.14400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,26.85,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
4,8112,BGR,Europe,Bulgaria,2020-03-12,7.0,0.0,,1.0,0.0,,1.0070000000000001,0.0,,0.14400000000000002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,26.85,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
5,8113,BGR,Europe,Bulgaria,2020-03-13,23.0,16.0,3.286,1.0,0.0,0.14300000000000002,3.31,2.303,0.473,0.14400000000000002,0.0,0.021,,,,,,,,,,,,,,,,,,,,,,,,50.93,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
6,8114,BGR,Europe,Bulgaria,2020-03-14,41.0,18.0,5.857,2.0,1.0,0.28600000000000003,5.901,2.591,0.843,0.28800000000000003,0.14400000000000002,0.040999999999999995,,,,,,,,,,,,,,,,,,,,,,,,50.93,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
7,8115,BGR,Europe,Bulgaria,2020-03-15,51.0,10.0,6.7139999999999995,2.0,0.0,0.28600000000000003,7.34,1.439,0.966,0.28800000000000003,0.0,0.040999999999999995,,,,,,,,,,,,,,,,,,,,,,,,50.93,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
8,8116,BGR,Europe,Bulgaria,2020-03-16,52.0,1.0,6.857,2.0,0.0,0.28600000000000003,7.484,0.14400000000000002,0.987,0.28800000000000003,0.0,0.040999999999999995,,,,,,,,,,,,,,,,,,,,,,,,50.93,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
9,8117,BGR,Europe,Bulgaria,2020-03-17,67.0,15.0,9.0,2.0,0.0,0.28600000000000003,9.642000000000001,2.1590000000000003,1.295,0.28800000000000003,0.0,0.040999999999999995,,,,,,,,,,,,,,,,,,,,,,,,56.48,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
10,8118,BGR,Europe,Bulgaria,2020-03-18,92.0,25.0,12.142999999999999,2.0,0.0,0.14300000000000002,13.24,3.5980000000000003,1.7480000000000002,0.28800000000000003,0.0,0.021,,,,,,,,,,,,,,,,,,,,,,,,70.37,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
11,8119,BGR,Europe,Bulgaria,2020-03-19,94.0,2.0,12.429,3.0,1.0,0.28600000000000003,13.527999999999999,0.28800000000000003,1.7890000000000001,0.43200000000000005,0.14400000000000002,0.040999999999999995,,,,,,,,,,,,,,,,,,,,,,,,70.37,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
12,8120,BGR,Europe,Bulgaria,2020-03-20,127.0,33.0,14.857000000000001,3.0,0.0,0.28600000000000003,18.277,4.749,2.138,0.43200000000000005,0.0,0.040999999999999995,,,,,,,,,,,,,,,,,,,,,,,,70.37,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
13,8121,BGR,Europe,Bulgaria,2020-03-21,163.0,36.0,17.429000000000002,3.0,0.0,0.14300000000000002,23.458000000000002,5.181,2.508,0.43200000000000005,0.0,0.021,1.2,,,,,,,,,,,,,,,,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
14,8122,BGR,Europe,Bulgaria,2020-03-22,187.0,24.0,19.429000000000002,3.0,0.0,0.14300000000000002,26.912,3.4539999999999997,2.7960000000000003,0.43200000000000005,0.0,0.021,1.18,,,,,,,,,,,,,,,,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
15,8123,BGR,Europe,Bulgaria,2020-03-23,201.0,14.0,21.285999999999998,3.0,0.0,0.14300000000000002,28.927,2.015,3.063,0.43200000000000005,0.0,0.021,1.16,,,,,,,,,,,,,,,,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
16,8124,BGR,Europe,Bulgaria,2020-03-24,218.0,17.0,21.570999999999998,3.0,0.0,0.14300000000000002,31.374000000000002,2.447,3.1039999999999996,0.43200000000000005,0.0,0.021,1.16,,,,,,,,,,,,,,,,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
17,8125,BGR,Europe,Bulgaria,2020-03-25,242.0,24.0,21.429000000000002,3.0,0.0,0.14300000000000002,34.828,3.4539999999999997,3.0839999999999996,0.43200000000000005,0.0,0.021,1.16,,,,,,,,,,,,,,,,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
18,8126,BGR,Europe,Bulgaria,2020-03-26,264.0,22.0,24.285999999999998,3.0,0.0,0.0,37.994,3.1660000000000004,3.495,0.43200000000000005,0.0,0.0,1.16,,,,,,,,,,,,,,,,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
19,8127,BGR,Europe,Bulgaria,2020-03-27,293.0,29.0,23.714000000000002,3.0,0.0,0.0,42.168,4.1739999999999995,3.4130000000000003,0.43200000000000005,0.0,0.0,1.16,,,,,,,,,,,,,,,,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.813
