,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,9716,CAN,North America,Canada,2020-01-26,1.0,1.0,,,,,0.026000000000000002,0.026000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,82.43,0.9259999999999999
1,9717,CAN,North America,Canada,2020-01-27,1.0,0.0,,,,,0.026000000000000002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,82.43,0.9259999999999999
2,9718,CAN,North America,Canada,2020-01-28,2.0,1.0,,,,,0.053,0.026000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,82.43,0.9259999999999999
3,9719,CAN,North America,Canada,2020-01-29,2.0,0.0,,,,,0.053,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,82.43,0.9259999999999999
4,9720,CAN,North America,Canada,2020-01-30,2.0,0.0,,,,,0.053,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,82.43,0.9259999999999999
5,9721,CAN,North America,Canada,2020-01-31,4.0,2.0,0.5710000000000001,,,0.0,0.106,0.053,0.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.78,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,82.43,0.9259999999999999
6,9722,CAN,North America,Canada,2020-02-01,4.0,0.0,0.5710000000000001,,,0.0,0.106,0.0,0.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.78,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,82.43,0.9259999999999999
7,9723,CAN,North America,Canada,2020-02-02,4.0,0.0,0.429,,,0.0,0.106,0.0,0.011000000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.78,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,82.43,0.9259999999999999
8,9724,CAN,North America,Canada,2020-02-03,4.0,0.0,0.429,,,0.0,0.106,0.0,0.011000000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.78,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,82.43,0.9259999999999999
9,9725,CAN,North America,Canada,2020-02-04,4.0,0.0,0.28600000000000003,,,0.0,0.106,0.0,0.008,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.78,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,82.43,0.9259999999999999
