,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,12592,CRI,North America,Costa Rica,2020-03-06,1.0,1.0,,,,,0.196,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
1,12593,CRI,North America,Costa Rica,2020-03-07,1.0,0.0,,,,,0.196,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
2,12594,CRI,North America,Costa Rica,2020-03-08,5.0,4.0,,,,,0.982,0.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
3,12595,CRI,North America,Costa Rica,2020-03-09,9.0,4.0,,,,,1.767,0.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
4,12596,CRI,North America,Costa Rica,2020-03-10,9.0,0.0,,,,,1.767,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.63,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
5,12597,CRI,North America,Costa Rica,2020-03-11,13.0,4.0,1.857,,,0.0,2.552,0.785,0.365,,,0.0,,,,,,,,,,68.0,68.0,0.013000000000000001,0.013000000000000001,,,,,people tested,,,,,,29.63,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
6,12598,CRI,North America,Costa Rica,2020-03-12,22.0,9.0,3.1430000000000002,,,0.0,4.319,1.767,0.617,,,0.0,,,,,,,,,,157.0,89.0,0.031,0.017,,,,,people tested,,,,,,37.04,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
7,12599,CRI,North America,Costa Rica,2020-03-13,23.0,1.0,3.1430000000000002,,,0.0,4.515,0.196,0.617,,,0.0,,,,,,,,,,243.0,86.0,0.048,0.017,,,,,people tested,,,,,,37.04,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
8,12600,CRI,North America,Costa Rica,2020-03-14,26.0,3.0,3.571,,,0.0,5.104,0.589,0.701,,,0.0,,,,,,,,,,370.0,127.0,0.073,0.025,,,,,people tested,,,,,,37.04,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
9,12601,CRI,North America,Costa Rica,2020-03-15,27.0,1.0,3.1430000000000002,,,0.0,5.3,0.196,0.617,,,0.0,,,,,,,,,,485.0,115.0,0.095,0.023,,,,,people tested,,,,,,37.04,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
10,12602,CRI,North America,Costa Rica,2020-03-16,35.0,8.0,3.714,,,0.0,6.871,1.57,0.7290000000000001,,,0.0,,,,,,,,,,656.0,171.0,0.129,0.034,,,,,people tested,,,,,,37.04,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
11,12603,CRI,North America,Costa Rica,2020-03-17,41.0,6.0,4.571000000000001,,,0.0,8.049,1.178,0.897,,,0.0,,,,,,,,,,770.0,114.0,0.151,0.022000000000000002,,,,,people tested,,,,,,62.96,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
12,12604,CRI,North America,Costa Rica,2020-03-18,50.0,9.0,5.2860000000000005,,,0.0,9.815,1.767,1.038,,,0.0,,,,,,,,,,924.0,154.0,0.18100000000000002,0.03,122.0,0.024,,,people tested,,,,,,62.96,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
13,12605,CRI,North America,Costa Rica,2020-03-19,69.0,19.0,6.7139999999999995,1.0,1.0,0.14300000000000002,13.545,3.73,1.318,0.196,0.196,0.027999999999999997,,,,,,,,,,1040.0,116.0,0.204,0.023,126.0,0.025,,,people tested,,,,,,62.96,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
14,12606,CRI,North America,Costa Rica,2020-03-20,89.0,20.0,9.429,1.0,0.0,0.14300000000000002,17.471,3.926,1.851,0.196,0.0,0.027999999999999997,,,,,,,,,,1159.0,119.0,0.228,0.023,131.0,0.026000000000000002,,,people tested,,,,,,62.96,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
15,12607,CRI,North America,Costa Rica,2020-03-21,117.0,28.0,13.0,2.0,1.0,0.28600000000000003,22.968000000000004,5.497000000000001,2.552,0.39299999999999996,0.196,0.055999999999999994,,,,,,,,,,1307.0,148.0,0.257,0.028999999999999998,134.0,0.026000000000000002,,,people tested,,,,,,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
16,12608,CRI,North America,Costa Rica,2020-03-22,134.0,17.0,15.286,2.0,0.0,0.28600000000000003,26.305,3.3369999999999997,3.0010000000000003,0.39299999999999996,0.0,0.055999999999999994,1.05,,,,,,,,,1534.0,227.0,0.301,0.045,150.0,0.028999999999999998,,,people tested,,,,,,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
17,12609,CRI,North America,Costa Rica,2020-03-23,158.0,24.0,17.570999999999998,2.0,0.0,0.28600000000000003,31.016,4.711,3.449,0.39299999999999996,0.0,0.055999999999999994,1.05,,,,,,,,,1691.0,157.0,0.332,0.031,148.0,0.028999999999999998,,,people tested,,,,,,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
18,12610,CRI,North America,Costa Rica,2020-03-24,177.0,19.0,19.429000000000002,2.0,0.0,0.28600000000000003,34.746,3.73,3.8139999999999996,0.39299999999999996,0.0,0.055999999999999994,1.05,,,,,,,,,1856.0,165.0,0.364,0.032,155.0,0.03,,,people tested,,,,,,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
19,12611,CRI,North America,Costa Rica,2020-03-25,201.0,24.0,21.570999999999998,2.0,0.0,0.28600000000000003,39.457,4.711,4.235,0.39299999999999996,0.0,0.055999999999999994,1.04,,,,,,,,,1945.0,89.0,0.382,0.017,146.0,0.028999999999999998,,,people tested,,,,,,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
