,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,13227,HRV,Europe,Croatia,2020-02-25,1.0,1.0,,,,,0.244,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.831
1,13228,HRV,Europe,Croatia,2020-02-26,3.0,2.0,,,,,0.731,0.48700000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.831
2,13229,HRV,Europe,Croatia,2020-02-27,3.0,0.0,,,,,0.731,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.831
3,13230,HRV,Europe,Croatia,2020-02-28,5.0,2.0,,,,,1.218,0.48700000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.831
4,13231,HRV,Europe,Croatia,2020-02-29,6.0,1.0,,,,,1.462,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.831
5,13232,HRV,Europe,Croatia,2020-03-01,7.0,1.0,1.0,,,0.0,1.705,0.244,0.244,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,13.89,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.831
6,13233,HRV,Europe,Croatia,2020-03-02,7.0,0.0,1.0,,,0.0,1.705,0.0,0.244,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,13.89,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.831
7,13234,HRV,Europe,Croatia,2020-03-03,9.0,2.0,1.143,,,0.0,2.1919999999999997,0.48700000000000004,0.278,,,0.0,,,,,,,,,,247.0,,0.06,,,,,,people tested,,,,,,13.89,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.831
8,13235,HRV,Europe,Croatia,2020-03-04,10.0,1.0,1.0,,,0.0,2.436,0.244,0.244,,,0.0,,,,,,,,,,255.0,8.0,0.062,0.002,,,,,people tested,,,,,,13.89,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.831
9,13236,HRV,Europe,Croatia,2020-03-05,10.0,0.0,1.0,,,0.0,2.436,0.0,0.244,,,0.0,,,,,,,,,,273.0,18.0,0.066,0.004,,,,,people tested,,,,,,13.89,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.831
10,13237,HRV,Europe,Croatia,2020-03-06,11.0,1.0,0.857,,,0.0,2.679,0.244,0.209,,,0.0,,,,,,,,,,302.0,29.0,0.07400000000000001,0.006999999999999999,,,,,people tested,,,,,,13.89,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.831
11,13238,HRV,Europe,Croatia,2020-03-07,12.0,1.0,0.857,,,0.0,2.923,0.244,0.209,,,0.0,,,,,,,,,,317.0,15.0,0.077,0.004,,,,,people tested,,,,,,13.89,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.831
