,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,13557,CUB,North America,Cuba,2020-03-12,3.0,3.0,,,,,0.265,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
1,13558,CUB,North America,Cuba,2020-03-13,4.0,1.0,,,,,0.353,0.08800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
2,13559,CUB,North America,Cuba,2020-03-14,4.0,0.0,,,,,0.353,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
3,13560,CUB,North America,Cuba,2020-03-15,4.0,0.0,,,,,0.353,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
4,13561,CUB,North America,Cuba,2020-03-16,4.0,0.0,,,,,0.353,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
5,13562,CUB,North America,Cuba,2020-03-17,5.0,1.0,0.7140000000000001,,,0.0,0.441,0.08800000000000001,0.063,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,13.89,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
6,13563,CUB,North America,Cuba,2020-03-18,7.0,2.0,1.0,1.0,1.0,0.14300000000000002,0.618,0.177,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.013000000000000001,,,,,,,,,,,,,,,,,,,,,,,,13.89,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
7,13564,CUB,North America,Cuba,2020-03-19,11.0,4.0,1.143,1.0,0.0,0.14300000000000002,0.971,0.353,0.10099999999999999,0.08800000000000001,0.0,0.013000000000000001,,,,,,,,,,,,,,,,,,,,,,,,13.89,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
8,13565,CUB,North America,Cuba,2020-03-20,16.0,5.0,1.714,1.0,0.0,0.14300000000000002,1.413,0.441,0.151,0.08800000000000001,0.0,0.013000000000000001,,,,,,,,,,,,,,,,,,,,,,,,30.56,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
9,13566,CUB,North America,Cuba,2020-03-21,21.0,5.0,2.4290000000000003,1.0,0.0,0.14300000000000002,1.854,0.441,0.214,0.08800000000000001,0.0,0.013000000000000001,,,,,,,,,,,,,,,,,,,,,,,,30.56,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
10,13567,CUB,North America,Cuba,2020-03-22,35.0,14.0,4.428999999999999,1.0,0.0,0.14300000000000002,3.09,1.236,0.391,0.08800000000000001,0.0,0.013000000000000001,,,,,,,,,,518.0,,0.046,,,,,,tests performed,,,,,,30.56,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
11,13568,CUB,North America,Cuba,2020-03-23,40.0,5.0,5.143,1.0,0.0,0.14300000000000002,3.532,0.441,0.45399999999999996,0.08800000000000001,0.0,0.013000000000000001,,,,,,,,,,625.0,107.0,0.055,0.009000000000000001,,,,,tests performed,,,,,,41.67,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
12,13569,CUB,North America,Cuba,2020-03-24,48.0,8.0,6.143,1.0,0.0,0.14300000000000002,4.238,0.706,0.542,0.08800000000000001,0.0,0.013000000000000001,,,,,,,,,,738.0,113.0,0.065,0.01,,,,,tests performed,,,,,,66.67,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
