,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,13871,CYP,Europe,Cyprus,2020-03-09,2.0,2.0,,,,,2.283,2.283,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,11.11,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
1,13872,CYP,Europe,Cyprus,2020-03-10,3.0,1.0,,,,,3.425,1.1420000000000001,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,22.22,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
2,13873,CYP,Europe,Cyprus,2020-03-11,6.0,3.0,,,,,6.85,3.425,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,22.22,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
3,13874,CYP,Europe,Cyprus,2020-03-12,6.0,0.0,,,,,6.85,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,22.22,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
4,13875,CYP,Europe,Cyprus,2020-03-13,14.0,8.0,,,,,15.984000000000002,9.133,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,38.89,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
5,13876,CYP,Europe,Cyprus,2020-03-14,26.0,12.0,3.714,,,0.0,29.684,13.7,4.2410000000000005,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,38.89,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
6,13877,CYP,Europe,Cyprus,2020-03-15,26.0,0.0,3.714,,,0.0,29.684,0.0,4.2410000000000005,,,0.0,,0.0,0.0,0.0,0.0,,,9.0,10.275,,,,,,,,,,,,,,,44.44,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
7,13878,CYP,Europe,Cyprus,2020-03-16,33.0,7.0,4.428999999999999,,,0.0,37.676,7.992000000000001,5.056,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,51.85,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
8,13879,CYP,Europe,Cyprus,2020-03-17,46.0,13.0,6.143,,,0.0,52.516999999999996,14.842,7.013,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,51.85,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
9,13880,CYP,Europe,Cyprus,2020-03-18,49.0,3.0,6.143,,,0.0,55.943000000000005,3.425,7.013,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,51.85,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
10,13881,CYP,Europe,Cyprus,2020-03-19,67.0,18.0,8.714,,,0.0,76.493,20.55,9.949,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,51.85,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
11,13882,CYP,Europe,Cyprus,2020-03-20,67.0,0.0,7.571000000000001,,,0.0,76.493,0.0,8.644,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,51.85,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
12,13883,CYP,Europe,Cyprus,2020-03-21,84.0,17.0,8.286,,,0.0,95.90100000000001,19.409000000000002,9.46,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,51.85,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
13,13884,CYP,Europe,Cyprus,2020-03-22,95.0,11.0,9.857000000000001,1.0,1.0,0.14300000000000002,108.46,12.559000000000001,11.254000000000001,1.1420000000000001,1.1420000000000001,0.163,,0.0,0.0,0.0,0.0,3.0,3.425,24.0,27.4,,,,,,,,,,,,,,,51.85,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
14,13885,CYP,Europe,Cyprus,2020-03-23,116.0,21.0,11.857000000000001,1.0,0.0,0.14300000000000002,132.435,23.975,13.537,1.1420000000000001,0.0,0.163,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,62.96,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
15,13886,CYP,Europe,Cyprus,2020-03-24,124.0,8.0,11.142999999999999,3.0,2.0,0.429,141.569,9.133,12.722000000000001,3.425,2.283,0.489,1.11,4.0,4.567,24.0,27.4,,,,,,,,,,,,,,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
16,13887,CYP,Europe,Cyprus,2020-03-25,132.0,8.0,11.857000000000001,3.0,0.0,0.429,150.702,9.133,13.537,3.425,0.0,0.489,1.12,5.0,5.707999999999999,23.0,26.259,,,,,,,,,,,,,,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
17,13888,CYP,Europe,Cyprus,2020-03-26,146.0,14.0,11.286,3.0,0.0,0.429,166.68599999999998,15.984000000000002,12.885,3.425,0.0,0.489,1.13,6.0,6.85,21.0,23.975,,,,,,,,,,,,,,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
18,13889,CYP,Europe,Cyprus,2020-03-27,162.0,16.0,13.571,5.0,2.0,0.7140000000000001,184.953,18.267,15.494000000000002,5.707999999999999,2.283,0.815,1.16,8.0,9.133,29.0,33.109,,,,,,,,,,,,,,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
19,13890,CYP,Europe,Cyprus,2020-03-28,179.0,17.0,13.571,5.0,0.0,0.7140000000000001,204.361,19.409000000000002,15.494000000000002,5.707999999999999,0.0,0.815,1.18,11.0,12.559000000000001,34.0,38.817,,,,,5917.0,,6.755,,,,,,tests performed,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
20,13891,CYP,Europe,Cyprus,2020-03-29,214.0,35.0,17.0,5.0,0.0,0.5710000000000001,244.32,39.959,19.409000000000002,5.707999999999999,0.0,0.652,1.2,9.0,10.275,33.0,37.676,17.0,19.409000000000002,53.0,60.50899999999999,6447.0,530.0,7.36,0.605,,,,,tests performed,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
21,13892,CYP,Europe,Cyprus,2020-03-30,230.0,16.0,16.285999999999998,7.0,2.0,0.857,262.587,18.267,18.593,7.992000000000001,2.283,0.9790000000000001,1.2,10.0,11.417,34.0,38.817,,,,,6847.0,400.0,7.817,0.457,,,,,tests performed,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
22,13893,CYP,Europe,Cyprus,2020-03-31,262.0,32.0,19.714000000000002,8.0,1.0,0.7140000000000001,299.121,36.534,22.506999999999998,9.133,1.1420000000000001,0.815,1.21,11.0,12.559000000000001,40.0,45.667,,,,,7397.0,550.0,8.445,0.628,,,,,tests performed,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
23,13894,CYP,Europe,Cyprus,2020-04-01,320.0,58.0,26.857,9.0,1.0,0.857,365.339,66.218,30.662,10.275,1.1420000000000001,0.9790000000000001,1.21,11.0,12.559000000000001,54.0,61.651,,,,,8176.0,779.0,9.334,0.889,,,,,tests performed,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
24,13895,CYP,Europe,Cyprus,2020-04-02,356.0,36.0,30.0,10.0,1.0,1.0,406.44,41.101000000000006,34.251,11.417,1.1420000000000001,1.1420000000000001,1.19,9.0,10.275,51.0,58.226000000000006,,,,,8779.0,603.0,10.023,0.688,,,,,tests performed,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
25,13896,CYP,Europe,Cyprus,2020-04-03,396.0,40.0,33.429,11.0,1.0,0.857,452.10699999999997,45.667,38.165,12.559000000000001,1.1420000000000001,0.9790000000000001,1.16,12.0,13.7,55.0,62.793,,,,,9447.0,668.0,10.785,0.763,,,,,tests performed,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
26,13897,CYP,Europe,Cyprus,2020-04-04,426.0,30.0,35.286,11.0,0.0,0.857,486.35699999999997,34.251,40.285,12.559000000000001,0.0,0.9790000000000001,1.12,11.0,12.559000000000001,56.0,63.934,,,,,10145.0,698.0,11.582,0.797,604.0,0.69,0.057999999999999996,17.1,tests performed,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
27,13898,CYP,Europe,Cyprus,2020-04-05,446.0,20.0,33.143,9.0,-2.0,0.5710000000000001,509.191,22.834,37.839,10.275,-2.283,0.652,1.09,11.0,12.559000000000001,55.0,62.793,9.0,10.275,36.0,41.101000000000006,10937.0,792.0,12.487,0.904,641.0,0.732,0.052000000000000005,19.3,tests performed,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
28,13899,CYP,Europe,Cyprus,2020-04-06,465.0,19.0,33.571,9.0,0.0,0.28600000000000003,530.883,21.691999999999997,38.328,10.275,0.0,0.326,1.06,11.0,12.559000000000001,48.0,54.801,,,,,11655.0,718.0,13.306,0.82,687.0,0.784,0.049,20.5,tests performed,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
