,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,14517,COD,Africa,Democratic Republic of Congo,2020-03-11,1.0,1.0,,,,,0.011000000000000001,0.011000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
1,14518,COD,Africa,Democratic Republic of Congo,2020-03-12,1.0,0.0,,,,,0.011000000000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
2,14519,COD,Africa,Democratic Republic of Congo,2020-03-13,2.0,1.0,,,,,0.022000000000000002,0.011000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
3,14520,COD,Africa,Democratic Republic of Congo,2020-03-14,2.0,0.0,,,,,0.022000000000000002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
4,14521,COD,Africa,Democratic Republic of Congo,2020-03-15,2.0,0.0,,,,,0.022000000000000002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
5,14522,COD,Africa,Democratic Republic of Congo,2020-03-16,2.0,0.0,0.28600000000000003,,,0.0,0.022000000000000002,0.0,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
6,14523,COD,Africa,Democratic Republic of Congo,2020-03-17,3.0,1.0,0.429,,,0.0,0.033,0.011000000000000001,0.005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
7,14524,COD,Africa,Democratic Republic of Congo,2020-03-18,4.0,1.0,0.429,,,0.0,0.045,0.011000000000000001,0.005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,19.44,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
8,14525,COD,Africa,Democratic Republic of Congo,2020-03-19,14.0,10.0,1.857,,,0.0,0.156,0.11199999999999999,0.021,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,52.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
9,14526,COD,Africa,Democratic Republic of Congo,2020-03-20,18.0,4.0,2.286,,,0.0,0.201,0.045,0.026000000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,55.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
10,14527,COD,Africa,Democratic Republic of Congo,2020-03-21,23.0,5.0,3.0,1.0,1.0,0.14300000000000002,0.257,0.055999999999999994,0.033,0.011000000000000001,0.011000000000000001,0.002,,,,,,,,,,,,,,,,,,,,,,,,55.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
11,14528,COD,Africa,Democratic Republic of Congo,2020-03-22,30.0,7.0,4.0,1.0,0.0,0.14300000000000002,0.335,0.078,0.045,0.011000000000000001,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,58.33,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
12,14529,COD,Africa,Democratic Republic of Congo,2020-03-23,36.0,6.0,4.857,1.0,0.0,0.14300000000000002,0.402,0.067,0.054000000000000006,0.011000000000000001,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,58.33,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
13,14530,COD,Africa,Democratic Republic of Congo,2020-03-24,45.0,9.0,6.0,2.0,1.0,0.28600000000000003,0.502,0.1,0.067,0.022000000000000002,0.011000000000000001,0.003,,,,,,,,,,,,,,,,,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
14,14531,COD,Africa,Democratic Republic of Congo,2020-03-25,48.0,3.0,6.2860000000000005,2.0,0.0,0.28600000000000003,0.536,0.033,0.07,0.022000000000000002,0.0,0.003,,,,,,,,,,,,,,,,,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
15,14532,COD,Africa,Democratic Republic of Congo,2020-03-26,51.0,3.0,5.2860000000000005,3.0,1.0,0.429,0.569,0.033,0.059000000000000004,0.033,0.011000000000000001,0.005,,,,,,,,,,,,,,,,,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
16,14533,COD,Africa,Democratic Republic of Congo,2020-03-27,51.0,0.0,4.7139999999999995,3.0,0.0,0.429,0.569,0.0,0.053,0.033,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
17,14534,COD,Africa,Democratic Republic of Congo,2020-03-28,65.0,14.0,6.0,6.0,3.0,0.7140000000000001,0.726,0.156,0.067,0.067,0.033,0.008,,,,,,,,,,,,,,,,,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
18,14535,COD,Africa,Democratic Republic of Congo,2020-03-29,65.0,0.0,5.0,6.0,0.0,0.7140000000000001,0.726,0.0,0.055999999999999994,0.067,0.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
19,14536,COD,Africa,Democratic Republic of Congo,2020-03-30,81.0,16.0,6.428999999999999,8.0,2.0,1.0,0.904,0.179,0.07200000000000001,0.08900000000000001,0.022000000000000002,0.011000000000000001,,,,,,,,,,,,,,,,,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
20,14537,COD,Africa,Democratic Republic of Congo,2020-03-31,98.0,17.0,7.571000000000001,8.0,0.0,0.857,1.094,0.19,0.085,0.08900000000000001,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
21,14538,COD,Africa,Democratic Republic of Congo,2020-04-01,109.0,11.0,8.714,9.0,1.0,1.0,1.217,0.12300000000000001,0.09699999999999999,0.1,0.011000000000000001,0.011000000000000001,,,,,,,,,,,,,,,,,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
22,14539,COD,Africa,Democratic Republic of Congo,2020-04-02,134.0,25.0,11.857000000000001,13.0,4.0,1.429,1.496,0.27899999999999997,0.132,0.145,0.045,0.016,1.13,,,,,,,,,,,,,,,,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
23,14540,COD,Africa,Democratic Republic of Congo,2020-04-03,134.0,0.0,11.857000000000001,13.0,0.0,1.429,1.496,0.0,0.132,0.145,0.0,0.016,1.13,,,,,,,,,,,,,,,,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
24,14541,COD,Africa,Democratic Republic of Congo,2020-04-04,154.0,20.0,12.714,18.0,5.0,1.714,1.719,0.223,0.142,0.201,0.055999999999999994,0.019,1.13,,,,,,,,,,,,,,,,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
25,14542,COD,Africa,Democratic Republic of Congo,2020-04-05,154.0,0.0,12.714,18.0,0.0,1.714,1.719,0.0,0.142,0.201,0.0,0.019,1.13,,,,,,,,,,,,,,,,,,,,,,,77.78,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
26,14543,COD,Africa,Democratic Republic of Congo,2020-04-06,161.0,7.0,11.429,18.0,0.0,1.429,1.798,0.078,0.128,0.201,0.0,0.016,1.13,,,,,,,,,,,,,,,,,,,,,,,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
27,14544,COD,Africa,Democratic Republic of Congo,2020-04-07,180.0,19.0,11.714,18.0,0.0,1.429,2.01,0.212,0.131,0.201,0.0,0.016,1.13,,,,,,,,,,,,,,,,,,,,,,,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
28,14545,COD,Africa,Democratic Republic of Congo,2020-04-08,180.0,0.0,10.142999999999999,18.0,0.0,1.286,2.01,0.0,0.113,0.201,0.0,0.013999999999999999,1.13,,,,,,,,,,64.0,,0.001,,,,,samples tested,,,,,,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
29,14546,COD,Africa,Democratic Republic of Congo,2020-04-09,180.0,0.0,6.571000000000001,18.0,0.0,0.7140000000000001,2.01,0.0,0.073,0.201,0.0,0.008,1.14,,,,,,,,,,98.0,,0.001,,,,,samples tested,,,,,,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
