,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,15191,DJI,Africa,Djibouti,2020-03-18,1.0,1.0,,,,,1.012,1.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.47600000000000003
1,15192,DJI,Africa,Djibouti,2020-03-19,1.0,0.0,,,,,1.012,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.47600000000000003
2,15193,DJI,Africa,Djibouti,2020-03-20,1.0,0.0,,,,,1.012,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.47600000000000003
3,15194,DJI,Africa,Djibouti,2020-03-21,1.0,0.0,,,,,1.012,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.47600000000000003
4,15195,DJI,Africa,Djibouti,2020-03-22,1.0,0.0,,,,,1.012,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.47600000000000003
5,15196,DJI,Africa,Djibouti,2020-03-23,3.0,2.0,0.429,,,0.0,3.036,2.024,0.434,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,94.44,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.47600000000000003
6,15197,DJI,Africa,Djibouti,2020-03-24,3.0,0.0,0.429,,,0.0,3.036,0.0,0.434,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,94.44,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.47600000000000003
7,15198,DJI,Africa,Djibouti,2020-03-25,11.0,8.0,1.429,,,0.0,11.134,8.097000000000001,1.446,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,94.44,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.47600000000000003
8,15199,DJI,Africa,Djibouti,2020-03-26,11.0,0.0,1.429,,,0.0,11.134,0.0,1.446,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,94.44,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.47600000000000003
9,15200,DJI,Africa,Djibouti,2020-03-27,12.0,1.0,1.571,,,0.0,12.145999999999999,1.012,1.591,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,94.44,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.47600000000000003
10,15201,DJI,Africa,Djibouti,2020-03-28,14.0,2.0,1.857,,,0.0,14.17,2.024,1.88,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,94.44,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.47600000000000003
11,15202,DJI,Africa,Djibouti,2020-03-29,18.0,4.0,2.4290000000000003,,,0.0,18.219,4.0489999999999995,2.458,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,94.44,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.47600000000000003
12,15203,DJI,Africa,Djibouti,2020-03-30,18.0,0.0,2.1430000000000002,,,0.0,18.219,0.0,2.169,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,94.44,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.47600000000000003
