,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,15803,DOM,North America,Dominican Republic,2020-03-01,1.0,1.0,,,,,0.092,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
1,15804,DOM,North America,Dominican Republic,2020-03-02,1.0,0.0,,,,,0.092,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
2,15805,DOM,North America,Dominican Republic,2020-03-03,1.0,0.0,,,,,0.092,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
3,15806,DOM,North America,Dominican Republic,2020-03-04,1.0,0.0,,,,,0.092,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
4,15807,DOM,North America,Dominican Republic,2020-03-05,1.0,0.0,,,,,0.092,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
5,15808,DOM,North America,Dominican Republic,2020-03-06,2.0,1.0,0.28600000000000003,,,0.0,0.184,0.092,0.026000000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
6,15809,DOM,North America,Dominican Republic,2020-03-07,2.0,0.0,0.28600000000000003,,,0.0,0.184,0.0,0.026000000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
7,15810,DOM,North America,Dominican Republic,2020-03-08,5.0,3.0,0.5710000000000001,,,0.0,0.461,0.27699999999999997,0.053,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
8,15811,DOM,North America,Dominican Republic,2020-03-09,5.0,0.0,0.5710000000000001,,,0.0,0.461,0.0,0.053,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
9,15812,DOM,North America,Dominican Republic,2020-03-10,5.0,0.0,0.5710000000000001,,,0.0,0.461,0.0,0.053,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
10,15813,DOM,North America,Dominican Republic,2020-03-11,5.0,0.0,0.5710000000000001,,,0.0,0.461,0.0,0.053,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
11,15814,DOM,North America,Dominican Republic,2020-03-12,5.0,0.0,0.5710000000000001,,,0.0,0.461,0.0,0.053,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
12,15815,DOM,North America,Dominican Republic,2020-03-13,5.0,0.0,0.429,,,0.0,0.461,0.0,0.04,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
13,15816,DOM,North America,Dominican Republic,2020-03-14,11.0,6.0,1.286,,,0.0,1.014,0.5529999999999999,0.11900000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
14,15817,DOM,North America,Dominican Republic,2020-03-15,11.0,0.0,0.857,,,0.0,1.014,0.0,0.079,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
15,15818,DOM,North America,Dominican Republic,2020-03-16,11.0,0.0,0.857,,,0.0,1.014,0.0,0.079,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,19.44,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
16,15819,DOM,North America,Dominican Republic,2020-03-17,21.0,10.0,2.286,1.0,1.0,0.14300000000000002,1.936,0.922,0.21100000000000002,0.092,0.092,0.013000000000000001,,,,,,,,,,,,,,,,,,,,,,,,34.26,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
17,15820,DOM,North America,Dominican Republic,2020-03-18,21.0,0.0,2.286,1.0,0.0,0.14300000000000002,1.936,0.0,0.21100000000000002,0.092,0.0,0.013000000000000001,,,,,,,,,,88.0,,0.008,,,,,,samples tested,,,,,,34.26,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
18,15821,DOM,North America,Dominican Republic,2020-03-19,34.0,13.0,4.143,2.0,1.0,0.28600000000000003,3.134,1.198,0.382,0.184,0.092,0.026000000000000002,,,,,,,,,,,,,,,,,,samples tested,,,,,,81.48,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
19,15822,DOM,North America,Dominican Republic,2020-03-20,72.0,38.0,9.571,2.0,0.0,0.28600000000000003,6.6370000000000005,3.503,0.882,0.184,0.0,0.026000000000000002,,,,,,,,,,288.0,,0.027000000000000003,,,,,,samples tested,,,,,,92.59,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
20,15823,DOM,North America,Dominican Republic,2020-03-21,112.0,40.0,14.429,2.0,0.0,0.28600000000000003,10.325,3.687,1.33,0.184,0.0,0.026000000000000002,,,,,,,,,,597.0,309.0,0.055,0.027999999999999997,,,,,samples tested,,,,,,92.59,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
21,15824,DOM,North America,Dominican Republic,2020-03-22,202.0,90.0,27.285999999999998,3.0,1.0,0.429,18.621,8.297,2.515,0.27699999999999997,0.092,0.04,2.16,,,,,,,,,788.0,191.0,0.073,0.018000000000000002,,,,,samples tested,,,,,,92.59,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
22,15825,DOM,North America,Dominican Republic,2020-03-23,245.0,43.0,33.429,3.0,0.0,0.429,22.585,3.964,3.082,0.27699999999999997,0.0,0.04,2.12,,,,,,,,,973.0,185.0,0.09,0.017,,,,,samples tested,,,,,,92.59,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
