,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,16128,ECU,South America,Ecuador,2020-03-01,6.0,6.0,,,,,0.34,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,17643060.0,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01,0.752
1,16129,ECU,South America,Ecuador,2020-03-02,6.0,0.0,,,,,0.34,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,17643060.0,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01,0.752
2,16130,ECU,South America,Ecuador,2020-03-03,7.0,1.0,,,,,0.397,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,17643060.0,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01,0.752
3,16131,ECU,South America,Ecuador,2020-03-04,10.0,3.0,,,,,0.5670000000000001,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,17643060.0,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01,0.752
4,16132,ECU,South America,Ecuador,2020-03-05,13.0,3.0,,,,,0.737,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,17643060.0,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01,0.752
5,16133,ECU,South America,Ecuador,2020-03-06,13.0,0.0,1.857,,,0.0,0.737,0.0,0.105,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.33,17643060.0,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01,0.752
6,16134,ECU,South America,Ecuador,2020-03-07,13.0,0.0,1.857,,,0.0,0.737,0.0,0.105,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.33,17643060.0,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01,0.752
7,16135,ECU,South America,Ecuador,2020-03-08,14.0,1.0,1.143,,,0.0,0.794,0.057,0.065,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.33,17643060.0,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01,0.752
8,16136,ECU,South America,Ecuador,2020-03-09,15.0,1.0,1.286,,,0.0,0.85,0.057,0.073,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.33,17643060.0,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01,0.752
9,16137,ECU,South America,Ecuador,2020-03-10,15.0,0.0,1.143,,,0.0,0.85,0.0,0.065,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.33,17643060.0,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01,0.752
