,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,16453,EGY,Africa,Egypt,2020-02-14,1.0,1.0,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
1,16454,EGY,Africa,Egypt,2020-02-15,1.0,0.0,,,,,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
2,16455,EGY,Africa,Egypt,2020-02-16,1.0,0.0,,,,,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
3,16456,EGY,Africa,Egypt,2020-02-17,1.0,0.0,,,,,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
4,16457,EGY,Africa,Egypt,2020-02-18,1.0,0.0,,,,,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
5,16458,EGY,Africa,Egypt,2020-02-19,1.0,0.0,0.14300000000000002,,,0.0,0.01,0.0,0.001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
6,16459,EGY,Africa,Egypt,2020-02-20,1.0,0.0,0.14300000000000002,,,0.0,0.01,0.0,0.001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
7,16460,EGY,Africa,Egypt,2020-02-21,1.0,0.0,0.0,,,0.0,0.01,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
8,16461,EGY,Africa,Egypt,2020-02-22,1.0,0.0,0.0,,,0.0,0.01,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
9,16462,EGY,Africa,Egypt,2020-02-23,1.0,0.0,0.0,,,0.0,0.01,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
10,16463,EGY,Africa,Egypt,2020-02-24,1.0,0.0,0.0,,,0.0,0.01,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
11,16464,EGY,Africa,Egypt,2020-02-25,1.0,0.0,0.0,,,0.0,0.01,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
12,16465,EGY,Africa,Egypt,2020-02-26,1.0,0.0,0.0,,,0.0,0.01,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
13,16466,EGY,Africa,Egypt,2020-02-27,1.0,0.0,0.0,,,0.0,0.01,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
14,16467,EGY,Africa,Egypt,2020-02-28,1.0,0.0,0.0,,,0.0,0.01,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
15,16468,EGY,Africa,Egypt,2020-02-29,1.0,0.0,0.0,,,0.0,0.01,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
16,16469,EGY,Africa,Egypt,2020-03-01,2.0,1.0,0.14300000000000002,,,0.0,0.02,0.01,0.001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
17,16470,EGY,Africa,Egypt,2020-03-02,2.0,0.0,0.14300000000000002,,,0.0,0.02,0.0,0.001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
18,16471,EGY,Africa,Egypt,2020-03-03,2.0,0.0,0.14300000000000002,,,0.0,0.02,0.0,0.001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
19,16472,EGY,Africa,Egypt,2020-03-04,2.0,0.0,0.14300000000000002,,,0.0,0.02,0.0,0.001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
20,16473,EGY,Africa,Egypt,2020-03-05,3.0,1.0,0.28600000000000003,,,0.0,0.028999999999999998,0.01,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
21,16474,EGY,Africa,Egypt,2020-03-06,15.0,12.0,2.0,,,0.0,0.147,0.11699999999999999,0.02,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
22,16475,EGY,Africa,Egypt,2020-03-07,15.0,0.0,2.0,,,0.0,0.147,0.0,0.02,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
23,16476,EGY,Africa,Egypt,2020-03-08,49.0,34.0,6.7139999999999995,1.0,1.0,0.14300000000000002,0.479,0.332,0.066,0.01,0.01,0.001,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
24,16477,EGY,Africa,Egypt,2020-03-09,55.0,6.0,7.571000000000001,1.0,0.0,0.14300000000000002,0.537,0.059000000000000004,0.07400000000000001,0.01,0.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
25,16478,EGY,Africa,Egypt,2020-03-10,59.0,4.0,8.142999999999999,1.0,0.0,0.14300000000000002,0.5770000000000001,0.039,0.08,0.01,0.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
26,16479,EGY,Africa,Egypt,2020-03-11,60.0,1.0,8.286,1.0,0.0,0.14300000000000002,0.586,0.01,0.081,0.01,0.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
27,16480,EGY,Africa,Egypt,2020-03-12,67.0,7.0,9.142999999999999,1.0,0.0,0.14300000000000002,0.655,0.068,0.08900000000000001,0.01,0.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
28,16481,EGY,Africa,Egypt,2020-03-13,80.0,13.0,9.286,2.0,1.0,0.28600000000000003,0.782,0.127,0.091,0.02,0.01,0.003,,,,,,,,,,,,,,,,,,,,,,,,0.0,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
