,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,16794,SLV,North America,El Salvador,2020-03-19,1.0,1.0,,,,,0.154,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.674
1,16795,SLV,North America,El Salvador,2020-03-20,1.0,0.0,,,,,0.154,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.674
2,16796,SLV,North America,El Salvador,2020-03-21,3.0,2.0,,,,,0.46299999999999997,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.674
3,16797,SLV,North America,El Salvador,2020-03-22,3.0,0.0,,,,,0.46299999999999997,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.674
4,16798,SLV,North America,El Salvador,2020-03-23,3.0,0.0,,,,,0.46299999999999997,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.674
5,16799,SLV,North America,El Salvador,2020-03-24,5.0,2.0,0.7140000000000001,,,0.0,0.7709999999999999,0.308,0.11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.674
6,16800,SLV,North America,El Salvador,2020-03-25,9.0,4.0,1.286,,,0.0,1.3880000000000001,0.617,0.198,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.674
7,16801,SLV,North America,El Salvador,2020-03-26,13.0,4.0,1.714,,,0.0,2.004,0.617,0.264,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.674
8,16802,SLV,North America,El Salvador,2020-03-27,13.0,0.0,1.714,,,0.0,2.004,0.0,0.264,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.674
9,16803,SLV,North America,El Salvador,2020-03-28,19.0,6.0,2.286,,,0.0,2.929,0.925,0.35200000000000004,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.674
