,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,17101,GNQ,Africa,Equatorial Guinea,2020-03-15,1.0,1.0,,,,,0.713,0.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402985.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.591
1,17102,GNQ,Africa,Equatorial Guinea,2020-03-16,1.0,0.0,,,,,0.713,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402985.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.591
2,17103,GNQ,Africa,Equatorial Guinea,2020-03-17,1.0,0.0,,,,,0.713,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402985.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.591
3,17104,GNQ,Africa,Equatorial Guinea,2020-03-18,4.0,3.0,,,,,2.8510000000000004,2.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402985.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.591
4,17105,GNQ,Africa,Equatorial Guinea,2020-03-19,6.0,2.0,,,,,4.277,1.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402985.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.591
5,17106,GNQ,Africa,Equatorial Guinea,2020-03-20,6.0,0.0,0.857,,,0.0,4.277,0.0,0.611,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1402985.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.591
6,17107,GNQ,Africa,Equatorial Guinea,2020-03-21,6.0,0.0,0.857,,,0.0,4.277,0.0,0.611,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1402985.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.591
7,17108,GNQ,Africa,Equatorial Guinea,2020-03-22,6.0,0.0,0.7140000000000001,,,0.0,4.277,0.0,0.509,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1402985.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.591
8,17109,GNQ,Africa,Equatorial Guinea,2020-03-23,9.0,3.0,1.143,,,0.0,6.415,2.138,0.815,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1402985.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.591
9,17110,GNQ,Africa,Equatorial Guinea,2020-03-24,9.0,0.0,1.143,,,0.0,6.415,0.0,0.815,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1402985.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.591
