,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,17412,ERI,Africa,Eritrea,2020-03-21,1.0,1.0,,,,,0.282,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,3546427.0,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,,311.11,6.05,0.2,11.4,,0.7,66.32,0.44
1,17413,ERI,Africa,Eritrea,2020-03-22,1.0,0.0,,,,,0.282,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,3546427.0,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,,311.11,6.05,0.2,11.4,,0.7,66.32,0.44
2,17414,ERI,Africa,Eritrea,2020-03-23,1.0,0.0,,,,,0.282,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,3546427.0,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,,311.11,6.05,0.2,11.4,,0.7,66.32,0.44
3,17415,ERI,Africa,Eritrea,2020-03-24,1.0,0.0,,,,,0.282,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,3546427.0,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,,311.11,6.05,0.2,11.4,,0.7,66.32,0.44
4,17416,ERI,Africa,Eritrea,2020-03-25,4.0,3.0,,,,,1.128,0.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,3546427.0,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,,311.11,6.05,0.2,11.4,,0.7,66.32,0.44
5,17417,ERI,Africa,Eritrea,2020-03-26,6.0,2.0,0.857,,,0.0,1.692,0.564,0.242,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,56.48,3546427.0,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,,311.11,6.05,0.2,11.4,,0.7,66.32,0.44
6,17418,ERI,Africa,Eritrea,2020-03-27,6.0,0.0,0.857,,,0.0,1.692,0.0,0.242,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,73.15,3546427.0,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,,311.11,6.05,0.2,11.4,,0.7,66.32,0.44
7,17419,ERI,Africa,Eritrea,2020-03-28,6.0,0.0,0.7140000000000001,,,0.0,1.692,0.0,0.201,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,73.15,3546427.0,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,,311.11,6.05,0.2,11.4,,0.7,66.32,0.44
8,17420,ERI,Africa,Eritrea,2020-03-29,12.0,6.0,1.571,,,0.0,3.384,1.692,0.44299999999999995,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,73.15,3546427.0,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,,311.11,6.05,0.2,11.4,,0.7,66.32,0.44
9,17421,ERI,Africa,Eritrea,2020-03-30,12.0,0.0,1.571,,,0.0,3.384,0.0,0.44299999999999995,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,73.15,3546427.0,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,,311.11,6.05,0.2,11.4,,0.7,66.32,0.44
