,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,17717,EST,Europe,Estonia,2020-02-26,,,,,,,,,,,,,,0.0,0.0,1.0,0.754,,,,,13.0,,0.01,,,,,,tests performed,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,78.74,0.871
1,17718,EST,Europe,Estonia,2020-02-27,1.0,1.0,,,,,0.754,0.754,,,,,,0.0,0.0,1.0,0.754,,,,,23.0,10.0,0.017,0.008,,,,,tests performed,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,78.74,0.871
2,17719,EST,Europe,Estonia,2020-02-28,1.0,0.0,,,,,0.754,0.0,,,,,,0.0,0.0,1.0,0.754,,,,,36.0,13.0,0.027000000000000003,0.01,,,,,tests performed,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,78.74,0.871
3,17720,EST,Europe,Estonia,2020-02-29,1.0,0.0,,,,,0.754,0.0,,,,,,0.0,0.0,1.0,0.754,,,,,44.0,8.0,0.033,0.006,,,,,tests performed,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,78.74,0.871
4,17721,EST,Europe,Estonia,2020-03-01,1.0,0.0,,,,,0.754,0.0,,,,,,0.0,0.0,1.0,0.754,,,1.001,0.755,62.0,18.0,0.047,0.013999999999999999,,,,,tests performed,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,78.74,0.871
5,17722,EST,Europe,Estonia,2020-03-02,1.0,0.0,,,,,0.754,0.0,,,,,,0.0,0.0,1.0,0.754,,,,,84.0,22.0,0.063,0.017,,,,,tests performed,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,78.74,0.871
6,17723,EST,Europe,Estonia,2020-03-03,2.0,1.0,0.28600000000000003,,,0.0,1.508,0.754,0.215,,,0.0,,0.0,0.0,1.0,0.754,,,,,113.0,29.0,0.085,0.022000000000000002,,,,,tests performed,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,78.74,0.871
7,17724,EST,Europe,Estonia,2020-03-04,2.0,0.0,0.28600000000000003,,,0.0,1.508,0.0,0.215,,,0.0,,0.0,0.0,1.0,0.754,,,,,149.0,36.0,0.11199999999999999,0.027000000000000003,19.0,0.013999999999999999,0.015,66.4,tests performed,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,78.74,0.871
8,17725,EST,Europe,Estonia,2020-03-05,3.0,1.0,0.28600000000000003,,,0.0,2.262,0.754,0.215,,,0.0,,0.0,0.0,1.0,0.754,,,,,184.0,35.0,0.139,0.026000000000000002,23.0,0.017,0.012,80.4,tests performed,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,78.74,0.871
9,17726,EST,Europe,Estonia,2020-03-06,10.0,7.0,1.286,,,0.0,7.537999999999999,5.277,0.9690000000000001,,,0.0,,0.0,0.0,1.0,0.754,,,,,256.0,72.0,0.193,0.054000000000000006,31.0,0.023,0.040999999999999995,24.1,tests performed,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,78.74,0.871
