,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,18046,SWZ,Africa,Eswatini,2020-03-14,1.0,1.0,,,,,0.862,0.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
1,18047,SWZ,Africa,Eswatini,2020-03-15,1.0,0.0,,,,,0.862,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
2,18048,SWZ,Africa,Eswatini,2020-03-16,1.0,0.0,,,,,0.862,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
3,18049,SWZ,Africa,Eswatini,2020-03-17,1.0,0.0,,,,,0.862,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
4,18050,SWZ,Africa,Eswatini,2020-03-18,1.0,0.0,,,,,0.862,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
5,18051,SWZ,Africa,Eswatini,2020-03-19,1.0,0.0,0.14300000000000002,,,0.0,0.862,0.0,0.12300000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
6,18052,SWZ,Africa,Eswatini,2020-03-20,1.0,0.0,0.14300000000000002,,,0.0,0.862,0.0,0.12300000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
7,18053,SWZ,Africa,Eswatini,2020-03-21,1.0,0.0,0.0,,,0.0,0.862,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
8,18054,SWZ,Africa,Eswatini,2020-03-22,4.0,3.0,0.429,,,0.0,3.448,2.5860000000000003,0.369,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
9,18055,SWZ,Africa,Eswatini,2020-03-23,4.0,0.0,0.429,,,0.0,3.448,0.0,0.369,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
10,18056,SWZ,Africa,Eswatini,2020-03-24,4.0,0.0,0.429,,,0.0,3.448,0.0,0.369,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
11,18057,SWZ,Africa,Eswatini,2020-03-25,4.0,0.0,0.429,,,0.0,3.448,0.0,0.369,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
12,18058,SWZ,Africa,Eswatini,2020-03-26,6.0,2.0,0.7140000000000001,,,0.0,5.172000000000001,1.724,0.616,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,55.56,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
13,18059,SWZ,Africa,Eswatini,2020-03-27,9.0,3.0,1.143,,,0.0,7.757999999999999,2.5860000000000003,0.985,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,86.11,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
14,18060,SWZ,Africa,Eswatini,2020-03-28,9.0,0.0,1.143,,,0.0,7.757999999999999,0.0,0.985,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,86.11,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
15,18061,SWZ,Africa,Eswatini,2020-03-29,9.0,0.0,0.7140000000000001,,,0.0,7.757999999999999,0.0,0.616,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,86.11,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
16,18062,SWZ,Africa,Eswatini,2020-03-30,9.0,0.0,0.7140000000000001,,,0.0,7.757999999999999,0.0,0.616,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,86.11,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
17,18063,SWZ,Africa,Eswatini,2020-03-31,9.0,0.0,0.7140000000000001,,,0.0,7.757999999999999,0.0,0.616,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,86.11,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
18,18064,SWZ,Africa,Eswatini,2020-04-01,9.0,0.0,0.7140000000000001,,,0.0,7.757999999999999,0.0,0.616,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,86.11,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
19,18065,SWZ,Africa,Eswatini,2020-04-02,9.0,0.0,0.429,,,0.0,7.757999999999999,0.0,0.369,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,86.11,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
20,18066,SWZ,Africa,Eswatini,2020-04-03,9.0,0.0,0.0,,,0.0,7.757999999999999,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
21,18067,SWZ,Africa,Eswatini,2020-04-04,9.0,0.0,0.0,,,0.0,7.757999999999999,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
22,18068,SWZ,Africa,Eswatini,2020-04-05,9.0,0.0,0.0,,,0.0,7.757999999999999,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
23,18069,SWZ,Africa,Eswatini,2020-04-06,10.0,1.0,0.14300000000000002,,,0.0,8.619,0.862,0.12300000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
24,18070,SWZ,Africa,Eswatini,2020-04-07,10.0,0.0,0.14300000000000002,,,0.0,8.619,0.0,0.12300000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,89.81,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
