,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,18358,ETH,Africa,Ethiopia,2020-03-13,1.0,1.0,,,,,0.009000000000000001,0.009000000000000001,,,,,,,,,,,,,,1.0,,0.0,,,,,,tests performed,,,,,,2.78,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6,0.46299999999999997
1,18359,ETH,Africa,Ethiopia,2020-03-14,1.0,0.0,,,,,0.009000000000000001,0.0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,2.78,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6,0.46299999999999997
2,18360,ETH,Africa,Ethiopia,2020-03-15,1.0,0.0,,,,,0.009000000000000001,0.0,,,,,,,,,,,,,,118.0,,0.001,,,,,,tests performed,,,,,,2.78,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6,0.46299999999999997
3,18361,ETH,Africa,Ethiopia,2020-03-16,5.0,4.0,,,,,0.043,0.035,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,35.19,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6,0.46299999999999997
4,18362,ETH,Africa,Ethiopia,2020-03-17,5.0,0.0,,,,,0.043,0.0,,,,,,,,,,,,,,119.0,,0.001,,,,,,tests performed,,,,,,35.19,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6,0.46299999999999997
5,18363,ETH,Africa,Ethiopia,2020-03-18,6.0,1.0,0.857,,,0.0,0.052000000000000005,0.009000000000000001,0.006999999999999999,,,0.0,,,,,,,,,,,,,,,,,,tests performed,,,,,,35.19,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6,0.46299999999999997
6,18364,ETH,Africa,Ethiopia,2020-03-19,6.0,0.0,0.857,,,0.0,0.052000000000000005,0.0,0.006999999999999999,,,0.0,,,,,,,,,,342.0,,0.003,,,,,,tests performed,,,,,,35.19,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6,0.46299999999999997
7,18365,ETH,Africa,Ethiopia,2020-03-20,9.0,3.0,1.143,,,0.0,0.078,0.026000000000000002,0.01,,,0.0,,,,,,,,,,,,,,51.0,0.0,0.022000000000000002,44.6,tests performed,,,,,,35.19,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6,0.46299999999999997
8,18366,ETH,Africa,Ethiopia,2020-03-21,9.0,0.0,1.143,,,0.0,0.078,0.0,0.01,,,0.0,,,,,,,,,,,,,,45.0,0.0,0.025,39.4,tests performed,,,,,,35.19,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6,0.46299999999999997
9,18367,ETH,Africa,Ethiopia,2020-03-22,11.0,2.0,1.429,,,0.0,0.096,0.017,0.012,,,0.0,,,,,,,,,,392.0,,0.003,,39.0,0.0,0.037000000000000005,27.3,tests performed,,,,,,35.19,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6,0.46299999999999997
