,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,19384,FRA,Europe,France,2020-01-24,2.0,2.0,,,,,0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
1,19385,FRA,Europe,France,2020-01-25,3.0,1.0,,,,,0.046,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
2,19386,FRA,Europe,France,2020-01-26,3.0,0.0,,,,,0.046,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
3,19387,FRA,Europe,France,2020-01-27,3.0,0.0,,,,,0.046,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
4,19388,FRA,Europe,France,2020-01-28,4.0,1.0,,,,,0.061,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
5,19389,FRA,Europe,France,2020-01-29,5.0,1.0,0.7140000000000001,,,0.0,0.077,0.015,0.011000000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
6,19390,FRA,Europe,France,2020-01-30,5.0,0.0,0.7140000000000001,,,0.0,0.077,0.0,0.011000000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
7,19391,FRA,Europe,France,2020-01-31,5.0,0.0,0.429,,,0.0,0.077,0.0,0.006999999999999999,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
8,19392,FRA,Europe,France,2020-02-01,6.0,1.0,0.429,,,0.0,0.092,0.015,0.006999999999999999,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
9,19393,FRA,Europe,France,2020-02-02,6.0,0.0,0.429,,,0.0,0.092,0.0,0.006999999999999999,,,0.0,,1.0,0.015,6.0,0.092,,,,,,,,,,,,,,,,,,,11.11,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
10,19394,FRA,Europe,France,2020-02-03,6.0,0.0,0.429,,,0.0,0.092,0.0,0.006999999999999999,,,0.0,,1.0,0.015,6.0,0.092,,,,,,,,,,,,,,,,,,,11.11,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
11,19395,FRA,Europe,France,2020-02-04,6.0,0.0,0.28600000000000003,,,0.0,0.092,0.0,0.004,,,0.0,,1.0,0.015,6.0,0.092,,,,,,,,,,,,,,,,,,,11.11,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
12,19396,FRA,Europe,France,2020-02-05,6.0,0.0,0.14300000000000002,,,0.0,0.092,0.0,0.002,,,0.0,,1.0,0.015,6.0,0.092,,,,,,,,,,,,,,,,,,,11.11,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
13,19397,FRA,Europe,France,2020-02-06,6.0,0.0,0.14300000000000002,,,0.0,0.092,0.0,0.002,,,0.0,,,,6.0,0.092,,,,,,,,,,,,,,,,,,,11.11,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
14,19398,FRA,Europe,France,2020-02-07,6.0,0.0,0.14300000000000002,,,0.0,0.092,0.0,0.002,,,0.0,,1.0,0.015,11.0,0.16899999999999998,,,,,,,,,,,,,,,,,,,11.11,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
