,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,19746,GAB,Africa,Gabon,2020-03-14,1.0,1.0,,,,,0.449,0.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
1,19747,GAB,Africa,Gabon,2020-03-15,1.0,0.0,,,,,0.449,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
2,19748,GAB,Africa,Gabon,2020-03-16,1.0,0.0,,,,,0.449,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
3,19749,GAB,Africa,Gabon,2020-03-17,1.0,0.0,,,,,0.449,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
4,19750,GAB,Africa,Gabon,2020-03-18,1.0,0.0,,,,,0.449,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
5,19751,GAB,Africa,Gabon,2020-03-19,1.0,0.0,0.14300000000000002,,,0.0,0.449,0.0,0.064,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,44.44,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
6,19752,GAB,Africa,Gabon,2020-03-20,3.0,2.0,0.429,1.0,1.0,0.14300000000000002,1.348,0.899,0.193,0.449,0.449,0.064,,,,,,,,,,,,,,,,,,,,,,,,62.96,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
7,19753,GAB,Africa,Gabon,2020-03-21,4.0,1.0,0.429,1.0,0.0,0.14300000000000002,1.797,0.449,0.193,0.449,0.0,0.064,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
8,19754,GAB,Africa,Gabon,2020-03-22,5.0,1.0,0.5710000000000001,1.0,0.0,0.14300000000000002,2.246,0.449,0.257,0.449,0.0,0.064,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
9,19755,GAB,Africa,Gabon,2020-03-23,5.0,0.0,0.5710000000000001,1.0,0.0,0.14300000000000002,2.246,0.0,0.257,0.449,0.0,0.064,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
10,19756,GAB,Africa,Gabon,2020-03-24,6.0,1.0,0.7140000000000001,1.0,0.0,0.14300000000000002,2.696,0.449,0.321,0.449,0.0,0.064,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
11,19757,GAB,Africa,Gabon,2020-03-25,6.0,0.0,0.7140000000000001,1.0,0.0,0.14300000000000002,2.696,0.0,0.321,0.449,0.0,0.064,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
12,19758,GAB,Africa,Gabon,2020-03-26,7.0,1.0,0.857,1.0,0.0,0.14300000000000002,3.145,0.449,0.385,0.449,0.0,0.064,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
13,19759,GAB,Africa,Gabon,2020-03-27,7.0,0.0,0.5710000000000001,1.0,0.0,0.0,3.145,0.0,0.257,0.449,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
14,19760,GAB,Africa,Gabon,2020-03-28,7.0,0.0,0.429,1.0,0.0,0.0,3.145,0.0,0.193,0.449,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
15,19761,GAB,Africa,Gabon,2020-03-29,7.0,0.0,0.28600000000000003,1.0,0.0,0.0,3.145,0.0,0.128,0.449,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
16,19762,GAB,Africa,Gabon,2020-03-30,7.0,0.0,0.28600000000000003,1.0,0.0,0.0,3.145,0.0,0.128,0.449,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
17,19763,GAB,Africa,Gabon,2020-03-31,16.0,9.0,1.429,1.0,0.0,0.0,7.189,4.044,0.642,0.449,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
18,19764,GAB,Africa,Gabon,2020-04-01,18.0,2.0,1.714,1.0,0.0,0.0,8.087,0.899,0.77,0.449,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
19,19765,GAB,Africa,Gabon,2020-04-02,21.0,3.0,2.0,1.0,0.0,0.0,9.435,1.348,0.899,0.449,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
20,19766,GAB,Africa,Gabon,2020-04-03,21.0,0.0,2.0,1.0,0.0,0.0,9.435,0.0,0.899,0.449,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
21,19767,GAB,Africa,Gabon,2020-04-04,21.0,0.0,2.0,1.0,0.0,0.0,9.435,0.0,0.899,0.449,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
22,19768,GAB,Africa,Gabon,2020-04-05,21.0,0.0,2.0,1.0,0.0,0.0,9.435,0.0,0.899,0.449,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
23,19769,GAB,Africa,Gabon,2020-04-06,24.0,3.0,2.4290000000000003,1.0,0.0,0.0,10.783,1.348,1.091,0.449,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
24,19770,GAB,Africa,Gabon,2020-04-07,30.0,6.0,2.0,1.0,0.0,0.0,13.479000000000001,2.696,0.899,0.449,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
25,19771,GAB,Africa,Gabon,2020-04-08,34.0,4.0,2.286,1.0,0.0,0.0,15.276,1.797,1.0270000000000001,0.449,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
