,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,20058,GMB,Africa,Gambia,2020-03-17,1.0,1.0,,,,,0.414,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,2416664.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
1,20059,GMB,Africa,Gambia,2020-03-18,1.0,0.0,,,,,0.414,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,2416664.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
2,20060,GMB,Africa,Gambia,2020-03-19,1.0,0.0,,,,,0.414,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,2416664.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
3,20061,GMB,Africa,Gambia,2020-03-20,1.0,0.0,,,,,0.414,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,2416664.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
4,20062,GMB,Africa,Gambia,2020-03-21,1.0,0.0,,,,,0.414,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,2416664.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
5,20063,GMB,Africa,Gambia,2020-03-22,1.0,0.0,0.14300000000000002,,,0.0,0.414,0.0,0.059000000000000004,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,53.7,2416664.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
6,20064,GMB,Africa,Gambia,2020-03-23,2.0,1.0,0.28600000000000003,1.0,1.0,0.14300000000000002,0.828,0.414,0.11800000000000001,0.414,0.414,0.059000000000000004,,,,,,,,,,,,,,,,,,,,,,,,56.48,2416664.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
7,20065,GMB,Africa,Gambia,2020-03-24,3.0,1.0,0.28600000000000003,1.0,0.0,0.14300000000000002,1.2409999999999999,0.414,0.11800000000000001,0.414,0.0,0.059000000000000004,,,,,,,,,,,,,,,,,,,,,,,,56.48,2416664.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
8,20066,GMB,Africa,Gambia,2020-03-25,3.0,0.0,0.28600000000000003,1.0,0.0,0.14300000000000002,1.2409999999999999,0.0,0.11800000000000001,0.414,0.0,0.059000000000000004,,,,,,,,,,,,,,,,,,,,,,,,56.48,2416664.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
9,20067,GMB,Africa,Gambia,2020-03-26,3.0,0.0,0.28600000000000003,1.0,0.0,0.14300000000000002,1.2409999999999999,0.0,0.11800000000000001,0.414,0.0,0.059000000000000004,,,,,,,,,,,,,,,,,,,,,,,,56.48,2416664.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
