,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,21055,GHA,Africa,Ghana,2020-03-14,3.0,3.0,,,,,0.09699999999999999,0.09699999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
1,21056,GHA,Africa,Ghana,2020-03-15,6.0,3.0,,,,,0.193,0.09699999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
2,21057,GHA,Africa,Ghana,2020-03-16,6.0,0.0,,,,,0.193,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
3,21058,GHA,Africa,Ghana,2020-03-17,7.0,1.0,,,,,0.225,0.032,,,,,,,,,,,,,,143.0,,0.005,,,,,,samples tested,,,,,,50.0,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
4,21059,GHA,Africa,Ghana,2020-03-18,7.0,0.0,,,,,0.225,0.0,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,50.0,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
5,21060,GHA,Africa,Ghana,2020-03-19,11.0,4.0,1.571,,,0.0,0.354,0.129,0.051,,,0.0,,,,,,,,,,,,,,,,,,samples tested,,,,,,50.0,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
6,21061,GHA,Africa,Ghana,2020-03-20,16.0,5.0,2.286,,,0.0,0.515,0.161,0.07400000000000001,,,0.0,,,,,,,,,,,,,,,,,,samples tested,,,,,,50.0,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
7,21062,GHA,Africa,Ghana,2020-03-21,19.0,3.0,2.286,1.0,1.0,0.14300000000000002,0.611,0.09699999999999999,0.07400000000000001,0.032,0.032,0.005,,,,,,,,,,,,,,,,,,samples tested,,,,,,50.0,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
8,21063,GHA,Africa,Ghana,2020-03-22,23.0,4.0,2.4290000000000003,1.0,0.0,0.14300000000000002,0.74,0.129,0.078,0.032,0.0,0.005,,,,,,,,,,315.0,,0.01,,,,,,samples tested,,,,,,52.78,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
9,21064,GHA,Africa,Ghana,2020-03-23,27.0,4.0,3.0,2.0,1.0,0.28600000000000003,0.8690000000000001,0.129,0.09699999999999999,0.064,0.032,0.009000000000000001,,,,,,,,,,521.0,206.0,0.017,0.006999999999999999,,,,,samples tested,,,,,,52.78,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
10,21065,GHA,Africa,Ghana,2020-03-24,53.0,26.0,6.571000000000001,2.0,0.0,0.28600000000000003,1.706,0.8370000000000001,0.21100000000000002,0.064,0.0,0.009000000000000001,,,,,,,,,,,,,,111.0,0.004,0.059000000000000004,16.9,samples tested,,,,,,52.78,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
11,21066,GHA,Africa,Ghana,2020-03-25,93.0,40.0,12.286,4.0,2.0,0.5710000000000001,2.9930000000000003,1.287,0.395,0.129,0.064,0.018000000000000002,,,,,,,,,,,,,,163.0,0.005,0.075,13.3,samples tested,,,,,,52.78,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
12,21067,GHA,Africa,Ghana,2020-03-26,132.0,39.0,17.285999999999998,4.0,0.0,0.5710000000000001,4.248,1.255,0.556,0.129,0.0,0.018000000000000002,,,,,,,,,,,,,,215.0,0.006999999999999999,0.08,12.4,samples tested,,,,,,52.78,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
13,21068,GHA,Africa,Ghana,2020-03-27,137.0,5.0,17.285999999999998,4.0,0.0,0.5710000000000001,4.409,0.161,0.556,0.129,0.0,0.018000000000000002,1.27,,,,,,,,,,,,,268.0,0.009000000000000001,0.064,15.5,samples tested,,,,,,52.78,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
14,21069,GHA,Africa,Ghana,2020-03-28,141.0,4.0,17.429000000000002,5.0,1.0,0.5710000000000001,4.538,0.129,0.561,0.161,0.032,0.018000000000000002,1.27,,,,,,,,,2519.0,,0.081,,320.0,0.01,0.054000000000000006,18.4,samples tested,,,,,,52.78,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
15,21070,GHA,Africa,Ghana,2020-03-29,152.0,11.0,18.429000000000002,5.0,0.0,0.5710000000000001,4.8919999999999995,0.354,0.593,0.161,0.0,0.018000000000000002,1.27,,,,,,,,,,,,,459.0,0.015,0.04,24.9,samples tested,,,,,,52.78,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
16,21071,GHA,Africa,Ghana,2020-03-30,152.0,0.0,17.857,5.0,0.0,0.429,4.8919999999999995,0.0,0.575,0.161,0.0,0.013999999999999999,1.27,,,,,,,,,,,,,573.0,0.018000000000000002,0.031,32.1,samples tested,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
17,21072,GHA,Africa,Ghana,2020-03-31,161.0,9.0,15.429,5.0,0.0,0.429,5.181,0.29,0.49700000000000005,0.161,0.0,0.013999999999999999,1.27,,,,,,,,,,,,,660.0,0.021,0.023,42.8,samples tested,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
18,21073,GHA,Africa,Ghana,2020-04-01,195.0,34.0,14.571,5.0,0.0,0.14300000000000002,6.276,1.094,0.469,0.161,0.0,0.005,1.28,,,,,,,,,,,,,747.0,0.024,0.02,51.3,samples tested,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
