,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,21367,GRC,Europe,Greece,2020-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
1,21368,GRC,Europe,Greece,2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
2,21369,GRC,Europe,Greece,2020-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
3,21370,GRC,Europe,Greece,2020-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
4,21371,GRC,Europe,Greece,2020-02-26,1.0,1.0,,,,,0.096,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
5,21372,GRC,Europe,Greece,2020-02-27,3.0,2.0,,,,,0.28800000000000003,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
6,21373,GRC,Europe,Greece,2020-02-28,4.0,1.0,,,,,0.384,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
7,21374,GRC,Europe,Greece,2020-02-29,4.0,0.0,,,,,0.384,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
8,21375,GRC,Europe,Greece,2020-03-01,7.0,3.0,,,,,0.672,0.28800000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
9,21376,GRC,Europe,Greece,2020-03-02,7.0,0.0,1.0,,,0.0,0.672,0.0,0.096,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,19.44,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
10,21377,GRC,Europe,Greece,2020-03-03,7.0,0.0,1.0,,,0.0,0.672,0.0,0.096,,,0.0,,,,,,,,,,570.0,,0.055,,,,,,samples tested,,,,,,19.44,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
11,21378,GRC,Europe,Greece,2020-03-04,9.0,2.0,1.143,,,0.0,0.863,0.192,0.11,,,0.0,,,,,,,,,,,,,,,,,,samples tested,,,,,,19.44,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
12,21379,GRC,Europe,Greece,2020-03-05,31.0,22.0,4.0,,,0.0,2.9739999999999998,2.1109999999999998,0.384,,,0.0,,,,,,,,,,,,,,,,,,samples tested,,,,,,28.7,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
13,21380,GRC,Europe,Greece,2020-03-06,45.0,14.0,5.857,,,0.0,4.317,1.3430000000000002,0.562,,,0.0,,,,,,,,,,,,,,,,,,samples tested,,,,,,28.7,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
14,21381,GRC,Europe,Greece,2020-03-07,46.0,1.0,6.0,,,0.0,4.413,0.096,0.5760000000000001,,,0.0,,,,,,,,,,,,,,,,,,samples tested,,,,,,28.7,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
15,21382,GRC,Europe,Greece,2020-03-08,73.0,27.0,9.429,,,0.0,7.004,2.59,0.905,,,0.0,,,,,,1.944,0.18600000000000003,,,,,,,,,,,samples tested,,,,,,28.7,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
16,21383,GRC,Europe,Greece,2020-03-09,73.0,0.0,9.429,,,0.0,7.004,0.0,0.905,,,0.0,,,,,,,,,,,,,,,,,,samples tested,,,,,,31.48,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
17,21384,GRC,Europe,Greece,2020-03-10,89.0,16.0,11.714,,,0.0,8.539,1.535,1.124,,,0.0,,,,,,,,,,,,,,179.0,0.017,0.065,15.3,samples tested,,,,,,33.33,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
18,21385,GRC,Europe,Greece,2020-03-11,99.0,10.0,12.857000000000001,1.0,1.0,0.14300000000000002,9.498,0.9590000000000001,1.234,0.096,0.096,0.013999999999999999,,,,,,,,,,,,,,179.0,0.017,0.07200000000000001,13.9,samples tested,,,,,,33.33,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
19,21386,GRC,Europe,Greece,2020-03-12,99.0,0.0,9.714,1.0,0.0,0.14300000000000002,9.498,0.0,0.932,0.096,0.0,0.013999999999999999,,,,,,,,,,2180.0,,0.209,,179.0,0.017,0.054000000000000006,18.4,samples tested,,,,,,40.74,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
20,21387,GRC,Europe,Greece,2020-03-13,190.0,91.0,20.714000000000002,1.0,0.0,0.14300000000000002,18.229,8.731,1.9869999999999999,0.096,0.0,0.013999999999999999,,,,,,,,,,2700.0,520.0,0.259,0.05,228.0,0.022000000000000002,0.091,11.0,samples tested,,,,,,40.74,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
