,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,22655,GNB,Africa,Guinea-Bissau,2020-03-25,2.0,2.0,,,,,1.016,1.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
1,22656,GNB,Africa,Guinea-Bissau,2020-03-26,2.0,0.0,,,,,1.016,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
2,22657,GNB,Africa,Guinea-Bissau,2020-03-27,2.0,0.0,,,,,1.016,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
3,22658,GNB,Africa,Guinea-Bissau,2020-03-28,2.0,0.0,,,,,1.016,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
4,22659,GNB,Africa,Guinea-Bissau,2020-03-29,2.0,0.0,,,,,1.016,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
5,22660,GNB,Africa,Guinea-Bissau,2020-03-30,8.0,6.0,1.143,,,0.0,4.065,3.049,0.581,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
6,22661,GNB,Africa,Guinea-Bissau,2020-03-31,8.0,0.0,1.143,,,0.0,4.065,0.0,0.581,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
7,22662,GNB,Africa,Guinea-Bissau,2020-04-01,9.0,1.0,1.0,,,0.0,4.573,0.508,0.508,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
8,22663,GNB,Africa,Guinea-Bissau,2020-04-02,9.0,0.0,1.0,,,0.0,4.573,0.0,0.508,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
9,22664,GNB,Africa,Guinea-Bissau,2020-04-03,15.0,6.0,1.857,,,0.0,7.622000000000001,3.049,0.9440000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
10,22665,GNB,Africa,Guinea-Bissau,2020-04-04,18.0,3.0,2.286,,,0.0,9.146,1.524,1.161,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
11,22666,GNB,Africa,Guinea-Bissau,2020-04-05,18.0,0.0,2.286,,,0.0,9.146,0.0,1.161,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
12,22667,GNB,Africa,Guinea-Bissau,2020-04-06,18.0,0.0,1.429,,,0.0,9.146,0.0,0.726,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
13,22668,GNB,Africa,Guinea-Bissau,2020-04-07,33.0,15.0,3.571,,,0.0,16.768,7.622000000000001,1.815,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
14,22669,GNB,Africa,Guinea-Bissau,2020-04-08,33.0,0.0,3.429,,,0.0,16.768,0.0,1.742,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
15,22670,GNB,Africa,Guinea-Bissau,2020-04-09,36.0,3.0,3.8569999999999998,,,0.0,18.293,1.524,1.96,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
16,22671,GNB,Africa,Guinea-Bissau,2020-04-10,36.0,0.0,3.0,,,0.0,18.293,0.0,1.524,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
17,22672,GNB,Africa,Guinea-Bissau,2020-04-11,38.0,2.0,2.8569999999999998,,,0.0,19.309,1.016,1.452,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
