,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,22342,GIN,Africa,Guinea,2020-03-13,1.0,1.0,,,,,0.076,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,0.45899999999999996
1,22343,GIN,Africa,Guinea,2020-03-14,1.0,0.0,,,,,0.076,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,0.45899999999999996
2,22344,GIN,Africa,Guinea,2020-03-15,1.0,0.0,,,,,0.076,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,0.45899999999999996
3,22345,GIN,Africa,Guinea,2020-03-16,1.0,0.0,,,,,0.076,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,0.45899999999999996
4,22346,GIN,Africa,Guinea,2020-03-17,1.0,0.0,,,,,0.076,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,0.45899999999999996
5,22347,GIN,Africa,Guinea,2020-03-18,1.0,0.0,0.14300000000000002,,,0.0,0.076,0.0,0.011000000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,13.89,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,0.45899999999999996
6,22348,GIN,Africa,Guinea,2020-03-19,1.0,0.0,0.14300000000000002,,,0.0,0.076,0.0,0.011000000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,13.89,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,0.45899999999999996
7,22349,GIN,Africa,Guinea,2020-03-20,1.0,0.0,0.0,,,0.0,0.076,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,13.89,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,0.45899999999999996
8,22350,GIN,Africa,Guinea,2020-03-21,2.0,1.0,0.14300000000000002,,,0.0,0.152,0.076,0.011000000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,25.0,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,0.45899999999999996
9,22351,GIN,Africa,Guinea,2020-03-22,2.0,0.0,0.14300000000000002,,,0.0,0.152,0.0,0.011000000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,25.0,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,0.45899999999999996
10,22352,GIN,Africa,Guinea,2020-03-23,4.0,2.0,0.429,,,0.0,0.305,0.152,0.033,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,25.0,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,0.45899999999999996
11,22353,GIN,Africa,Guinea,2020-03-24,4.0,0.0,0.429,,,0.0,0.305,0.0,0.033,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,25.0,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,0.45899999999999996
