,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,23270,HTI,North America,Haiti,2020-03-20,2.0,2.0,,,,,0.175,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,11402533.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.5,430.548,6.65,2.9,23.1,22.863000000000003,0.7,64.0,0.498
1,23271,HTI,North America,Haiti,2020-03-21,2.0,0.0,,,,,0.175,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,11402533.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.5,430.548,6.65,2.9,23.1,22.863000000000003,0.7,64.0,0.498
2,23272,HTI,North America,Haiti,2020-03-22,2.0,0.0,,,,,0.175,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,11402533.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.5,430.548,6.65,2.9,23.1,22.863000000000003,0.7,64.0,0.498
3,23273,HTI,North America,Haiti,2020-03-23,6.0,4.0,,,,,0.526,0.35100000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,11402533.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.5,430.548,6.65,2.9,23.1,22.863000000000003,0.7,64.0,0.498
4,23274,HTI,North America,Haiti,2020-03-24,7.0,1.0,,,,,0.614,0.08800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,11402533.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.5,430.548,6.65,2.9,23.1,22.863000000000003,0.7,64.0,0.498
5,23275,HTI,North America,Haiti,2020-03-25,8.0,1.0,1.143,,,0.0,0.7020000000000001,0.08800000000000001,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,82.41,11402533.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.5,430.548,6.65,2.9,23.1,22.863000000000003,0.7,64.0,0.498
6,23276,HTI,North America,Haiti,2020-03-26,8.0,0.0,1.143,,,0.0,0.7020000000000001,0.0,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,82.41,11402533.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.5,430.548,6.65,2.9,23.1,22.863000000000003,0.7,64.0,0.498
7,23277,HTI,North America,Haiti,2020-03-27,8.0,0.0,0.857,,,0.0,0.7020000000000001,0.0,0.075,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,82.41,11402533.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.5,430.548,6.65,2.9,23.1,22.863000000000003,0.7,64.0,0.498
8,23278,HTI,North America,Haiti,2020-03-28,8.0,0.0,0.857,,,0.0,0.7020000000000001,0.0,0.075,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,82.41,11402533.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.5,430.548,6.65,2.9,23.1,22.863000000000003,0.7,64.0,0.498
9,23279,HTI,North America,Haiti,2020-03-29,15.0,7.0,1.857,,,0.0,1.315,0.614,0.163,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,82.41,11402533.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.5,430.548,6.65,2.9,23.1,22.863000000000003,0.7,64.0,0.498
