,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,23974,HUN,Europe,Hungary,2020-03-04,2.0,2.0,,,,,0.207,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
1,23975,HUN,Europe,Hungary,2020-03-05,2.0,0.0,,,,,0.207,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
2,23976,HUN,Europe,Hungary,2020-03-06,2.0,0.0,,,,,0.207,0.0,,,,,,,,,,,,,,39.0,39.0,0.004,0.004,,,,,tests performed,,,,,,11.11,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
3,23977,HUN,Europe,Hungary,2020-03-07,4.0,2.0,,,,,0.414,0.207,,,,,,,,,,,,,,89.0,50.0,0.009000000000000001,0.005,,,,,tests performed,,,,,,11.11,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
4,23978,HUN,Europe,Hungary,2020-03-08,7.0,3.0,,,,,0.725,0.311,,,,,,,,,,,,,,132.0,43.0,0.013999999999999999,0.004,,,,,tests performed,,,,,,11.11,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
5,23979,HUN,Europe,Hungary,2020-03-09,9.0,2.0,1.286,,,0.0,0.932,0.207,0.133,,,0.0,,,,,,,,,,,,,,,,,,tests performed,,,,,,19.44,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
6,23980,HUN,Europe,Hungary,2020-03-10,9.0,0.0,1.286,,,0.0,0.932,0.0,0.133,,,0.0,,,,,,,,,,301.0,169.0,0.031,0.017,,,,,tests performed,,,,,,19.44,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
7,23981,HUN,Europe,Hungary,2020-03-11,13.0,4.0,1.571,,,0.0,1.3459999999999999,0.414,0.163,,,0.0,,,,,,,,,,379.0,78.0,0.039,0.008,,,,,tests performed,,,,,,46.3,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
8,23982,HUN,Europe,Hungary,2020-03-12,13.0,0.0,1.571,,,0.0,1.3459999999999999,0.0,0.163,,,0.0,,,,,,,,,,500.0,121.0,0.052000000000000005,0.013000000000000001,,,,,tests performed,,,,,,50.0,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
9,23983,HUN,Europe,Hungary,2020-03-13,19.0,6.0,2.4290000000000003,,,0.0,1.9669999999999999,0.621,0.251,,,0.0,,,,,,,,,,628.0,128.0,0.065,0.013000000000000001,84.0,0.009000000000000001,0.028999999999999998,34.6,tests performed,,,,,,50.0,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
