,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,24296,ISL,Europe,Iceland,2020-02-27,,,,,,,,,,,,,,,,,,,,,,23.0,23.0,0.067,0.067,,,,,tests performed,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.935
1,24297,ISL,Europe,Iceland,2020-02-28,1.0,1.0,,,,,2.93,2.93,,,,,,0.0,0.0,1.0,2.93,,,,,36.0,13.0,0.105,0.038,,,,,tests performed,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.935
2,24298,ISL,Europe,Iceland,2020-02-29,1.0,0.0,,,,,2.93,0.0,,,,,,0.0,0.0,1.0,2.93,,,,,68.0,32.0,0.19899999999999998,0.094,,,,,tests performed,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.935
3,24299,ISL,Europe,Iceland,2020-03-01,3.0,2.0,,,,,8.791,5.861000000000001,,,,,,0.0,0.0,1.0,2.93,,,0.956,2.801,90.0,22.0,0.264,0.064,,,,,tests performed,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.935
4,24300,ISL,Europe,Iceland,2020-03-02,6.0,3.0,,,,,17.582,8.791,,,,,,0.0,0.0,0.0,0.0,,,,,138.0,48.0,0.40399999999999997,0.141,,,,,tests performed,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.935
5,24301,ISL,Europe,Iceland,2020-03-03,11.0,5.0,,,,,32.234,14.652000000000001,,,,,,0.0,0.0,0.0,0.0,,,,,183.0,45.0,0.536,0.132,,,,,tests performed,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.935
6,24302,ISL,Europe,Iceland,2020-03-04,26.0,15.0,3.714,,,0.0,76.19,43.956,10.884,,,0.0,,0.0,0.0,0.0,0.0,,,,,264.0,81.0,0.774,0.237,,,,,tests performed,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.935
7,24303,ISL,Europe,Iceland,2020-03-05,34.0,8.0,4.857,,,0.0,99.634,23.443,14.232999999999999,,,0.0,,0.0,0.0,1.0,2.93,,,,,326.0,62.0,0.955,0.182,43.0,0.126,0.113,8.9,tests performed,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.935
8,24304,ISL,Europe,Iceland,2020-03-06,43.0,9.0,6.0,,,0.0,126.007,26.374000000000002,17.582,,,0.0,,0.0,0.0,1.0,2.93,,,,,383.0,57.0,1.122,0.16699999999999998,50.0,0.147,0.12,8.3,tests performed,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.935
9,24305,ISL,Europe,Iceland,2020-03-07,50.0,7.0,7.0,,,0.0,146.52,20.513,20.513,,,0.0,,0.0,0.0,1.0,2.93,,,,,441.0,58.0,1.2919999999999998,0.17,53.0,0.155,0.132,7.6,tests performed,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.935
