,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,24980,IDN,Asia,Indonesia,2020-03-02,2.0,2.0,,,,,0.006999999999999999,0.006999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,71.72,0.6940000000000001
1,24981,IDN,Asia,Indonesia,2020-03-03,2.0,0.0,,,,,0.006999999999999999,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,71.72,0.6940000000000001
2,24982,IDN,Asia,Indonesia,2020-03-04,2.0,0.0,,,,,0.006999999999999999,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,71.72,0.6940000000000001
3,24983,IDN,Asia,Indonesia,2020-03-05,2.0,0.0,,,,,0.006999999999999999,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,71.72,0.6940000000000001
4,24984,IDN,Asia,Indonesia,2020-03-06,4.0,2.0,,,,,0.015,0.006999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,71.72,0.6940000000000001
5,24985,IDN,Asia,Indonesia,2020-03-07,4.0,0.0,0.5710000000000001,,,0.0,0.015,0.0,0.002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,37.04,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,71.72,0.6940000000000001
6,24986,IDN,Asia,Indonesia,2020-03-08,6.0,2.0,0.857,,,0.0,0.022000000000000002,0.006999999999999999,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,37.04,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,71.72,0.6940000000000001
7,24987,IDN,Asia,Indonesia,2020-03-09,19.0,13.0,2.4290000000000003,,,0.0,0.069,0.048,0.009000000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,37.04,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,71.72,0.6940000000000001
8,24988,IDN,Asia,Indonesia,2020-03-10,27.0,8.0,3.571,,,0.0,0.099,0.028999999999999998,0.013000000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,37.04,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,71.72,0.6940000000000001
9,24989,IDN,Asia,Indonesia,2020-03-11,34.0,7.0,4.571000000000001,1.0,1.0,0.14300000000000002,0.124,0.026000000000000002,0.017,0.004,0.004,0.001,,,,,,,,,,,,,,,,,,,,,,,,37.04,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,71.72,0.6940000000000001
