,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,25988,IRQ,Asia,Iraq,2020-02-24,1.0,1.0,,,,,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,40222503.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,2.5,218.612,8.83,,,94.57600000000001,1.4,70.6,0.685
1,25989,IRQ,Asia,Iraq,2020-02-25,1.0,0.0,,,,,0.025,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,40222503.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,2.5,218.612,8.83,,,94.57600000000001,1.4,70.6,0.685
2,25990,IRQ,Asia,Iraq,2020-02-26,5.0,4.0,,,,,0.124,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,40222503.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,2.5,218.612,8.83,,,94.57600000000001,1.4,70.6,0.685
3,25991,IRQ,Asia,Iraq,2020-02-27,7.0,2.0,,,,,0.174,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,40222503.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,2.5,218.612,8.83,,,94.57600000000001,1.4,70.6,0.685
4,25992,IRQ,Asia,Iraq,2020-02-28,7.0,0.0,,,,,0.174,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,40222503.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,2.5,218.612,8.83,,,94.57600000000001,1.4,70.6,0.685
5,25993,IRQ,Asia,Iraq,2020-02-29,13.0,6.0,1.857,,,0.0,0.32299999999999995,0.149,0.046,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,52.78,40222503.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,2.5,218.612,8.83,,,94.57600000000001,1.4,70.6,0.685
6,25994,IRQ,Asia,Iraq,2020-03-01,19.0,6.0,2.714,,,0.0,0.47200000000000003,0.149,0.067,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,52.78,40222503.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,2.5,218.612,8.83,,,94.57600000000001,1.4,70.6,0.685
7,25995,IRQ,Asia,Iraq,2020-03-02,26.0,7.0,3.571,,,0.0,0.6459999999999999,0.174,0.08900000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,52.78,40222503.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,2.5,218.612,8.83,,,94.57600000000001,1.4,70.6,0.685
8,25996,IRQ,Asia,Iraq,2020-03-03,32.0,6.0,4.428999999999999,,,0.0,0.7959999999999999,0.149,0.11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,52.78,40222503.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,2.5,218.612,8.83,,,94.57600000000001,1.4,70.6,0.685
9,25997,IRQ,Asia,Iraq,2020-03-04,35.0,3.0,4.2860000000000005,2.0,2.0,0.28600000000000003,0.87,0.075,0.107,0.05,0.05,0.006999999999999999,,,,,,,,,,,,,,,,,,,,,,,,52.78,40222503.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,2.5,218.612,8.83,,,94.57600000000001,1.4,70.6,0.685
