,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,26319,IRL,Europe,Ireland,2020-02-29,1.0,1.0,,,,,0.203,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.938
1,26320,IRL,Europe,Ireland,2020-03-01,1.0,0.0,,,,,0.203,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.938
2,26321,IRL,Europe,Ireland,2020-03-02,1.0,0.0,,,,,0.203,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.938
3,26322,IRL,Europe,Ireland,2020-03-03,2.0,1.0,,,,,0.405,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.938
4,26323,IRL,Europe,Ireland,2020-03-04,6.0,4.0,,,,,1.215,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.938
5,26324,IRL,Europe,Ireland,2020-03-05,6.0,0.0,0.857,,,0.0,1.215,0.0,0.174,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.938
6,26325,IRL,Europe,Ireland,2020-03-06,18.0,12.0,2.571,,,0.0,3.645,2.43,0.521,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.938
7,26326,IRL,Europe,Ireland,2020-03-07,18.0,0.0,2.4290000000000003,,,0.0,3.645,0.0,0.49200000000000005,,,0.0,,,,18.0,3.645,,,,,,,,,,,,,,,,,,,11.11,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.938
8,26327,IRL,Europe,Ireland,2020-03-08,19.0,1.0,2.571,,,0.0,3.8480000000000003,0.203,0.521,,,0.0,,,,17.0,3.443,,,,,,,,,,,,,,,,,,,11.11,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.938
9,26328,IRL,Europe,Ireland,2020-03-09,21.0,2.0,2.8569999999999998,,,0.0,4.253,0.405,0.579,,,0.0,,,,18.0,3.645,,,,,,,,,,,,,,,,,,,11.11,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.938
