,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,26645,ISR,Asia,Israel,2020-01-26,,,,,,,,,,,,,,,,,,,,,,121.0,,0.013999999999999999,,,,,,tests performed,,,,,,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
1,26646,ISR,Asia,Israel,2020-01-27,,,,,,,,,,,,,,,,,,,,,,122.0,1.0,0.013999999999999999,0.0,,,,,tests performed,,,,,,2.78,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
2,26647,ISR,Asia,Israel,2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,2.78,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
3,26648,ISR,Asia,Israel,2020-01-29,,,,,,,,,,,,,,,,,,,,,,128.0,,0.015,,,,,,tests performed,,,,,,2.78,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
4,26649,ISR,Asia,Israel,2020-01-30,,,,,,,,,,,,,,,,,,,,,,132.0,4.0,0.015,0.0,,,,,tests performed,,,,,,2.78,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
5,26650,ISR,Asia,Israel,2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,2.78,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
6,26651,ISR,Asia,Israel,2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,2.78,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
7,26652,ISR,Asia,Israel,2020-02-02,,,,,,,,,,,,,,,,,,,,,,139.0,,0.016,,3.0,0.0,,,tests performed,,,,,,13.89,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
8,26653,ISR,Asia,Israel,2020-02-03,,,,,,,,,,,,,,,,,,,,,,146.0,7.0,0.017,0.001,3.0,0.0,,,tests performed,,,,,,13.89,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
9,26654,ISR,Asia,Israel,2020-02-04,,,,,,,,,,,,,,,,,,,,,,152.0,6.0,0.018000000000000002,0.001,4.0,0.0,,,tests performed,,,,,,13.89,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
10,26655,ISR,Asia,Israel,2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.001,,,tests performed,,,,,,13.89,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
11,26656,ISR,Asia,Israel,2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.001,,,tests performed,,,,,,13.89,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
12,26657,ISR,Asia,Israel,2020-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.001,,,tests performed,,,,,,13.89,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
13,26658,ISR,Asia,Israel,2020-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.001,,,tests performed,,,,,,13.89,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
14,26659,ISR,Asia,Israel,2020-02-09,,,,,,,,,,,,,,,,,,,,,,192.0,,0.022000000000000002,,8.0,0.001,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
15,26660,ISR,Asia,Israel,2020-02-10,,,,,,,,,,,,,,,,,,,,,,220.0,28.0,0.025,0.003,11.0,0.001,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
16,26661,ISR,Asia,Israel,2020-02-11,,,,,,,,,,,,,,,,,,,,,,270.0,50.0,0.031,0.006,17.0,0.002,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
17,26662,ISR,Asia,Israel,2020-02-12,,,,,,,,,,,,,,,,,,,,,,305.0,35.0,0.035,0.004,21.0,0.002,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
18,26663,ISR,Asia,Israel,2020-02-13,,,,,,,,,,,,,,,,,,,,,,340.0,35.0,0.039,0.004,25.0,0.003,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
19,26664,ISR,Asia,Israel,2020-02-14,,,,,,,,,,,,,,,,,,,,,,370.0,30.0,0.043,0.003,28.0,0.003,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
20,26665,ISR,Asia,Israel,2020-02-15,,,,,,,,,,,,,,,,,,,,,,373.0,3.0,0.043,0.0,27.0,0.003,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
21,26666,ISR,Asia,Israel,2020-02-16,,,,,,,,,,,,,,,,,,,,,,396.0,23.0,0.046,0.003,29.0,0.003,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
22,26667,ISR,Asia,Israel,2020-02-17,,,,,,,,,,,,,,,,,,,,,,437.0,41.0,0.05,0.005,31.0,0.004,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
23,26668,ISR,Asia,Israel,2020-02-18,,,,,,,,,,,,,,,,,,,,,,483.0,46.0,0.055999999999999994,0.005,30.0,0.003,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
24,26669,ISR,Asia,Israel,2020-02-19,,,,,,,,,,,,,,,,,,,,,,517.0,34.0,0.06,0.004,30.0,0.003,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
25,26670,ISR,Asia,Israel,2020-02-20,,,,,,,,,,,,,,,,,,,,,,546.0,29.0,0.063,0.003,29.0,0.003,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
26,26671,ISR,Asia,Israel,2020-02-21,1.0,1.0,,,,,0.11599999999999999,0.11599999999999999,,,,,,,,,,,,,,574.0,28.0,0.066,0.003,29.0,0.003,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
27,26672,ISR,Asia,Israel,2020-02-22,1.0,0.0,,,,,0.11599999999999999,0.0,,,,,,,,,,,,,,587.0,13.0,0.068,0.002,31.0,0.004,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
28,26673,ISR,Asia,Israel,2020-02-23,1.0,0.0,,,,,0.11599999999999999,0.0,,,,,,,,,,,,,,643.0,56.0,0.07400000000000001,0.006,35.0,0.004,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
29,26674,ISR,Asia,Israel,2020-02-24,1.0,0.0,,,,,0.11599999999999999,0.0,,,,,,,,,,,,,,718.0,75.0,0.083,0.009000000000000001,40.0,0.005,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
30,26675,ISR,Asia,Israel,2020-02-25,1.0,0.0,,,,,0.11599999999999999,0.0,,,,,,,,,,,,,,826.0,108.0,0.095,0.012,49.0,0.006,,,tests performed,,,,,,19.44,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
