,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,27360,JAM,North America,Jamaica,2020-03-11,1.0,1.0,,,,,0.33799999999999997,0.33799999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732
1,27361,JAM,North America,Jamaica,2020-03-12,2.0,1.0,,,,,0.675,0.33799999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732
2,27362,JAM,North America,Jamaica,2020-03-13,8.0,6.0,,,,,2.702,2.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732
3,27363,JAM,North America,Jamaica,2020-03-14,8.0,0.0,,,,,2.702,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732
4,27364,JAM,North America,Jamaica,2020-03-15,10.0,2.0,,,,,3.377,0.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732
5,27365,JAM,North America,Jamaica,2020-03-16,10.0,0.0,1.429,,,0.0,3.377,0.0,0.48200000000000004,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,59.26,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732
6,27366,JAM,North America,Jamaica,2020-03-17,12.0,2.0,1.714,,,0.0,4.052,0.675,0.579,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,59.26,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732
7,27367,JAM,North America,Jamaica,2020-03-18,13.0,1.0,1.714,,,0.0,4.39,0.33799999999999997,0.579,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,71.3,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732
8,27368,JAM,North America,Jamaica,2020-03-19,15.0,2.0,1.857,1.0,1.0,0.14300000000000002,5.066,0.675,0.627,0.33799999999999997,0.33799999999999997,0.048,,,,,,,,,,,,,,,,,,,,,,,,71.3,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732
9,27369,JAM,North America,Jamaica,2020-03-20,16.0,1.0,1.143,1.0,0.0,0.14300000000000002,5.403,0.33799999999999997,0.386,0.33799999999999997,0.0,0.048,,,,,,,,,,,,,,,,,,,,,,,,71.3,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732
