,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,28039,JOR,Asia,Jordan,2020-03-03,1.0,1.0,,,,,0.098,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
1,28040,JOR,Asia,Jordan,2020-03-04,1.0,0.0,,,,,0.098,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
2,28041,JOR,Asia,Jordan,2020-03-05,1.0,0.0,,,,,0.098,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
3,28042,JOR,Asia,Jordan,2020-03-06,1.0,0.0,,,,,0.098,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
4,28043,JOR,Asia,Jordan,2020-03-07,1.0,0.0,,,,,0.098,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
5,28044,JOR,Asia,Jordan,2020-03-08,1.0,0.0,0.14300000000000002,,,0.0,0.098,0.0,0.013999999999999999,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
6,28045,JOR,Asia,Jordan,2020-03-09,1.0,0.0,0.14300000000000002,,,0.0,0.098,0.0,0.013999999999999999,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
7,28046,JOR,Asia,Jordan,2020-03-10,1.0,0.0,0.0,,,0.0,0.098,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
8,28047,JOR,Asia,Jordan,2020-03-11,1.0,0.0,0.0,,,0.0,0.098,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
9,28048,JOR,Asia,Jordan,2020-03-12,1.0,0.0,0.0,,,0.0,0.098,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
10,28049,JOR,Asia,Jordan,2020-03-13,1.0,0.0,0.0,,,0.0,0.098,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
11,28050,JOR,Asia,Jordan,2020-03-14,1.0,0.0,0.0,,,0.0,0.098,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
12,28051,JOR,Asia,Jordan,2020-03-15,8.0,7.0,1.0,,,0.0,0.784,0.6859999999999999,0.098,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,33.33,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
13,28052,JOR,Asia,Jordan,2020-03-16,17.0,9.0,2.286,,,0.0,1.666,0.882,0.22399999999999998,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,33.33,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
14,28053,JOR,Asia,Jordan,2020-03-17,34.0,17.0,4.7139999999999995,,,0.0,3.332,1.666,0.462,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,33.33,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
15,28054,JOR,Asia,Jordan,2020-03-18,52.0,18.0,7.2860000000000005,,,0.0,5.096,1.764,0.7140000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
16,28055,JOR,Asia,Jordan,2020-03-19,69.0,17.0,9.714,,,0.0,6.763,1.666,0.9520000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
17,28056,JOR,Asia,Jordan,2020-03-20,85.0,16.0,12.0,,,0.0,8.331,1.568,1.176,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
18,28057,JOR,Asia,Jordan,2020-03-21,85.0,0.0,12.0,,,0.0,8.331,0.0,1.176,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
19,28058,JOR,Asia,Jordan,2020-03-22,112.0,27.0,14.857000000000001,,,0.0,10.977,2.6460000000000004,1.456,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
20,28059,JOR,Asia,Jordan,2020-03-23,127.0,15.0,15.714,,,0.0,12.447000000000001,1.47,1.54,,,0.0,1.1,,,,,,,,,,,,,,,,,,,,,,,100.0,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
