,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,28675,KEN,Africa,Kenya,2020-03-06,,,,,,,,,,,,,,,,,,,,,,31.0,,0.001,,,,,,samples tested,,,,,,13.89,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
1,28676,KEN,Africa,Kenya,2020-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,13.89,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
2,28677,KEN,Africa,Kenya,2020-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,13.89,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
3,28678,KEN,Africa,Kenya,2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,13.89,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
4,28679,KEN,Africa,Kenya,2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,13.89,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
5,28680,KEN,Africa,Kenya,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,13.89,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
6,28681,KEN,Africa,Kenya,2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,13.89,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
7,28682,KEN,Africa,Kenya,2020-03-13,1.0,1.0,,,,,0.019,0.019,,,,,,,,,,,,,,,,,,7.0,0.0,,,samples tested,,,,,,36.11,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
8,28683,KEN,Africa,Kenya,2020-03-14,1.0,0.0,,,,,0.019,0.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,samples tested,,,,,,36.11,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
9,28684,KEN,Africa,Kenya,2020-03-15,3.0,2.0,,,,,0.055999999999999994,0.037000000000000005,,,,,,,,,,,,,,,,,,7.0,0.0,,,samples tested,,,,,,50.93,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
10,28685,KEN,Africa,Kenya,2020-03-16,3.0,0.0,,,,,0.055999999999999994,0.0,,,,,,,,,,,,,,,,,,7.0,0.0,,,samples tested,,,,,,50.93,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
11,28686,KEN,Africa,Kenya,2020-03-17,3.0,0.0,,,,,0.055999999999999994,0.0,,,,,,,,,,,,,,111.0,,0.002,,7.0,0.0,,,samples tested,,,,,,59.26,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
12,28687,KEN,Africa,Kenya,2020-03-18,3.0,0.0,0.429,,,0.0,0.055999999999999994,0.0,0.008,,,0.0,,,,,,,,,,132.0,21.0,0.002,0.0,9.0,0.0,0.048,21.0,samples tested,,,,,,59.26,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
13,28688,KEN,Africa,Kenya,2020-03-19,7.0,4.0,1.0,,,0.0,0.13,0.07400000000000001,0.019,,,0.0,,,,,,,,,,173.0,41.0,0.003,0.001,14.0,0.0,0.071,14.0,samples tested,,,,,,59.26,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
14,28689,KEN,Africa,Kenya,2020-03-20,7.0,0.0,0.857,,,0.0,0.13,0.0,0.016,,,0.0,,,,,,,,,,,,,,22.0,0.0,0.039,25.7,samples tested,,,,,,64.81,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
15,28690,KEN,Africa,Kenya,2020-03-21,7.0,0.0,0.857,,,0.0,0.13,0.0,0.016,,,0.0,,,,,,,,,,,,,,29.0,0.001,0.03,33.8,samples tested,,,,,,64.81,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
16,28691,KEN,Africa,Kenya,2020-03-22,15.0,8.0,1.714,,,0.0,0.27899999999999997,0.149,0.032,,,0.0,,,,,,,,,,,,,,37.0,0.001,0.046,21.6,samples tested,,,,,,64.81,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
17,28692,KEN,Africa,Kenya,2020-03-23,16.0,1.0,1.857,,,0.0,0.298,0.019,0.035,,,0.0,,,,,,,,,,,,,,45.0,0.001,0.040999999999999995,24.2,samples tested,,,,,,64.81,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
18,28693,KEN,Africa,Kenya,2020-03-24,25.0,9.0,3.1430000000000002,,,0.0,0.465,0.16699999999999998,0.057999999999999996,,,0.0,,,,,,,,,,,,,,52.0,0.001,0.06,16.5,samples tested,,,,,,68.52,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
