,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,29307,KWT,Asia,Kuwait,2020-02-24,1.0,1.0,,,,,0.23399999999999999,0.23399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8029999999999999
1,29308,KWT,Asia,Kuwait,2020-02-25,11.0,10.0,,,,,2.576,2.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8029999999999999
2,29309,KWT,Asia,Kuwait,2020-02-26,26.0,15.0,,,,,6.087999999999999,3.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8029999999999999
3,29310,KWT,Asia,Kuwait,2020-02-27,43.0,17.0,,,,,10.068999999999999,3.9810000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8029999999999999
4,29311,KWT,Asia,Kuwait,2020-02-28,45.0,2.0,,,,,10.537,0.46799999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8029999999999999
5,29312,KWT,Asia,Kuwait,2020-02-29,45.0,0.0,6.428999999999999,,,0.0,10.537,0.0,1.505,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,13.89,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8029999999999999
6,29313,KWT,Asia,Kuwait,2020-03-01,45.0,0.0,6.428999999999999,,,0.0,10.537,0.0,1.505,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8029999999999999
7,29314,KWT,Asia,Kuwait,2020-03-02,56.0,11.0,7.857,,,0.0,13.113,2.576,1.84,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8029999999999999
8,29315,KWT,Asia,Kuwait,2020-03-03,56.0,0.0,6.428999999999999,,,0.0,13.113,0.0,1.505,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8029999999999999
9,29316,KWT,Asia,Kuwait,2020-03-04,56.0,0.0,4.2860000000000005,,,0.0,13.113,0.0,1.004,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8029999999999999
10,29317,KWT,Asia,Kuwait,2020-03-05,58.0,2.0,2.1430000000000002,,,0.0,13.581,0.46799999999999997,0.502,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8029999999999999
11,29318,KWT,Asia,Kuwait,2020-03-06,58.0,0.0,1.857,,,0.0,13.581,0.0,0.435,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8029999999999999
12,29319,KWT,Asia,Kuwait,2020-03-07,61.0,3.0,2.286,,,0.0,14.284,0.7020000000000001,0.535,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,36.11,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8029999999999999
