,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,29946,LAO,Asia,Laos,2020-03-24,2.0,2.0,,,,,0.275,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.93,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.601
1,29947,LAO,Asia,Laos,2020-03-25,3.0,1.0,,,,,0.41200000000000003,0.13699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.93,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.601
2,29948,LAO,Asia,Laos,2020-03-26,6.0,3.0,,,,,0.825,0.41200000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.601
3,29949,LAO,Asia,Laos,2020-03-27,6.0,0.0,,,,,0.825,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.601
4,29950,LAO,Asia,Laos,2020-03-28,8.0,2.0,,,,,1.1,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.601
5,29951,LAO,Asia,Laos,2020-03-29,8.0,0.0,1.143,,,0.0,1.1,0.0,0.157,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,28.7,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.601
6,29952,LAO,Asia,Laos,2020-03-30,8.0,0.0,1.143,,,0.0,1.1,0.0,0.157,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.601
7,29953,LAO,Asia,Laos,2020-03-31,9.0,1.0,1.0,,,0.0,1.237,0.13699999999999998,0.13699999999999998,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.601
8,29954,LAO,Asia,Laos,2020-04-01,10.0,1.0,1.0,,,0.0,1.374,0.13699999999999998,0.13699999999999998,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.601
9,29955,LAO,Asia,Laos,2020-04-02,10.0,0.0,0.5710000000000001,,,0.0,1.374,0.0,0.079,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.601
