,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,30248,LVA,Europe,Latvia,2020-02-02,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,2.78,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
1,30249,LVA,Europe,Latvia,2020-02-09,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,2.78,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
2,30250,LVA,Europe,Latvia,2020-02-15,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,2.78,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
3,30251,LVA,Europe,Latvia,2020-02-23,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,2.78,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
4,30252,LVA,Europe,Latvia,2020-02-29,,,,,,,,,,,,,,,,,,,,,,116.0,116.0,0.061,0.061,,,,,tests performed,,,,,,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
5,30253,LVA,Europe,Latvia,2020-03-01,,,,,,,,,,,,,,,,,,,,0.0,0.0,126.0,10.0,0.067,0.005,,,,,tests performed,,,,,,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
6,30254,LVA,Europe,Latvia,2020-03-02,1.0,1.0,,,,,0.53,0.53,,,,,,,,,,,,,,163.0,37.0,0.086,0.02,,,,,tests performed,,,,,,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
7,30255,LVA,Europe,Latvia,2020-03-03,1.0,0.0,,,,,0.53,0.0,,,,,,,,,,,,,,204.0,41.0,0.10800000000000001,0.022000000000000002,,,,,tests performed,,,,,,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
8,30256,LVA,Europe,Latvia,2020-03-04,1.0,0.0,,,,,0.53,0.0,,,,,,,,,,,,,,240.0,36.0,0.127,0.019,,,,,tests performed,,,,,,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
9,30257,LVA,Europe,Latvia,2020-03-05,1.0,0.0,,,,,0.53,0.0,,,,,,,,,,,,,,275.0,35.0,0.146,0.019,,,,,tests performed,,,,,,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
10,30258,LVA,Europe,Latvia,2020-03-06,1.0,0.0,,,,,0.53,0.0,,,,,,,,,,,,,,307.0,32.0,0.163,0.017,,,,,tests performed,,,,,,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
11,30259,LVA,Europe,Latvia,2020-03-07,1.0,0.0,0.14300000000000002,,,0.0,0.53,0.0,0.076,,,0.0,,,,,,,,,,321.0,14.0,0.17,0.006999999999999999,29.0,0.015,0.005,202.8,tests performed,,,,,,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
12,30260,LVA,Europe,Latvia,2020-03-08,2.0,1.0,0.28600000000000003,,,0.0,1.06,0.53,0.151,,,0.0,,,,,,,,2.947,1.5630000000000002,343.0,22.0,0.182,0.012,31.0,0.016,0.009000000000000001,108.4,tests performed,,,,,,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
13,30261,LVA,Europe,Latvia,2020-03-09,6.0,4.0,0.7140000000000001,,,0.0,3.181,2.121,0.379,,,0.0,,,,,,,,,,391.0,48.0,0.207,0.025,33.0,0.017,0.022000000000000002,46.2,tests performed,,,,,,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
14,30262,LVA,Europe,Latvia,2020-03-10,8.0,2.0,1.0,,,0.0,4.2410000000000005,1.06,0.53,,,0.0,,,,,,,,,,450.0,59.0,0.239,0.031,35.0,0.019,0.028999999999999998,35.0,tests performed,,,,,,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
15,30263,LVA,Europe,Latvia,2020-03-11,10.0,2.0,1.286,,,0.0,5.3020000000000005,1.06,0.682,,,0.0,,,,,,,,,,497.0,47.0,0.263,0.025,37.0,0.02,0.035,28.8,tests performed,,,,,,11.11,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
16,30264,LVA,Europe,Latvia,2020-03-12,10.0,0.0,1.286,,,0.0,5.3020000000000005,0.0,0.682,,,0.0,,,,,,,,,,576.0,79.0,0.305,0.042,43.0,0.023,0.03,33.4,tests performed,,,,,,11.11,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
17,30265,LVA,Europe,Latvia,2020-03-13,17.0,7.0,2.286,,,0.0,9.013,3.7110000000000003,1.212,,,0.0,,,,,,,,,,703.0,127.0,0.373,0.067,57.0,0.03,0.04,24.9,tests performed,,,,,,51.85,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
18,30266,LVA,Europe,Latvia,2020-03-14,26.0,9.0,3.571,,,0.0,13.784,4.771,1.893,,,0.0,,,,,,,,,,1019.0,316.0,0.54,0.168,100.0,0.053,0.036000000000000004,28.0,tests performed,,,,,,54.63,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
