,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,32118,LTU,Europe,Lithuania,2020-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
1,32119,LTU,Europe,Lithuania,2020-02-28,1.0,1.0,,,,,0.36700000000000005,0.36700000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
2,32120,LTU,Europe,Lithuania,2020-02-29,1.0,0.0,,,,,0.36700000000000005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
3,32121,LTU,Europe,Lithuania,2020-03-01,1.0,0.0,,,,,0.36700000000000005,0.0,,,,,,,,,,,,2.923,1.074,,,,,,,,,,,,,,,11.11,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
4,32122,LTU,Europe,Lithuania,2020-03-02,1.0,0.0,,,,,0.36700000000000005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
5,32123,LTU,Europe,Lithuania,2020-03-03,1.0,0.0,,,,,0.36700000000000005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
6,32124,LTU,Europe,Lithuania,2020-03-04,1.0,0.0,0.14300000000000002,,,0.0,0.36700000000000005,0.0,0.052000000000000005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
7,32125,LTU,Europe,Lithuania,2020-03-05,1.0,0.0,0.14300000000000002,,,0.0,0.36700000000000005,0.0,0.052000000000000005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
8,32126,LTU,Europe,Lithuania,2020-03-06,1.0,0.0,0.0,,,0.0,0.36700000000000005,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
9,32127,LTU,Europe,Lithuania,2020-03-07,1.0,0.0,0.0,,,0.0,0.36700000000000005,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
10,32128,LTU,Europe,Lithuania,2020-03-08,1.0,0.0,0.0,,,0.0,0.36700000000000005,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
11,32129,LTU,Europe,Lithuania,2020-03-09,1.0,0.0,0.0,,,0.0,0.36700000000000005,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
12,32130,LTU,Europe,Lithuania,2020-03-10,1.0,0.0,0.0,,,0.0,0.36700000000000005,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
13,32131,LTU,Europe,Lithuania,2020-03-11,3.0,2.0,0.28600000000000003,,,0.0,1.102,0.735,0.105,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
14,32132,LTU,Europe,Lithuania,2020-03-12,3.0,0.0,0.28600000000000003,,,0.0,1.102,0.0,0.105,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
15,32133,LTU,Europe,Lithuania,2020-03-13,6.0,3.0,0.7140000000000001,,,0.0,2.204,1.102,0.262,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,39.81,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
16,32134,LTU,Europe,Lithuania,2020-03-14,8.0,2.0,1.0,,,0.0,2.9389999999999996,0.735,0.36700000000000005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,39.81,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
17,32135,LTU,Europe,Lithuania,2020-03-15,12.0,4.0,1.571,,,0.0,4.408,1.469,0.5770000000000001,,,0.0,,,,,,,,21.434,7.872999999999999,,,,,,,,,,,,,,,39.81,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
18,32136,LTU,Europe,Lithuania,2020-03-16,17.0,5.0,2.286,,,0.0,6.245,1.837,0.84,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,81.48,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
19,32137,LTU,Europe,Lithuania,2020-03-17,25.0,8.0,3.429,,,0.0,9.183,2.9389999999999996,1.2590000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,81.48,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
20,32138,LTU,Europe,Lithuania,2020-03-18,27.0,2.0,3.429,,,0.0,9.918,0.735,1.2590000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,81.48,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
