,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,32777,MDG,Africa,Madagascar,2020-03-20,3.0,3.0,,,,,0.10800000000000001,0.10800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
1,32778,MDG,Africa,Madagascar,2020-03-21,3.0,0.0,,,,,0.10800000000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
2,32779,MDG,Africa,Madagascar,2020-03-22,3.0,0.0,,,,,0.10800000000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
3,32780,MDG,Africa,Madagascar,2020-03-23,12.0,9.0,,,,,0.433,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
4,32781,MDG,Africa,Madagascar,2020-03-24,17.0,5.0,,,,,0.614,0.18100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
5,32782,MDG,Africa,Madagascar,2020-03-25,19.0,2.0,2.714,,,0.0,0.6859999999999999,0.07200000000000001,0.098,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
6,32783,MDG,Africa,Madagascar,2020-03-26,23.0,4.0,3.286,,,0.0,0.831,0.14400000000000002,0.11900000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
7,32784,MDG,Africa,Madagascar,2020-03-27,26.0,3.0,3.286,,,0.0,0.9390000000000001,0.10800000000000001,0.11900000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
8,32785,MDG,Africa,Madagascar,2020-03-28,26.0,0.0,3.286,,,0.0,0.9390000000000001,0.0,0.11900000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
9,32786,MDG,Africa,Madagascar,2020-03-29,39.0,13.0,5.143,,,0.0,1.4080000000000001,0.469,0.18600000000000003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
10,32787,MDG,Africa,Madagascar,2020-03-30,43.0,4.0,4.428999999999999,,,0.0,1.5530000000000002,0.14400000000000002,0.16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
11,32788,MDG,Africa,Madagascar,2020-03-31,57.0,14.0,5.7139999999999995,,,0.0,2.0580000000000003,0.506,0.20600000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
12,32789,MDG,Africa,Madagascar,2020-04-01,57.0,0.0,5.428999999999999,,,0.0,2.0580000000000003,0.0,0.196,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
13,32790,MDG,Africa,Madagascar,2020-04-02,59.0,2.0,5.143,,,0.0,2.131,0.07200000000000001,0.18600000000000003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
14,32791,MDG,Africa,Madagascar,2020-04-03,70.0,11.0,6.2860000000000005,,,0.0,2.528,0.397,0.22699999999999998,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
15,32792,MDG,Africa,Madagascar,2020-04-04,70.0,0.0,6.2860000000000005,,,0.0,2.528,0.0,0.22699999999999998,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
16,32793,MDG,Africa,Madagascar,2020-04-05,72.0,2.0,4.7139999999999995,,,0.0,2.6,0.07200000000000001,0.17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,95.37,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
17,32794,MDG,Africa,Madagascar,2020-04-06,82.0,10.0,5.571000000000001,,,0.0,2.9610000000000003,0.361,0.201,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,95.37,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
18,32795,MDG,Africa,Madagascar,2020-04-07,88.0,6.0,4.428999999999999,,,0.0,3.178,0.217,0.16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,95.37,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
19,32796,MDG,Africa,Madagascar,2020-04-08,93.0,5.0,5.143,,,0.0,3.358,0.18100000000000002,0.18600000000000003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,95.37,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
