,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,33083,MWI,Africa,Malawi,2020-03-29,,,,,,,,,,,,,,,,,,,,,,18.0,,0.001,,,,,,samples tested,,,,,,52.78,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,227.34900000000002,3.94,4.4,24.7,8.704,1.3,64.26,0.47700000000000004
1,33084,MWI,Africa,Malawi,2020-03-30,,,,,,,,,,,,,,,,,,,,,,35.0,17.0,0.002,0.001,,,,,samples tested,,,,,,52.78,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,227.34900000000002,3.94,4.4,24.7,8.704,1.3,64.26,0.47700000000000004
2,33085,MWI,Africa,Malawi,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,52.78,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,227.34900000000002,3.94,4.4,24.7,8.704,1.3,64.26,0.47700000000000004
3,33086,MWI,Africa,Malawi,2020-04-01,,,,,,,,,,,,,,,,,,,,,,86.0,,0.004,,,,,,samples tested,,,,,,52.78,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,227.34900000000002,3.94,4.4,24.7,8.704,1.3,64.26,0.47700000000000004
4,33087,MWI,Africa,Malawi,2020-04-02,3.0,3.0,,,,,0.157,0.157,,,,,,,,,,,,,,88.0,2.0,0.005,0.0,,,,,samples tested,,,,,,52.78,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,227.34900000000002,3.94,4.4,24.7,8.704,1.3,64.26,0.47700000000000004
5,33088,MWI,Africa,Malawi,2020-04-03,3.0,0.0,,,,,0.157,0.0,,,,,,,,,,,,,,93.0,5.0,0.005,0.0,,,,,samples tested,,,,,,52.78,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,227.34900000000002,3.94,4.4,24.7,8.704,1.3,64.26,0.47700000000000004
6,33089,MWI,Africa,Malawi,2020-04-04,4.0,1.0,,,,,0.209,0.052000000000000005,,,,,,,,,,,,,,122.0,29.0,0.006,0.002,,,,,samples tested,,,,,,56.48,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,227.34900000000002,3.94,4.4,24.7,8.704,1.3,64.26,0.47700000000000004
7,33090,MWI,Africa,Malawi,2020-04-05,4.0,0.0,,,,,0.209,0.0,,,,,,,,,,,,,,123.0,1.0,0.006,0.0,15.0,0.001,,,samples tested,,,,,,56.48,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,227.34900000000002,3.94,4.4,24.7,8.704,1.3,64.26,0.47700000000000004
8,33091,MWI,Africa,Malawi,2020-04-06,5.0,1.0,,,,,0.261,0.052000000000000005,,,,,,,,,,,,,,143.0,20.0,0.006999999999999999,0.001,15.0,0.001,,,samples tested,,,,,,56.48,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,227.34900000000002,3.94,4.4,24.7,8.704,1.3,64.26,0.47700000000000004
9,33092,MWI,Africa,Malawi,2020-04-07,8.0,3.0,1.143,1.0,1.0,0.14300000000000002,0.418,0.157,0.06,0.052000000000000005,0.052000000000000005,0.006999999999999999,,,,,,,,,,145.0,2.0,0.008,0.0,12.0,0.001,0.095,10.5,samples tested,,,,,,56.48,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,227.34900000000002,3.94,4.4,24.7,8.704,1.3,64.26,0.47700000000000004
