,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,33380,MYS,Asia,Malaysia,2020-01-25,3.0,3.0,,,,,0.09300000000000001,0.09300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.802
1,33381,MYS,Asia,Malaysia,2020-01-26,4.0,1.0,,,,,0.124,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.802
2,33382,MYS,Asia,Malaysia,2020-01-27,4.0,0.0,,,,,0.124,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.802
3,33383,MYS,Asia,Malaysia,2020-01-28,4.0,0.0,,,,,0.124,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.802
4,33384,MYS,Asia,Malaysia,2020-01-29,7.0,3.0,,,,,0.21600000000000003,0.09300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.802
5,33385,MYS,Asia,Malaysia,2020-01-30,8.0,1.0,1.143,,,0.0,0.247,0.031,0.035,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,19.44,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.802
6,33386,MYS,Asia,Malaysia,2020-01-31,8.0,0.0,1.143,,,0.0,0.247,0.0,0.035,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,19.44,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.802
7,33387,MYS,Asia,Malaysia,2020-02-01,8.0,0.0,0.7140000000000001,,,0.0,0.247,0.0,0.022000000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,19.44,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.802
8,33388,MYS,Asia,Malaysia,2020-02-02,8.0,0.0,0.5710000000000001,,,0.0,0.247,0.0,0.018000000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,19.44,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.802
9,33389,MYS,Asia,Malaysia,2020-02-03,8.0,0.0,0.5710000000000001,,,0.0,0.247,0.0,0.018000000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,19.44,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.802
