,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,33741,MDV,Asia,Maldives,2020-03-08,4.0,4.0,,,,,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
1,33742,MDV,Asia,Maldives,2020-03-09,4.0,0.0,,,,,7.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
2,33743,MDV,Asia,Maldives,2020-03-10,6.0,2.0,,,,,11.1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
3,33744,MDV,Asia,Maldives,2020-03-11,8.0,2.0,,,,,14.8,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
4,33745,MDV,Asia,Maldives,2020-03-12,8.0,0.0,,,,,14.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
5,33746,MDV,Asia,Maldives,2020-03-13,9.0,1.0,1.286,,,0.0,16.65,1.85,2.379,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
6,33747,MDV,Asia,Maldives,2020-03-14,10.0,1.0,1.429,,,0.0,18.5,1.85,2.6430000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
7,33748,MDV,Asia,Maldives,2020-03-15,13.0,3.0,1.286,,,0.0,24.05,5.55,2.379,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
8,33749,MDV,Asia,Maldives,2020-03-16,13.0,0.0,1.286,,,0.0,24.05,0.0,2.379,,,0.0,,,,,,,,,,221.0,,0.409,,,,,,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
9,33750,MDV,Asia,Maldives,2020-03-17,13.0,0.0,1.0,,,0.0,24.05,0.0,1.85,,,0.0,,,,,,,,,,254.0,33.0,0.47,0.061,,,,,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
10,33751,MDV,Asia,Maldives,2020-03-18,13.0,0.0,0.7140000000000001,,,0.0,24.05,0.0,1.321,,,0.0,,,,,,,,,,463.0,209.0,0.857,0.387,,,,,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
11,33752,MDV,Asia,Maldives,2020-03-19,13.0,0.0,0.7140000000000001,,,0.0,24.05,0.0,1.321,,,0.0,,,,,,,,,,519.0,56.0,0.96,0.10400000000000001,,,,,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
12,33753,MDV,Asia,Maldives,2020-03-20,13.0,0.0,0.5710000000000001,,,0.0,24.05,0.0,1.057,,,0.0,,,,,,,,,,563.0,44.0,1.042,0.081,,,,,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
13,33754,MDV,Asia,Maldives,2020-03-21,13.0,0.0,0.429,,,0.0,24.05,0.0,0.7929999999999999,,,0.0,,,,,,,,,,593.0,30.0,1.097,0.055,,,,,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
14,33755,MDV,Asia,Maldives,2020-03-22,13.0,0.0,0.0,,,0.0,24.05,0.0,0.0,,,0.0,,,,,,,,,,643.0,50.0,1.19,0.092,,,,,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
15,33756,MDV,Asia,Maldives,2020-03-23,13.0,0.0,0.0,,,0.0,24.05,0.0,0.0,,,0.0,,,,,,,,,,673.0,30.0,1.245,0.055,65.0,0.12,0.0,,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
16,33757,MDV,Asia,Maldives,2020-03-24,13.0,0.0,0.0,,,0.0,24.05,0.0,0.0,,,0.0,,,,,,,,,,,,,,67.0,0.124,0.0,,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
17,33758,MDV,Asia,Maldives,2020-03-25,13.0,0.0,0.0,,,0.0,24.05,0.0,0.0,,,0.0,,,,,,,,,,776.0,,1.436,,45.0,0.083,0.0,,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
18,33759,MDV,Asia,Maldives,2020-03-26,13.0,0.0,0.0,,,0.0,24.05,0.0,0.0,,,0.0,,,,,,,,,,799.0,23.0,1.4780000000000002,0.043,40.0,0.07400000000000001,0.0,,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
19,33760,MDV,Asia,Maldives,2020-03-27,16.0,3.0,0.429,,,0.0,29.6,5.55,0.7929999999999999,,,0.0,,,,,,,,,,823.0,24.0,1.5230000000000001,0.044000000000000004,37.0,0.068,0.012,86.2,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
20,33761,MDV,Asia,Maldives,2020-03-28,16.0,0.0,0.429,,,0.0,29.6,0.0,0.7929999999999999,,,0.0,,,,,,,,,,880.0,57.0,1.6280000000000001,0.105,41.0,0.076,0.01,95.6,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
21,33762,MDV,Asia,Maldives,2020-03-29,17.0,1.0,0.5710000000000001,,,0.0,31.45,1.85,1.057,,,0.0,,,,,,,,,,916.0,36.0,1.695,0.067,39.0,0.07200000000000001,0.015,68.3,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
22,33763,MDV,Asia,Maldives,2020-03-30,17.0,0.0,0.5710000000000001,,,0.0,31.45,0.0,1.057,,,0.0,,,,,,,,,,,,,,50.0,0.092,0.011000000000000001,87.6,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
23,33764,MDV,Asia,Maldives,2020-03-31,18.0,1.0,0.7140000000000001,,,0.0,33.3,1.85,1.321,,,0.0,,,,,,,,,,1132.0,,2.094,,58.0,0.107,0.012,81.2,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
24,33765,MDV,Asia,Maldives,2020-04-01,19.0,1.0,0.857,,,0.0,35.15,1.85,1.5859999999999999,,,0.0,,,,,,,,,,1199.0,67.0,2.218,0.124,60.0,0.111,0.013999999999999999,70.0,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
25,33766,MDV,Asia,Maldives,2020-04-02,19.0,0.0,0.857,,,0.0,35.15,0.0,1.5859999999999999,,,0.0,,,,,,,,,,1291.0,92.0,2.388,0.17,70.0,0.129,0.012,81.7,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
26,33767,MDV,Asia,Maldives,2020-04-03,19.0,0.0,0.429,,,0.0,35.15,0.0,0.7929999999999999,,,0.0,,,,,,,,,,1383.0,92.0,2.559,0.17,80.0,0.14800000000000002,0.005,186.5,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
27,33768,MDV,Asia,Maldives,2020-04-04,19.0,0.0,0.429,,,0.0,35.15,0.0,0.7929999999999999,,,0.0,,,,,,,,,,1486.0,103.0,2.7489999999999997,0.191,87.0,0.161,0.005,202.8,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
28,33769,MDV,Asia,Maldives,2020-04-05,19.0,0.0,0.28600000000000003,,,0.0,35.15,0.0,0.529,,,0.0,,,,,,,,,,1508.0,22.0,2.79,0.040999999999999995,85.0,0.157,0.003,297.2,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
29,33770,MDV,Asia,Maldives,2020-04-06,19.0,0.0,0.28600000000000003,,,0.0,35.15,0.0,0.529,,,0.0,,,,,,,,,,1793.0,285.0,3.3169999999999997,0.527,110.0,0.203,0.003,384.6,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
30,33771,MDV,Asia,Maldives,2020-04-07,19.0,0.0,0.14300000000000002,,,0.0,35.15,0.0,0.264,,,0.0,,,,,,,,,,,,,,125.0,0.231,0.001,874.1,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
31,33772,MDV,Asia,Maldives,2020-04-08,19.0,0.0,0.0,,,0.0,35.15,0.0,0.0,,,0.0,,,,,,,,,,,,,,146.0,0.27,0.0,,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
32,33773,MDV,Asia,Maldives,2020-04-09,19.0,0.0,0.0,,,0.0,35.15,0.0,0.0,,,0.0,,,,,,,,,,2434.0,,4.503,,163.0,0.302,0.0,,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
33,33774,MDV,Asia,Maldives,2020-04-10,19.0,0.0,0.0,,,0.0,35.15,0.0,0.0,,,0.0,,,,,,,,,,,,,,160.0,0.29600000000000004,0.0,,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
34,33775,MDV,Asia,Maldives,2020-04-11,19.0,0.0,0.0,,,0.0,35.15,0.0,0.0,,,0.0,,,,,,,,,,,,,,154.0,0.285,0.0,,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
35,33776,MDV,Asia,Maldives,2020-04-12,20.0,1.0,0.14300000000000002,,,0.0,37.0,1.85,0.264,,,0.0,,,,,,,,,,2632.0,,4.869,,161.0,0.298,0.001,1125.9,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
36,33777,MDV,Asia,Maldives,2020-04-13,20.0,0.0,0.14300000000000002,,,0.0,37.0,0.0,0.264,,,0.0,,,,,,,,,,2692.0,60.0,4.98,0.111,128.0,0.237,0.001,895.1,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
37,33778,MDV,Asia,Maldives,2020-04-14,20.0,0.0,0.14300000000000002,,,0.0,37.0,0.0,0.264,,,0.0,,,,,,,,,,2716.0,24.0,5.025,0.044000000000000004,101.0,0.187,0.001,706.3,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
38,33779,MDV,Asia,Maldives,2020-04-15,22.0,2.0,0.429,,,0.0,40.7,3.7,0.7929999999999999,,,0.0,,,,,,,,,,3090.0,374.0,5.716,0.6920000000000001,124.0,0.22899999999999998,0.003,289.0,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
39,33780,MDV,Asia,Maldives,2020-04-16,25.0,3.0,0.857,,,0.0,46.25,5.55,1.5859999999999999,,,0.0,,,,,,,,,,3178.0,88.0,5.879,0.163,106.0,0.196,0.008,123.7,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
40,33781,MDV,Asia,Maldives,2020-04-17,28.0,3.0,1.286,,,0.0,51.8,5.55,2.379,,,0.0,,,,,,,,,,,,,,127.0,0.235,0.01,98.8,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
41,33782,MDV,Asia,Maldives,2020-04-18,35.0,7.0,2.286,,,0.0,64.75,12.95,4.229,,,0.0,,,,,,,,,,,,,,148.0,0.27399999999999997,0.015,64.7,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
42,33783,MDV,Asia,Maldives,2020-04-19,52.0,17.0,4.571000000000001,,,0.0,96.2,31.45,8.457,,,0.0,,,,,,,,,,,,,,168.0,0.311,0.027000000000000003,36.8,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
43,33784,MDV,Asia,Maldives,2020-04-20,69.0,17.0,7.0,,,0.0,127.65,31.45,12.95,,,0.0,,,,,,,,,,,,,,190.0,0.35100000000000003,0.037000000000000005,27.1,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
44,33785,MDV,Asia,Maldives,2020-04-21,83.0,14.0,9.0,,,0.0,153.55,25.9,16.65,,,0.0,,,,,,,,,,,,,,216.0,0.4,0.042,24.0,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
45,33786,MDV,Asia,Maldives,2020-04-22,86.0,3.0,9.142999999999999,,,0.0,159.1,5.55,16.914,,,0.0,,,,,,,,,,,,,,193.0,0.35700000000000004,0.047,21.1,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
46,33787,MDV,Asia,Maldives,2020-04-23,108.0,22.0,11.857000000000001,,,0.0,199.799,40.7,21.936,,,0.0,,,,,,,,,,4650.0,,8.602,,210.0,0.38799999999999996,0.055999999999999994,17.7,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
47,33788,MDV,Asia,Maldives,2020-04-24,129.0,21.0,14.429,,,0.0,238.649,38.85,26.693,,,0.0,1.47,,,,,,,,,5199.0,549.0,9.618,1.016,259.0,0.479,0.055999999999999994,17.9,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
48,33789,MDV,Asia,Maldives,2020-04-25,177.0,48.0,20.285999999999998,,,0.0,327.449,88.8,37.528,,,0.0,1.47,,,,,,,,,5462.0,263.0,10.105,0.48700000000000004,266.0,0.49200000000000005,0.076,13.1,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
49,33790,MDV,Asia,Maldives,2020-04-26,214.0,37.0,23.143,,,0.0,395.899,68.45,42.81399999999999,,,0.0,1.46,,,,,,,,,5890.0,428.0,10.895999999999999,0.792,297.0,0.5489999999999999,0.078,12.8,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
50,33791,MDV,Asia,Maldives,2020-04-27,226.0,12.0,22.429000000000002,,,0.0,418.099,22.2,41.493,,,0.0,1.45,,,,,,,,,6216.0,326.0,11.5,0.603,314.0,0.581,0.071,14.0,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
51,33792,MDV,Asia,Maldives,2020-04-28,250.0,24.0,23.857,,,0.0,462.499,44.4,44.136,,,0.0,1.45,,,,,,,,,6636.0,420.0,12.277000000000001,0.777,344.0,0.636,0.069,14.4,samples tested,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
