,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,34059,MLI,Africa,Mali,2020-03-25,2.0,2.0,,,,,0.099,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.42700000000000005
1,34060,MLI,Africa,Mali,2020-03-26,4.0,2.0,,,,,0.198,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.42700000000000005
2,34061,MLI,Africa,Mali,2020-03-27,11.0,7.0,,,,,0.5429999999999999,0.34600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.42700000000000005
3,34062,MLI,Africa,Mali,2020-03-28,18.0,7.0,,,,,0.889,0.34600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.42700000000000005
4,34063,MLI,Africa,Mali,2020-03-29,18.0,0.0,,1.0,1.0,,0.889,0.0,,0.049,0.049,,,,,,,,,,,,,,,,,,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.42700000000000005
5,34064,MLI,Africa,Mali,2020-03-30,25.0,7.0,3.571,2.0,1.0,0.28600000000000003,1.235,0.34600000000000003,0.17600000000000002,0.099,0.049,0.013999999999999999,,,,,,,,,,,,,,,,,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.42700000000000005
6,34065,MLI,Africa,Mali,2020-03-31,28.0,3.0,4.0,2.0,0.0,0.28600000000000003,1.383,0.14800000000000002,0.198,0.099,0.0,0.013999999999999999,,,,,,,,,,,,,,,,,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.42700000000000005
7,34066,MLI,Africa,Mali,2020-04-01,31.0,3.0,4.143,3.0,1.0,0.429,1.531,0.14800000000000002,0.205,0.14800000000000002,0.049,0.021,,,,,,,,,,,,,,,,,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.42700000000000005
8,34067,MLI,Africa,Mali,2020-04-02,36.0,5.0,4.571000000000001,3.0,0.0,0.429,1.778,0.247,0.226,0.14800000000000002,0.0,0.021,,,,,,,,,,,,,,,,,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.42700000000000005
9,34068,MLI,Africa,Mali,2020-04-03,39.0,3.0,4.0,3.0,0.0,0.429,1.926,0.14800000000000002,0.198,0.14800000000000002,0.0,0.021,,,,,,,,,,,,,,,,,,,,,,,,72.22,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.42700000000000005
