,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,34709,MHL,Oceania,Marshall Islands,2020-10-28,2.0,2.0,,,,,33.787,33.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.50200000000001,2.7,73.7,0.708
1,34710,MHL,Oceania,Marshall Islands,2020-10-29,2.0,0.0,,,,,33.787,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.50200000000001,2.7,73.7,0.708
2,34711,MHL,Oceania,Marshall Islands,2020-10-30,2.0,0.0,,,,,33.787,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.50200000000001,2.7,73.7,0.708
3,34712,MHL,Oceania,Marshall Islands,2020-10-31,2.0,0.0,,,,,33.787,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.50200000000001,2.7,73.7,0.708
4,34713,MHL,Oceania,Marshall Islands,2020-11-01,2.0,0.0,,,,,33.787,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.50200000000001,2.7,73.7,0.708
5,34714,MHL,Oceania,Marshall Islands,2020-11-02,2.0,0.0,0.28600000000000003,,,0.0,33.787,0.0,4.827,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.50200000000001,2.7,73.7,0.708
6,34715,MHL,Oceania,Marshall Islands,2020-11-03,2.0,0.0,0.28600000000000003,,,0.0,33.787,0.0,4.827,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.50200000000001,2.7,73.7,0.708
7,34716,MHL,Oceania,Marshall Islands,2020-11-04,2.0,0.0,0.0,,,0.0,33.787,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.50200000000001,2.7,73.7,0.708
8,34717,MHL,Oceania,Marshall Islands,2020-11-05,1.0,-1.0,-0.14300000000000002,,,0.0,16.894000000000002,-16.894000000000002,-2.4130000000000003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.50200000000001,2.7,73.7,0.708
9,34718,MHL,Oceania,Marshall Islands,2020-11-06,1.0,0.0,-0.14300000000000002,,,0.0,16.894000000000002,0.0,-2.4130000000000003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.50200000000001,2.7,73.7,0.708
