,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,34793,MRT,Africa,Mauritania,2020-03-14,1.0,1.0,,,,,0.215,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,4649660.0,4.289,20.3,3.138,1.7919999999999998,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.52
1,34794,MRT,Africa,Mauritania,2020-03-15,1.0,0.0,,,,,0.215,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,4649660.0,4.289,20.3,3.138,1.7919999999999998,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.52
2,34795,MRT,Africa,Mauritania,2020-03-16,1.0,0.0,,,,,0.215,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,4649660.0,4.289,20.3,3.138,1.7919999999999998,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.52
3,34796,MRT,Africa,Mauritania,2020-03-17,1.0,0.0,,,,,0.215,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,4649660.0,4.289,20.3,3.138,1.7919999999999998,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.52
4,34797,MRT,Africa,Mauritania,2020-03-18,1.0,0.0,,,,,0.215,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,4649660.0,4.289,20.3,3.138,1.7919999999999998,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.52
5,34798,MRT,Africa,Mauritania,2020-03-19,2.0,1.0,0.28600000000000003,,,0.0,0.43,0.215,0.061,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,57.41,4649660.0,4.289,20.3,3.138,1.7919999999999998,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.52
6,34799,MRT,Africa,Mauritania,2020-03-20,2.0,0.0,0.28600000000000003,,,0.0,0.43,0.0,0.061,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,57.41,4649660.0,4.289,20.3,3.138,1.7919999999999998,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.52
7,34800,MRT,Africa,Mauritania,2020-03-21,2.0,0.0,0.14300000000000002,,,0.0,0.43,0.0,0.031,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,57.41,4649660.0,4.289,20.3,3.138,1.7919999999999998,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.52
8,34801,MRT,Africa,Mauritania,2020-03-22,2.0,0.0,0.14300000000000002,,,0.0,0.43,0.0,0.031,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,57.41,4649660.0,4.289,20.3,3.138,1.7919999999999998,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.52
9,34802,MRT,Africa,Mauritania,2020-03-23,2.0,0.0,0.14300000000000002,,,0.0,0.43,0.0,0.031,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,62.96,4649660.0,4.289,20.3,3.138,1.7919999999999998,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.52
