,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,35413,MEX,North America,Mexico,2020-01-01,,,,,,,,,,,,,,,,,,,,,,25.0,25.0,0.0,0.0,,,,,people tested,,,,,,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.774
1,35414,MEX,North America,Mexico,2020-01-02,,,,,,,,,,,,,,,,,,,,,,97.0,72.0,0.001,0.001,,,,,people tested,,,,,,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.774
2,35415,MEX,North America,Mexico,2020-01-03,,,,,,,,,,,,,,,,,,,,,,186.0,89.0,0.001,0.001,,,,,people tested,,,,,,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.774
3,35416,MEX,North America,Mexico,2020-01-04,,,,,,,,,,,,,,,,,,,,,,231.0,45.0,0.002,0.0,,,,,people tested,,,,,,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.774
4,35417,MEX,North America,Mexico,2020-01-05,,,,,,,,,,,,,,,,,,,,,,312.0,81.0,0.002,0.001,,,,,people tested,,,,,,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.774
5,35418,MEX,North America,Mexico,2020-01-06,,,,,,,,,,,,,,,,,,,,,,479.0,167.0,0.004,0.001,,,0.0,,people tested,,,,,,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.774
6,35419,MEX,North America,Mexico,2020-01-07,,,,,,,,,,,,,,,,,,,,,,666.0,187.0,0.005,0.001,,,0.0,,people tested,,,,,,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.774
7,35420,MEX,North America,Mexico,2020-01-08,,,,,,,,,,,,,,,,,,,,,,835.0,169.0,0.006,0.001,116.0,0.001,0.0,,people tested,,,,,,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.774
8,35421,MEX,North America,Mexico,2020-01-09,,,,,,,,,,,,,,,,,,,,,,1025.0,190.0,0.008,0.001,133.0,0.001,0.0,,people tested,,,,,,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.774
9,35422,MEX,North America,Mexico,2020-01-10,,,,,,,,,,,,,,,,,,,,,,1174.0,149.0,0.009000000000000001,0.001,141.0,0.001,0.0,,people tested,,,,,,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.774
