,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,36758,MNE,Europe,Montenegro,2020-03-17,2.0,2.0,,,,,3.1839999999999997,3.1839999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.8140000000000001
1,36759,MNE,Europe,Montenegro,2020-03-18,2.0,0.0,,,,,3.1839999999999997,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.8140000000000001
2,36760,MNE,Europe,Montenegro,2020-03-19,3.0,1.0,,,,,4.777,1.5919999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.8140000000000001
3,36761,MNE,Europe,Montenegro,2020-03-20,14.0,11.0,,,,,22.291,17.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.8140000000000001
4,36762,MNE,Europe,Montenegro,2020-03-21,14.0,0.0,,,,,22.291,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.8140000000000001
5,36763,MNE,Europe,Montenegro,2020-03-22,21.0,7.0,3.0,,,0.0,33.436,11.145,4.777,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.8140000000000001
6,36764,MNE,Europe,Montenegro,2020-03-23,27.0,6.0,3.8569999999999998,1.0,1.0,0.14300000000000002,42.989,9.552999999999999,6.141,1.5919999999999999,1.5919999999999999,0.22699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.8140000000000001
7,36765,MNE,Europe,Montenegro,2020-03-24,47.0,20.0,6.428999999999999,1.0,0.0,0.14300000000000002,74.833,31.844,10.236,1.5919999999999999,0.0,0.22699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.8140000000000001
8,36766,MNE,Europe,Montenegro,2020-03-25,52.0,5.0,7.143,1.0,0.0,0.14300000000000002,82.794,7.961,11.373,1.5919999999999999,0.0,0.22699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.8140000000000001
9,36767,MNE,Europe,Montenegro,2020-03-26,69.0,17.0,9.429,1.0,0.0,0.14300000000000002,109.86200000000001,27.066999999999997,15.012,1.5919999999999999,0.0,0.22699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.8140000000000001
