,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,37067,MAR,Africa,Morocco,2020-02-07,,,,,,,,,,,,,,,,,,,,,,9.0,,0.0,,,,,,people tested,,,,,,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
1,37068,MAR,Africa,Morocco,2020-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
2,37069,MAR,Africa,Morocco,2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
3,37070,MAR,Africa,Morocco,2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
4,37071,MAR,Africa,Morocco,2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
5,37072,MAR,Africa,Morocco,2020-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
6,37073,MAR,Africa,Morocco,2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
7,37074,MAR,Africa,Morocco,2020-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,people tested,,,,,,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
8,37075,MAR,Africa,Morocco,2020-02-15,,,,,,,,,,,,,,,,,,,,,,10.0,,0.0,,0.0,0.0,,,people tested,,,,,,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
9,37076,MAR,Africa,Morocco,2020-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,people tested,,,,,,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
10,37077,MAR,Africa,Morocco,2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,people tested,,,,,,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
11,37078,MAR,Africa,Morocco,2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,people tested,,,,,,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
12,37079,MAR,Africa,Morocco,2020-02-19,,,,,,,,,,,,,,,,,,,,,,11.0,,0.0,,0.0,0.0,,,people tested,,,,,,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
13,37080,MAR,Africa,Morocco,2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,people tested,,,,,,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
14,37081,MAR,Africa,Morocco,2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,people tested,,,,,,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
15,37082,MAR,Africa,Morocco,2020-02-22,,,,,,,,,,,,,,,,,,,,,,12.0,,0.0,,0.0,0.0,,,people tested,,,,,,0.0,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
