,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,37719,MMR,Asia,Myanmar,2020-03-27,8.0,8.0,,,,,0.147,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.28699999999999,0.9,67.13,0.578
1,37720,MMR,Asia,Myanmar,2020-03-28,8.0,0.0,,,,,0.147,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.28699999999999,0.9,67.13,0.578
2,37721,MMR,Asia,Myanmar,2020-03-29,10.0,2.0,,,,,0.184,0.037000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.28699999999999,0.9,67.13,0.578
3,37722,MMR,Asia,Myanmar,2020-03-30,14.0,4.0,,,,,0.257,0.07400000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.28699999999999,0.9,67.13,0.578
4,37723,MMR,Asia,Myanmar,2020-03-31,15.0,1.0,,1.0,1.0,,0.276,0.018000000000000002,,0.018000000000000002,0.018000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,57.41,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.28699999999999,0.9,67.13,0.578
5,37724,MMR,Asia,Myanmar,2020-04-01,15.0,0.0,2.1430000000000002,1.0,0.0,0.14300000000000002,0.276,0.0,0.039,0.018000000000000002,0.0,0.003,,,,,,,,,,,,,,,,,,,,,,,,65.74,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.28699999999999,0.9,67.13,0.578
6,37725,MMR,Asia,Myanmar,2020-04-02,20.0,5.0,2.8569999999999998,1.0,0.0,0.14300000000000002,0.368,0.092,0.053,0.018000000000000002,0.0,0.003,,,,,,,,,,,,,,,,,,,,,,,,65.74,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.28699999999999,0.9,67.13,0.578
7,37726,MMR,Asia,Myanmar,2020-04-03,20.0,0.0,1.714,1.0,0.0,0.14300000000000002,0.368,0.0,0.032,0.018000000000000002,0.0,0.003,,,,,,,,,,,,,,,,,,,,,,,,65.74,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.28699999999999,0.9,67.13,0.578
8,37727,MMR,Asia,Myanmar,2020-04-04,21.0,1.0,1.857,1.0,0.0,0.14300000000000002,0.386,0.018000000000000002,0.034,0.018000000000000002,0.0,0.003,,,,,,,,,,1183.0,,0.022000000000000002,,,,,,samples tested,,,,,,69.44,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.28699999999999,0.9,67.13,0.578
9,37728,MMR,Asia,Myanmar,2020-04-05,21.0,0.0,1.571,1.0,0.0,0.14300000000000002,0.386,0.0,0.028999999999999998,0.018000000000000002,0.0,0.003,,,,,,,,,,1246.0,63.0,0.023,0.001,,,,,samples tested,,,,,,69.44,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.28699999999999,0.9,67.13,0.578
