,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,38691,NLD,Europe,Netherlands,2020-02-15,,,,,,,,,,,,,,,,,,,,6.94,0.405,,,,,,,,,,,,,,,0.0,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
1,38692,NLD,Europe,Netherlands,2020-02-23,,,,,,,,,,,,,,,,,,,,21.813000000000002,1.273,,,,,,,,,,,,,,,0.0,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
2,38693,NLD,Europe,Netherlands,2020-02-27,1.0,1.0,,,,,0.057999999999999996,0.057999999999999996,,,,,,14.0,0.8170000000000001,,,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
3,38694,NLD,Europe,Netherlands,2020-02-28,1.0,0.0,,,,,0.057999999999999996,0.0,,,,,,15.0,0.875,,,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
4,38695,NLD,Europe,Netherlands,2020-02-29,6.0,5.0,,,,,0.35,0.292,,,,,,16.0,0.934,,,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
5,38696,NLD,Europe,Netherlands,2020-03-01,10.0,4.0,,,,,0.584,0.233,,,,,,18.0,1.05,,,2.9739999999999998,0.174,38.668,2.2569999999999997,,,,,,,,,,,,,,,0.0,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
6,38697,NLD,Europe,Netherlands,2020-03-02,18.0,8.0,,,,,1.05,0.467,,,,,,17.0,0.992,,,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
7,38698,NLD,Europe,Netherlands,2020-03-03,24.0,6.0,3.429,,,0.0,1.401,0.35,0.2,,,0.0,,19.0,1.109,,,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
8,38699,NLD,Europe,Netherlands,2020-03-04,38.0,14.0,5.428999999999999,,,0.0,2.218,0.8170000000000001,0.317,,,0.0,,22.0,1.284,,,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
9,38700,NLD,Europe,Netherlands,2020-03-05,82.0,44.0,11.571,,,0.0,4.7860000000000005,2.568,0.675,,,0.0,,22.0,1.284,,,,,,,,,,,,,,,,,,,,,0.0,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
10,38701,NLD,Europe,Netherlands,2020-03-06,128.0,46.0,18.143,1.0,1.0,0.14300000000000002,7.47,2.685,1.0590000000000002,0.057999999999999996,0.057999999999999996,0.008,,26.0,1.517,,,,,,,,,,,,,,,,,,,,,1.85,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
11,38702,NLD,Europe,Netherlands,2020-03-07,188.0,60.0,26.0,1.0,0.0,0.14300000000000002,10.972000000000001,3.502,1.517,0.057999999999999996,0.0,0.008,2.64,28.0,1.6340000000000001,,,,,,,,,,,,,,,,,,,,,1.85,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
12,38703,NLD,Europe,Netherlands,2020-03-08,265.0,77.0,36.429,3.0,2.0,0.429,15.466,4.494,2.126,0.175,0.11699999999999999,0.025,2.6,34.0,1.984,,,17.847,1.042,82.29299999999999,4.803,,,,,,,,,,,,,,,1.85,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
13,38704,NLD,Europe,Netherlands,2020-03-09,321.0,56.0,43.286,3.0,0.0,0.429,18.734,3.2680000000000002,2.526,0.175,0.0,0.025,2.54,39.0,2.276,,,,,,,,,,,,,,,,,,,,,10.19,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
14,38705,NLD,Europe,Netherlands,2020-03-10,382.0,61.0,51.143,4.0,1.0,0.5710000000000001,22.294,3.56,2.985,0.233,0.057999999999999996,0.033,2.52,47.0,2.7430000000000003,,,,,,,,,,,,,,,,,,,,,18.52,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
15,38706,NLD,Europe,Netherlands,2020-03-11,503.0,121.0,66.429,5.0,1.0,0.7140000000000001,29.355,7.062,3.877,0.292,0.057999999999999996,0.042,2.54,55.0,3.21,,,,,,,,,,,,,,,,,,,,,18.52,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
16,38707,NLD,Europe,Netherlands,2020-03-12,503.0,0.0,60.143,5.0,0.0,0.7140000000000001,29.355,0.0,3.51,0.292,0.0,0.042,2.52,75.0,4.377,,,,,,,,,,,,,,,,,,,,,41.67,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
17,38708,NLD,Europe,Netherlands,2020-03-13,806.0,303.0,96.85700000000001,10.0,5.0,1.286,47.038999999999994,17.683,5.653,0.584,0.292,0.075,2.64,86.0,5.019,,,,,,,,,,,,,,,,,,,,,41.67,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
18,38709,NLD,Europe,Netherlands,2020-03-14,962.0,156.0,110.571,12.0,2.0,1.571,56.143,9.104,6.452999999999999,0.7,0.11699999999999999,0.092,2.54,104.0,6.069,,,,,,,,,,,,,,,,,,,,,41.67,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
19,38710,NLD,Europe,Netherlands,2020-03-15,1138.0,176.0,124.714,20.0,8.0,2.4290000000000003,66.414,10.270999999999999,7.278,1.167,0.467,0.142,2.47,127.0,7.412000000000001,,,103.11399999999999,6.018,353.957,20.656999999999996,17080.0,,0.997,,,,0.09,11.1,people tested,,,,,,54.63,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
20,38711,NLD,Europe,Netherlands,2020-03-16,1416.0,278.0,156.429,24.0,4.0,3.0,82.63799999999999,16.224,9.129,1.401,0.233,0.175,2.42,158.0,9.221,,,,,,,,,,,,,,,people tested,,,,,,62.04,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
21,38712,NLD,Europe,Netherlands,2020-03-17,1711.0,295.0,189.857,43.0,19.0,5.571000000000001,99.855,17.215999999999998,11.08,2.51,1.109,0.325,2.37,188.0,10.972000000000001,,,,,,,,,,,,,,,people tested,,,,,,62.04,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
