,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,39021,NZL,Oceania,New Zealand,2020-02-28,1.0,1.0,,,,,0.207,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.917
1,39022,NZL,Oceania,New Zealand,2020-02-29,1.0,0.0,,,,,0.207,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.917
2,39023,NZL,Oceania,New Zealand,2020-03-01,1.0,0.0,,,,,0.207,0.0,,,,,,,,,,,,,,225.0,,0.047,,,,,,tests performed,,,,,,19.44,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.917
3,39024,NZL,Oceania,New Zealand,2020-03-02,1.0,0.0,,,,,0.207,0.0,,,,,,,,,,,,,,254.0,29.0,0.053,0.006,,,,,tests performed,,,,,,19.44,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.917
4,39025,NZL,Oceania,New Zealand,2020-03-03,1.0,0.0,,,,,0.207,0.0,,,,,,,,,,,,,,280.0,26.0,0.057999999999999996,0.005,,,,,tests performed,,,,,,19.44,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.917
5,39026,NZL,Oceania,New Zealand,2020-03-04,3.0,2.0,0.429,,,0.0,0.622,0.415,0.08900000000000001,,,0.0,,,,,,,,,,305.0,25.0,0.063,0.005,,,,,tests performed,,,,,,19.44,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.917
6,39027,NZL,Oceania,New Zealand,2020-03-05,3.0,0.0,0.429,,,0.0,0.622,0.0,0.08900000000000001,,,0.0,,,,,,,,,,332.0,27.0,0.069,0.006,,,,,tests performed,,,,,,19.44,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.917
7,39028,NZL,Oceania,New Zealand,2020-03-06,4.0,1.0,0.429,,,0.0,0.8290000000000001,0.207,0.08900000000000001,,,0.0,,,,,,,,,,398.0,66.0,0.083,0.013999999999999999,,,,,tests performed,,,,,,19.44,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.917
8,39029,NZL,Oceania,New Zealand,2020-03-07,5.0,1.0,0.5710000000000001,,,0.0,1.037,0.207,0.11800000000000001,,,0.0,,,,,,,,,,442.0,44.0,0.092,0.009000000000000001,,,,,tests performed,,,,,,19.44,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.917
9,39030,NZL,Oceania,New Zealand,2020-03-08,5.0,0.0,0.5710000000000001,,,0.0,1.037,0.0,0.11800000000000001,,,0.0,,,,,,,,,,470.0,28.0,0.09699999999999999,0.006,35.0,0.006999999999999999,0.016,61.3,tests performed,,,,,,19.44,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.917
10,39031,NZL,Oceania,New Zealand,2020-03-09,5.0,0.0,0.5710000000000001,,,0.0,1.037,0.0,0.11800000000000001,,,0.0,,,,,,,,,,549.0,79.0,0.114,0.016,42.0,0.009000000000000001,0.013999999999999999,73.6,tests performed,,,,,,19.44,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.917
11,39032,NZL,Oceania,New Zealand,2020-03-10,5.0,0.0,0.5710000000000001,,,0.0,1.037,0.0,0.11800000000000001,,,0.0,,,,,,,,,,637.0,88.0,0.132,0.018000000000000002,51.0,0.011000000000000001,0.011000000000000001,89.3,tests performed,,,,,,19.44,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.917
