,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,39655,NER,Africa,Niger,2020-03-20,1.0,1.0,,,,,0.040999999999999995,0.040999999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,24206636.0,16.955,15.1,2.553,1.3780000000000001,926.0,44.5,238.33900000000003,2.42,0.1,15.4,8.978,0.3,62.42,0.354
1,39656,NER,Africa,Niger,2020-03-21,1.0,0.0,,,,,0.040999999999999995,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,24206636.0,16.955,15.1,2.553,1.3780000000000001,926.0,44.5,238.33900000000003,2.42,0.1,15.4,8.978,0.3,62.42,0.354
2,39657,NER,Africa,Niger,2020-03-22,2.0,1.0,,,,,0.083,0.040999999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,24206636.0,16.955,15.1,2.553,1.3780000000000001,926.0,44.5,238.33900000000003,2.42,0.1,15.4,8.978,0.3,62.42,0.354
3,39658,NER,Africa,Niger,2020-03-23,3.0,1.0,,,,,0.124,0.040999999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,24206636.0,16.955,15.1,2.553,1.3780000000000001,926.0,44.5,238.33900000000003,2.42,0.1,15.4,8.978,0.3,62.42,0.354
4,39659,NER,Africa,Niger,2020-03-24,3.0,0.0,,,,,0.124,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,24206636.0,16.955,15.1,2.553,1.3780000000000001,926.0,44.5,238.33900000000003,2.42,0.1,15.4,8.978,0.3,62.42,0.354
5,39660,NER,Africa,Niger,2020-03-25,7.0,4.0,1.0,1.0,1.0,0.14300000000000002,0.289,0.165,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.006,,,,,,,,,,,,,,,,,,,,,,,,52.78,24206636.0,16.955,15.1,2.553,1.3780000000000001,926.0,44.5,238.33900000000003,2.42,0.1,15.4,8.978,0.3,62.42,0.354
6,39661,NER,Africa,Niger,2020-03-26,10.0,3.0,1.429,1.0,0.0,0.14300000000000002,0.413,0.124,0.059000000000000004,0.040999999999999995,0.0,0.006,,,,,,,,,,,,,,,,,,,,,,,,52.78,24206636.0,16.955,15.1,2.553,1.3780000000000001,926.0,44.5,238.33900000000003,2.42,0.1,15.4,8.978,0.3,62.42,0.354
7,39662,NER,Africa,Niger,2020-03-27,10.0,0.0,1.286,1.0,0.0,0.14300000000000002,0.413,0.0,0.053,0.040999999999999995,0.0,0.006,,,,,,,,,,,,,,,,,,,,,,,,52.78,24206636.0,16.955,15.1,2.553,1.3780000000000001,926.0,44.5,238.33900000000003,2.42,0.1,15.4,8.978,0.3,62.42,0.354
8,39663,NER,Africa,Niger,2020-03-28,10.0,0.0,1.286,1.0,0.0,0.14300000000000002,0.413,0.0,0.053,0.040999999999999995,0.0,0.006,,,,,,,,,,,,,,,,,,,,,,,,61.11,24206636.0,16.955,15.1,2.553,1.3780000000000001,926.0,44.5,238.33900000000003,2.42,0.1,15.4,8.978,0.3,62.42,0.354
9,39664,NER,Africa,Niger,2020-03-29,18.0,8.0,2.286,1.0,0.0,0.14300000000000002,0.7440000000000001,0.33,0.094,0.040999999999999995,0.0,0.006,,,,,,,,,,,,,,,,,,,,,,,,61.11,24206636.0,16.955,15.1,2.553,1.3780000000000001,926.0,44.5,238.33900000000003,2.42,0.1,15.4,8.978,0.3,62.42,0.354
