,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,40288,MKD,Europe,North Macedonia,2020-02-26,1.0,1.0,,,,,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
1,40289,MKD,Europe,North Macedonia,2020-02-27,1.0,0.0,,,,,0.48,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
2,40290,MKD,Europe,North Macedonia,2020-02-28,1.0,0.0,,,,,0.48,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
3,40291,MKD,Europe,North Macedonia,2020-02-29,1.0,0.0,,,,,0.48,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
4,40292,MKD,Europe,North Macedonia,2020-03-01,1.0,0.0,,,,,0.48,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
5,40293,MKD,Europe,North Macedonia,2020-03-02,1.0,0.0,0.14300000000000002,,,0.0,0.48,0.0,0.069,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
6,40294,MKD,Europe,North Macedonia,2020-03-03,1.0,0.0,0.14300000000000002,,,0.0,0.48,0.0,0.069,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
7,40295,MKD,Europe,North Macedonia,2020-03-04,1.0,0.0,0.0,,,0.0,0.48,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
8,40296,MKD,Europe,North Macedonia,2020-03-05,1.0,0.0,0.0,,,0.0,0.48,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
9,40297,MKD,Europe,North Macedonia,2020-03-06,3.0,2.0,0.28600000000000003,,,0.0,1.44,0.96,0.13699999999999998,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
10,40298,MKD,Europe,North Macedonia,2020-03-07,3.0,0.0,0.28600000000000003,,,0.0,1.44,0.0,0.13699999999999998,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
11,40299,MKD,Europe,North Macedonia,2020-03-08,3.0,0.0,0.28600000000000003,,,0.0,1.44,0.0,0.13699999999999998,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
12,40300,MKD,Europe,North Macedonia,2020-03-09,3.0,0.0,0.28600000000000003,,,0.0,1.44,0.0,0.13699999999999998,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
13,40301,MKD,Europe,North Macedonia,2020-03-10,7.0,4.0,0.857,,,0.0,3.36,1.92,0.41100000000000003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
14,40302,MKD,Europe,North Macedonia,2020-03-11,7.0,0.0,0.857,,,0.0,3.36,0.0,0.41100000000000003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
15,40303,MKD,Europe,North Macedonia,2020-03-12,7.0,0.0,0.857,,,0.0,3.36,0.0,0.41100000000000003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
16,40304,MKD,Europe,North Macedonia,2020-03-13,14.0,7.0,1.571,,,0.0,6.72,3.36,0.754,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
17,40305,MKD,Europe,North Macedonia,2020-03-14,14.0,0.0,1.571,,,0.0,6.72,0.0,0.754,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
18,40306,MKD,Europe,North Macedonia,2020-03-15,14.0,0.0,1.571,,,0.0,6.72,0.0,0.754,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
19,40307,MKD,Europe,North Macedonia,2020-03-16,18.0,4.0,2.1430000000000002,,,0.0,8.64,1.92,1.0290000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
20,40308,MKD,Europe,North Macedonia,2020-03-17,26.0,8.0,2.714,,,0.0,12.48,3.84,1.3030000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
