,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,40617,NOR,Europe,Norway,2020-02-23,,,,,,,,,,,,,,,,,,,,1.0170000000000001,0.188,,,,,,,,,,,,,,,11.11,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.953
1,40618,NOR,Europe,Norway,2020-02-24,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,0.002,0.002,,,,,people tested,,,,,,11.11,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.953
2,40619,NOR,Europe,Norway,2020-02-25,,,,,,,,,,,,,,,,,,,,,,74.0,62.0,0.013999999999999999,0.011000000000000001,,,,,people tested,,,,,,11.11,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.953
3,40620,NOR,Europe,Norway,2020-02-26,1.0,1.0,,,,,0.184,0.184,,,,,,,,,,,,,,222.0,148.0,0.040999999999999995,0.027000000000000003,,,,,people tested,,,,,,11.11,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.953
4,40621,NOR,Europe,Norway,2020-02-27,1.0,0.0,,,,,0.184,0.0,,,,,,,,,,,,,,471.0,249.0,0.087,0.046,,,,,people tested,,,,,,11.11,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.953
5,40622,NOR,Europe,Norway,2020-02-28,6.0,5.0,,,,,1.107,0.922,,,,,,,,,,,,,,761.0,290.0,0.14,0.053,,,,,people tested,,,,,,11.11,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.953
6,40623,NOR,Europe,Norway,2020-02-29,15.0,9.0,,,,,2.767,1.66,,,,,,,,,,,,,,970.0,209.0,0.179,0.039,,,,,people tested,,,,,,11.11,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.953
7,40624,NOR,Europe,Norway,2020-03-01,19.0,4.0,,,,,3.505,0.738,,,,,,,,,,,,,,1205.0,235.0,0.222,0.043,,,,,people tested,,,,,,11.11,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.953
8,40625,NOR,Europe,Norway,2020-03-02,25.0,6.0,3.571,,,0.0,4.611000000000001,1.107,0.659,,,0.0,,,,,,,,,,1596.0,391.0,0.294,0.07200000000000001,226.0,0.042,0.016,63.3,people tested,,,,,,11.11,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.953
9,40626,NOR,Europe,Norway,2020-03-03,32.0,7.0,4.571000000000001,,,0.0,5.903,1.291,0.843,,,0.0,,,,,,,,,,1976.0,380.0,0.364,0.07,272.0,0.05,0.017,59.5,people tested,,,,,,11.11,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.953
10,40627,NOR,Europe,Norway,2020-03-04,56.0,24.0,7.857,,,0.0,10.33,4.427,1.449,,,0.0,,,,,,,,,,2317.0,341.0,0.42700000000000005,0.063,299.0,0.055,0.026000000000000002,38.1,people tested,,,,,,11.11,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.953
11,40628,NOR,Europe,Norway,2020-03-05,87.0,31.0,12.286,,,0.0,16.048,5.718,2.266,,,0.0,,,,,,,,,,2691.0,374.0,0.496,0.069,317.0,0.057999999999999996,0.039,25.8,people tested,,,,,,11.11,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.953
