,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,41280,PAK,Asia,Pakistan,2020-02-25,2.0,2.0,,,,,0.009000000000000001,0.009000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
1,41281,PAK,Asia,Pakistan,2020-02-26,2.0,0.0,,,,,0.009000000000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
2,41282,PAK,Asia,Pakistan,2020-02-27,2.0,0.0,,,,,0.009000000000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
3,41283,PAK,Asia,Pakistan,2020-02-28,4.0,2.0,,,,,0.018000000000000002,0.009000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
4,41284,PAK,Asia,Pakistan,2020-02-29,4.0,0.0,,,,,0.018000000000000002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
5,41285,PAK,Asia,Pakistan,2020-03-01,4.0,0.0,0.5710000000000001,,,0.0,0.018000000000000002,0.0,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
6,41286,PAK,Asia,Pakistan,2020-03-02,5.0,1.0,0.7140000000000001,,,0.0,0.023,0.005,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
7,41287,PAK,Asia,Pakistan,2020-03-03,5.0,0.0,0.429,,,0.0,0.023,0.0,0.002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
8,41288,PAK,Asia,Pakistan,2020-03-04,5.0,0.0,0.429,,,0.0,0.023,0.0,0.002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
9,41289,PAK,Asia,Pakistan,2020-03-05,6.0,1.0,0.5710000000000001,,,0.0,0.027000000000000003,0.005,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,28.7,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
