,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,41931,PAN,North America,Panama,2020-03-09,,,,,,,,,,,,,,,,,,,,,,107.0,,0.025,,,,,,tests performed,,,,,,8.33,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.789
1,41932,PAN,North America,Panama,2020-03-10,1.0,1.0,,,,,0.23199999999999998,0.23199999999999998,,,,,,,,,,,,,,138.0,31.0,0.032,0.006999999999999999,,,,,tests performed,,,,,,8.33,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.789
2,41933,PAN,North America,Panama,2020-03-11,8.0,7.0,,1.0,1.0,,1.854,1.6219999999999999,,0.23199999999999998,0.23199999999999998,,,,,,,,,,,180.0,42.0,0.042,0.01,,,,,tests performed,,,,,,8.33,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.789
3,41934,PAN,North America,Panama,2020-03-12,11.0,3.0,,1.0,0.0,,2.549,0.695,,0.23199999999999998,0.0,,,,,,,,,,,374.0,194.0,0.087,0.045,,,,,tests performed,,,,,,19.44,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.789
4,41935,PAN,North America,Panama,2020-03-13,27.0,16.0,,1.0,0.0,,6.257999999999999,3.708,,0.23199999999999998,0.0,,,,,,,,,,,613.0,239.0,0.142,0.055,,,,,tests performed,,,,,,44.44,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.789
5,41936,PAN,North America,Panama,2020-03-14,36.0,9.0,,1.0,0.0,,8.343,2.086,,0.23199999999999998,0.0,,,,,,,,,,,814.0,201.0,0.18899999999999997,0.047,,,,,tests performed,,,,,,44.44,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.789
6,41937,PAN,North America,Panama,2020-03-15,43.0,7.0,6.143,1.0,0.0,0.14300000000000002,9.966000000000001,1.6219999999999999,1.4240000000000002,0.23199999999999998,0.0,0.033,,,,,,,,,,921.0,107.0,0.213,0.025,,,,,tests performed,,,,,,44.44,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.789
7,41938,PAN,North America,Panama,2020-03-16,55.0,12.0,7.857,1.0,0.0,0.14300000000000002,12.747,2.781,1.821,0.23199999999999998,0.0,0.033,,,,,,,,,,1004.0,83.0,0.233,0.019,128.0,0.03,0.061,16.3,tests performed,,,,,,48.15,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.789
8,41939,PAN,North America,Panama,2020-03-17,69.0,14.0,9.714,1.0,0.0,0.14300000000000002,15.992,3.245,2.251,0.23199999999999998,0.0,0.033,,,,,,,,,,1245.0,241.0,0.289,0.055999999999999994,158.0,0.037000000000000005,0.061,16.3,tests performed,,,,,,51.85,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.789
9,41940,PAN,North America,Panama,2020-03-18,86.0,17.0,11.142999999999999,1.0,0.0,0.0,19.932000000000002,3.94,2.582,0.23199999999999998,0.0,0.0,,,,,,,,,,1455.0,210.0,0.337,0.049,182.0,0.042,0.061,16.3,tests performed,,,,,,51.85,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.789
