,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,42554,PRY,South America,Paraguay,2020-03-07,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,,,,,tests performed,,,,,,5.56,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.7020000000000001
1,42555,PRY,South America,Paraguay,2020-03-08,1.0,1.0,,,,,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,5.56,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.7020000000000001
2,42556,PRY,South America,Paraguay,2020-03-09,1.0,0.0,,,,,0.14,0.0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,5.56,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.7020000000000001
3,42557,PRY,South America,Paraguay,2020-03-10,1.0,0.0,,,,,0.14,0.0,,,,,,,,,,,,,,9.0,8.0,0.001,0.001,,,,,tests performed,,,,,,39.81,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.7020000000000001
4,42558,PRY,South America,Paraguay,2020-03-11,5.0,4.0,,,,,0.701,0.561,,,,,,,,,,,,,,16.0,7.0,0.002,0.001,,,,,tests performed,,,,,,39.81,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.7020000000000001
5,42559,PRY,South America,Paraguay,2020-03-12,5.0,0.0,,,,,0.701,0.0,,,,,,,,,,,,,,22.0,6.0,0.003,0.001,,,,,tests performed,,,,,,39.81,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.7020000000000001
6,42560,PRY,South America,Paraguay,2020-03-13,6.0,1.0,0.857,,,0.0,0.841,0.14,0.12,,,0.0,,,,,,,,,,39.0,17.0,0.005,0.002,,,,,tests performed,,,,,,50.93,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.7020000000000001
7,42561,PRY,South America,Paraguay,2020-03-14,6.0,0.0,0.857,,,0.0,0.841,0.0,0.12,,,0.0,,,,,,,,,,54.0,15.0,0.008,0.002,8.0,0.001,0.107,9.3,tests performed,,,,,,50.93,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.7020000000000001
8,42562,PRY,South America,Paraguay,2020-03-15,6.0,0.0,0.7140000000000001,,,0.0,0.841,0.0,0.1,,,0.0,,,,,,,,,,87.0,33.0,0.012,0.005,12.0,0.002,0.06,16.8,tests performed,,,,,,50.93,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.7020000000000001
9,42563,PRY,South America,Paraguay,2020-03-16,8.0,2.0,1.0,,,0.0,1.122,0.28,0.14,,,0.0,,,,,,,,,,114.0,27.0,0.016,0.004,15.0,0.002,0.067,15.0,tests performed,,,,,,70.37,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.7020000000000001
