,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,42873,PER,South America,Peru,2020-03-06,1.0,1.0,,,,,0.03,0.03,,,,,,,,,,,,,,74.0,74.0,0.002,0.002,,,,,tests performed,,,,,,13.89,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
1,42874,PER,South America,Peru,2020-03-07,1.0,0.0,,,,,0.03,0.0,,,,,,,,,,,,,,151.0,77.0,0.005,0.002,,,,,tests performed,,,,,,13.89,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
2,42875,PER,South America,Peru,2020-03-08,6.0,5.0,,,,,0.182,0.152,,,,,,,,,,,,,,250.0,99.0,0.008,0.003,,,,,tests performed,,,,,,13.89,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
3,42876,PER,South America,Peru,2020-03-09,7.0,1.0,,,,,0.212,0.03,,,,,,,,,,,,,,492.0,242.0,0.015,0.006999999999999999,,,,,tests performed,,,,,,13.89,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
4,42877,PER,South America,Peru,2020-03-10,11.0,4.0,,,,,0.33399999999999996,0.121,,,,,,,,,,,,,,873.0,381.0,0.026000000000000002,0.012,,,,,tests performed,,,,,,13.89,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
5,42878,PER,South America,Peru,2020-03-11,11.0,0.0,1.571,,,0.0,0.33399999999999996,0.0,0.048,,,0.0,,,,,,,,,,1289.0,416.0,0.039,0.013000000000000001,,,,,tests performed,,,,,,16.67,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
6,42879,PER,South America,Peru,2020-03-12,15.0,4.0,2.1430000000000002,,,0.0,0.455,0.121,0.065,,,0.0,,,,,,,,,,1791.0,502.0,0.054000000000000006,0.015,,,0.036000000000000004,27.8,tests performed,,,,,,44.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
7,42880,PER,South America,Peru,2020-03-13,28.0,13.0,3.8569999999999998,,,0.0,0.8490000000000001,0.39399999999999996,0.11699999999999999,,,0.0,,,,,,,,,,2268.0,477.0,0.069,0.013999999999999999,313.0,0.009000000000000001,0.039,25.6,tests performed,,,,,,44.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
8,42881,PER,South America,Peru,2020-03-14,38.0,10.0,5.2860000000000005,,,0.0,1.1520000000000001,0.303,0.16,,,0.0,,,,,,,,,,2683.0,415.0,0.081,0.013000000000000001,362.0,0.011000000000000001,0.04,25.0,tests performed,,,,,,50.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
9,42882,PER,South America,Peru,2020-03-15,43.0,5.0,5.2860000000000005,,,0.0,1.304,0.152,0.16,,,0.0,,,,,,,,,,3013.0,330.0,0.091,0.01,395.0,0.012,0.047,21.3,tests performed,,,,,,74.07,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
10,42883,PER,South America,Peru,2020-03-16,86.0,43.0,11.286,,,0.0,2.608,1.304,0.342,,,0.0,,,,,,,,,,3741.0,728.0,0.113,0.022000000000000002,464.0,0.013999999999999999,0.061,16.4,tests performed,,,,,,90.74,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
11,42884,PER,South America,Peru,2020-03-17,117.0,31.0,15.142999999999999,,,0.0,3.548,0.94,0.45899999999999996,,,0.0,,,,,,,,,,4424.0,683.0,0.134,0.021,507.0,0.015,0.067,14.9,tests performed,,,,,,90.74,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
12,42885,PER,South America,Peru,2020-03-18,145.0,28.0,19.143,,,0.0,4.398,0.8490000000000001,0.581,,,0.0,1.88,,,,,,,,,5246.0,822.0,0.159,0.025,565.0,0.017,0.065,15.4,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
13,42886,PER,South America,Peru,2020-03-19,234.0,89.0,31.285999999999998,,,0.0,7.097,2.699,0.9490000000000001,,,0.0,1.88,,,,,,,,,6109.0,863.0,0.185,0.026000000000000002,617.0,0.019,0.066,15.2,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
14,42887,PER,South America,Peru,2020-03-20,234.0,0.0,29.429000000000002,3.0,3.0,0.429,7.097,0.0,0.893,0.091,0.091,0.013000000000000001,1.87,,,,,,,,,7373.0,1264.0,0.22399999999999998,0.038,729.0,0.022000000000000002,0.063,15.9,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
15,42888,PER,South America,Peru,2020-03-21,318.0,84.0,40.0,5.0,2.0,0.7140000000000001,9.645,2.548,1.213,0.152,0.061,0.022000000000000002,1.87,,,,,,,,,8266.0,893.0,0.251,0.027000000000000003,798.0,0.024,0.064,15.6,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
16,42889,PER,South America,Peru,2020-03-22,363.0,45.0,45.714,5.0,0.0,0.7140000000000001,11.009,1.365,1.386,0.152,0.0,0.022000000000000002,1.86,,,,,,,,,8864.0,598.0,0.26899999999999996,0.018000000000000002,836.0,0.025,0.067,14.9,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
17,42890,PER,South America,Peru,2020-03-23,395.0,32.0,44.143,5.0,0.0,0.7140000000000001,11.98,0.971,1.339,0.152,0.0,0.022000000000000002,1.85,,,,,,,,,9916.0,1052.0,0.301,0.032,882.0,0.027000000000000003,0.065,15.4,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
18,42891,PER,South America,Peru,2020-03-24,416.0,21.0,42.714,7.0,2.0,1.0,12.617,0.637,1.295,0.212,0.061,0.03,1.85,,,,,,,,,10895.0,979.0,0.33,0.03,924.0,0.027999999999999997,0.065,15.4,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
19,42892,PER,South America,Peru,2020-03-25,480.0,64.0,47.857,9.0,2.0,1.286,14.558,1.9409999999999998,1.4509999999999998,0.273,0.061,0.039,1.85,,,,,,,,,12165.0,1270.0,0.369,0.039,988.0,0.03,0.07200000000000001,13.9,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
20,42893,PER,South America,Peru,2020-03-26,580.0,100.0,49.428999999999995,9.0,0.0,1.286,17.590999999999998,3.033,1.499,0.273,0.0,0.039,1.85,,,,,,,,,13212.0,1047.0,0.401,0.032,1015.0,0.031,0.08199999999999999,12.2,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
21,42894,PER,South America,Peru,2020-03-27,635.0,55.0,57.286,11.0,2.0,1.143,19.259,1.6680000000000001,1.7369999999999999,0.33399999999999996,0.061,0.035,1.85,,,,,,,,,14282.0,1070.0,0.433,0.032,987.0,0.03,0.094,10.6,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
22,42895,PER,South America,Peru,2020-03-28,671.0,36.0,50.428999999999995,16.0,5.0,1.571,20.351,1.092,1.5290000000000001,0.485,0.152,0.048,1.85,,,,,,,,,15246.0,964.0,0.462,0.028999999999999998,997.0,0.03,0.107,9.3,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
23,42896,PER,South America,Peru,2020-03-29,852.0,181.0,69.857,18.0,2.0,1.857,25.84,5.49,2.119,0.546,0.061,0.055999999999999994,1.86,,,,,,,,,15912.0,666.0,0.483,0.02,1007.0,0.031,0.11800000000000001,8.5,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
24,42897,PER,South America,Peru,2020-03-30,950.0,98.0,79.286,24.0,6.0,2.714,28.811999999999998,2.972,2.405,0.728,0.182,0.08199999999999999,1.86,,,,,,,,,17261.0,1349.0,0.524,0.040999999999999995,1049.0,0.032,0.134,7.5,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
25,42898,PER,South America,Peru,2020-03-31,1065.0,115.0,92.714,30.0,6.0,3.286,32.3,3.488,2.812,0.91,0.182,0.1,1.86,,,,,,,,,18539.0,1278.0,0.562,0.039,1092.0,0.033,0.158,6.3,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
26,42899,PER,South America,Peru,2020-04-01,1323.0,258.0,120.429,38.0,8.0,4.143,40.125,7.825,3.6519999999999997,1.1520000000000001,0.243,0.126,1.85,,,,,,,,,19956.0,1417.0,0.605,0.043,1113.0,0.034,0.19699999999999998,5.1,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
27,42900,PER,South America,Peru,2020-04-02,1414.0,91.0,119.14299999999999,55.0,17.0,6.571000000000001,42.885,2.76,3.613,1.6680000000000001,0.516,0.19899999999999998,1.85,,,,,,,,,21269.0,1313.0,0.645,0.04,1151.0,0.035,0.226,4.4,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
28,42901,PER,South America,Peru,2020-04-03,1595.0,181.0,137.143,61.0,6.0,7.143,48.375,5.49,4.159,1.85,0.182,0.217,1.85,,,,,,,,,22557.0,1288.0,0.684,0.039,1182.0,0.036000000000000004,0.255,3.9,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
29,42902,PER,South America,Peru,2020-04-04,1746.0,151.0,153.571,73.0,12.0,8.142999999999999,52.95399999999999,4.58,4.658,2.214,0.364,0.247,1.85,,,,,,,,,23854.0,1297.0,0.723,0.039,1230.0,0.037000000000000005,0.281,3.6,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
30,42903,PER,South America,Peru,2020-04-05,2281.0,535.0,204.143,83.0,10.0,9.286,69.18,16.226,6.191,2.517,0.303,0.282,1.85,,,,,,,,,24506.0,652.0,0.743,0.02,1228.0,0.037000000000000005,0.299,3.3,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
31,42904,PER,South America,Peru,2020-04-06,2561.0,280.0,230.143,92.0,9.0,9.714,77.672,8.492,6.98,2.79,0.273,0.295,1.84,,,,,,,,,26289.0,1783.0,0.797,0.054000000000000006,1290.0,0.039,0.332,3.0,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
32,42905,PER,South America,Peru,2020-04-07,2954.0,393.0,269.857,107.0,15.0,11.0,89.59200000000001,11.919,8.184,3.245,0.455,0.33399999999999996,1.84,,,,,,,,,27882.0,1593.0,0.846,0.048,1335.0,0.04,0.349,2.9,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
33,42906,PER,South America,Peru,2020-04-08,4342.0,1388.0,431.286,121.0,14.0,11.857000000000001,131.688,42.097,13.08,3.67,0.425,0.36,1.83,,,,,,,,,29480.0,1598.0,0.894,0.048,1361.0,0.040999999999999995,0.348,2.9,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
34,42907,PER,South America,Peru,2020-04-09,5256.0,914.0,548.857,138.0,17.0,11.857000000000001,159.409,27.721,16.646,4.185,0.516,0.36,1.81,,,,,,,,,30686.0,1206.0,0.9309999999999999,0.037000000000000005,1345.0,0.040999999999999995,0.35,2.9,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
35,42908,PER,South America,Peru,2020-04-10,5897.0,641.0,614.571,169.0,31.0,15.429,178.85,19.441,18.639,5.126,0.94,0.46799999999999997,1.79,,,,,,,,,31727.0,1041.0,0.9620000000000001,0.032,1310.0,0.04,0.359,2.8,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
36,42909,PER,South America,Peru,2020-04-11,6848.0,951.0,728.857,181.0,12.0,15.429,207.692,28.843000000000004,22.105,5.49,0.364,0.46799999999999997,1.77,,,,,,,,,33172.0,1445.0,1.006,0.044000000000000004,1331.0,0.04,0.36,2.8,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
37,42910,PER,South America,Peru,2020-04-12,7519.0,671.0,748.2860000000001,193.0,12.0,15.714,228.043,20.351,22.695,5.853,0.364,0.47700000000000004,1.75,,,,,,,,,34077.0,905.0,1.034,0.027000000000000003,1367.0,0.040999999999999995,0.361,2.8,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
38,42911,PER,South America,Peru,2020-04-13,9784.0,2265.0,1031.857,216.0,23.0,17.714000000000002,296.738,68.695,31.295,6.551,0.698,0.537,1.74,,,,,,,,,35497.0,1420.0,1.077,0.043,1315.0,0.04,0.355,2.8,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
39,42912,PER,South America,Peru,2020-04-14,10303.0,519.0,1049.857,230.0,14.0,17.570999999999998,312.47900000000004,15.741,31.840999999999998,6.976,0.425,0.5329999999999999,1.71,,,,,,,,,36862.0,1365.0,1.1179999999999999,0.040999999999999995,1283.0,0.039,0.353,2.8,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
40,42913,PER,South America,Peru,2020-04-15,11475.0,1172.0,1019.0,254.0,24.0,19.0,348.024,35.545,30.905,7.704,0.728,0.5760000000000001,1.69,,,,,,,,,38298.0,1436.0,1.162,0.044000000000000004,1260.0,0.038,0.365,2.7,tests performed,,,,,,94.44,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
